PROGRAMAS DE DOCTORADO - DOCTORES/AS CON MENCIÓN INTERNACIONAL;TOTAL - Doctores/as con mención internacional;TOTAL - Tesis defendidas;TOTAL - Doctores/as con mención internacional (%);MUJERES - Doctores/as con mención internacional;MUJERES - Tesis defendidas;MUJERES - Doctores/as con mención internacional (%);HOMBRES - Doctores/as con mención internacional;HOMBRES - Tesis defendidas;HOMBRES - Doctores/as con mención internacional (%)
AGUA Y DESARROLLO SOSTENIBLE;0;8;0;0;4;0;0;4;0
BIODIVERSIDAD Y CONSERVACIÓN;1;6;16.67;0;2;0;1;4;25
BIOLOGÍA EXPERIMENTAL Y APLICADA;4;9;44.44;3;7;42.86;1;2;50
CIENCIA DE MATERIALES;3;7;42.86;2;5;40;1;2;50
CIENCIAS DE LA ACTIVIDAD FÍSICA Y DEL DEPORTE;0;0;0;0;0;0;0;0;0
CIENCIAS DE LA SALUD;5;26;19.23;5;18;27.78;0;8;0
CIENCIAS DEL MAR Y BIOLOGÍA APLICADA;1;3;33.33;0;1;0;1;2;50
CIENCIAS EXPERIMENTALES Y BIOSANITARIAS;2;5;40;2;4;50;0;1;0
CONSERVACIÓN Y RESTAURACIÓN DE ECOSISTEMAS;2;4;50;1;2;50;1;2;50
DERECHO;3;13;23.08;1;4;25;2;9;22.22
ECONOMÍA;6;9;66.67;3;5;60;3;4;75
ECONOMÍA (Interuniversitario);0;0;0;0;0;0;0;0;0
ELECTROQUÍMICA. CIENCIA Y TECNOLOGÍA (Interuniversitario);2;3;66.67;1;1;100;1;2;50
EMPRESA, ECONOMÍA Y SOCIEDAD;4;13;30.77;1;5;20;3;8;37.5
ESTUDIOS HISTÓRICOS Y SOCIALES SOBRE CIENCIA, MEDICINA Y COMUNICACIÓN CIENTÍFICA (Interuniversitario);0;1;0;0;1;0;0;0;0
ESTUDIOS INTERDISCIPLINARES DE GÉNERO (Interuniversitario);0;1;0;0;1;0;0;0;0
FILOSOFÍA (Interuniversitario);0;0;0;0;0;0;0;0;0
FILOSOFÍA Y LETRAS;11;32;34.38;9;17;52.94;2;15;13.33
FÍSICA APLICADA A LAS CIENCIAS Y LAS TECNOLOGÍAS;0;1;0;0;0;0;0;1;0
HUMANIDADES Y ESTUDIOS SOCIALES DE AMÉRICA LATINA;0;13;0;0;6;0;0;7;0
INFORMÁTICA;6;20;30;3;4;75;3;16;18.75
INGENIERÍA DE MATERIALES, ESTRUCTURAS Y TERRENO: CONSTRUCCIÓN SOSTENIBLE;5;8;62.5;2;2;100;3;6;50
INGENIERÍA QUÍMICA;0;4;0;0;2;0;0;2;0
INVESTIGACIÓN EDUCATIVA;2;27;7.41;0;14;0;2;13;15.38
MARIE SKLODOWSKA-CURIE EN DERECHO DE PROPIEDAD INTELECTUAL E INNOVACIÓN (EIPN-IS) (EUROPEO CONJUNTO);0;2;0;0;1;0;0;1;0
MÉTODOS MATEMÁTICOS Y MODELIZACIÓN EN CIENCIAS E INGENIERÍA;1;8;12.5;0;2;0;1;6;16.67
NANOCIENCIA Y NANOTECNOLOGÍA (Interuniversitario);0;0;0;0;0;0;0;0;0
NANOCIENCIA Y NANOTECNOLOGÍA (Interuniversitario, a extinguir);1;1;100;1;1;100;0;0;0
SÍNTESIS ORGÁNICA;3;4;75;2;3;66.67;1;1;100
TECNOLOGÍA EDUCATIVA APLICADA AL CONOCIMIENTO;0;0;0;0;0;0;0;0;0
TRADUCTOLOGÍA, TRADUCCIÓN PROFESIONAL Y AUDIOVISUAL (Interuniversitario);0;1;0;0;1;0;0;0;0
TRANSFERENCIAS INTERCULTURALES E HISTÓRICAS EN LA EUROPA MEDIEVAL MEDITERRÁNEA;1;14;7.14;0;4;0;1;10;10
TURISMO (Interuniversitario);0;0;0;0;0;0;0;0;0
TURISMO (Interuniversitario, a extinguir);1;4;25;0;1;0;1;3;33.33
