PROGRAMAS DE DOCTORADO - DOCTORES/AS EN RÉGIMEN DE COTUTELA INTERNACIONAL;TOTAL - Doctores/as con tesis en régimen de cotutela internacional;TOTAL - Tesis defendidas;TOTAL - Doctores/as con tesis en régimen de cotutela internacional (%);MUJERES - Doctores/as con tesis en régimen de cotutela internacional;MUJERES - Tesis defendidas;MUJERES - Doctores/as con tesis en régimen de cotutela internacional (%);HOMBRES - Doctores/as con tesis en régimen de cotutela internacional;HOMBRES - Tesis defendidas;HOMBRES - Doctores/as con tesis en régimen de cotutela internacional (%)
AGUA Y DESARROLLO SOSTENIBLE;4;8;50;2;4;50;2;4;50
BIODIVERSIDAD Y CONSERVACIÓN;0;6;0;0;2;0;0;4;0
BIOLOGÍA EXPERIMENTAL Y APLICADA;0;9;0;0;7;0;0;2;0
CIENCIA DE MATERIALES;0;7;0;0;5;0;0;2;0
CIENCIAS DE LA ACTIVIDAD FÍSICA Y DEL DEPORTE;0;0;0;0;0;0;0;0;0
CIENCIAS DE LA SALUD;0;26;0;0;18;0;0;8;0
CIENCIAS DEL MAR Y BIOLOGÍA APLICADA;2;3;66.67;0;1;0;2;2;100
CIENCIAS EXPERIMENTALES Y BIOSANITARIAS;0;5;0;0;4;0;0;1;0
CONSERVACIÓN Y RESTAURACIÓN DE ECOSISTEMAS;0;4;0;0;2;0;0;2;0
DERECHO;3;13;23.08;1;4;25;2;9;22.22
ECONOMÍA;0;9;0;0;5;0;0;4;0
ECONOMÍA (Interuniversitario);0;0;0;0;0;0;0;0;0
ELECTROQUÍMICA. CIENCIA Y TECNOLOGÍA (Interuniversitario);1;3;33.33;0;1;0;1;2;50
EMPRESA, ECONOMÍA Y SOCIEDAD;1;13;7.69;0;5;0;1;8;12.5
ESTUDIOS HISTÓRICOS Y SOCIALES SOBRE CIENCIA, MEDICINA Y COMUNICACIÓN CIENTÍFICA (Interuniversitario);0;1;0;0;1;0;0;0;0
ESTUDIOS INTERDISCIPLINARES DE GÉNERO (Interuniversitario);0;1;0;0;1;0;0;0;0
FILOSOFÍA (Interuniversitario);0;0;0;0;0;0;0;0;0
FILOSOFÍA Y LETRAS;1;32;3.13;0;17;0;1;15;6.67
FÍSICA APLICADA A LAS CIENCIAS Y LAS TECNOLOGÍAS;0;1;0;0;0;0;0;1;0
HUMANIDADES Y ESTUDIOS SOCIALES DE AMÉRICA LATINA;1;13;7.69;1;6;16.67;0;7;0
INFORMÁTICA;3;20;15;0;4;0;3;16;18.75
INGENIERÍA DE MATERIALES, ESTRUCTURAS Y TERRENO: CONSTRUCCIÓN SOSTENIBLE;1;8;12.5;0;2;0;1;6;16.67
INGENIERÍA QUÍMICA;1;4;25;1;2;50;0;2;0
INVESTIGACIÓN EDUCATIVA;0;27;0;0;14;0;0;13;0
MARIE SKLODOWSKA-CURIE EN DERECHO DE PROPIEDAD INTELECTUAL E INNOVACIÓN (EIPN-IS) (EUROPEO CONJUNTO);0;2;0;0;1;0;0;1;0
MÉTODOS MATEMÁTICOS Y MODELIZACIÓN EN CIENCIAS E INGENIERÍA;0;8;0;0;2;0;0;6;0
NANOCIENCIA Y NANOTECNOLOGÍA (Interuniversitario);0;0;0;0;0;0;0;0;0
NANOCIENCIA Y NANOTECNOLOGÍA (Interuniversitario, a extinguir);0;1;0;0;1;0;0;0;0
SÍNTESIS ORGÁNICA;1;4;25;1;3;33.33;0;1;0
TECNOLOGÍA EDUCATIVA APLICADA AL CONOCIMIENTO;0;0;0;0;0;0;0;0;0
TRADUCTOLOGÍA, TRADUCCIÓN PROFESIONAL Y AUDIOVISUAL (Interuniversitario);1;1;100;1;1;100;0;0;0
TRANSFERENCIAS INTERCULTURALES E HISTÓRICAS EN LA EUROPA MEDIEVAL MEDITERRÁNEA;0;14;0;0;4;0;0;10;0
TURISMO (Interuniversitario);0;0;0;0;0;0;0;0;0
TURISMO (Interuniversitario, a extinguir);0;4;0;0;1;0;0;3;0
