PROGRAMAS DE DOCTORADO - DOCTORES/AS CON MENCIÓN INDUSTRIAL;TOTAL - Doctores/as con mención industrial;TOTAL - Tesis defendidas;TOTAL - Doctores/as con mención industrial (%);MUJERES - Doctores/as con mención industrial;MUJERES - Tesis defendidas;MUJERES - Doctores/as con mención industrial (%);HOMBRES - Doctores/as con mención industrial;HOMBRES - Tesis defendidas;HOMBRES - Doctores/as con mención industrial (%)
AGUA Y DESARROLLO SOSTENIBLE;0;8;0;0;4;0;0;4;0
BIODIVERSIDAD Y CONSERVACIÓN;0;6;0;0;2;0;0;4;0
BIOLOGÍA EXPERIMENTAL Y APLICADA;0;9;0;0;7;0;0;2;0
CIENCIA DE MATERIALES;0;7;0;0;5;0;0;2;0
CIENCIAS DE LA ACTIVIDAD FÍSICA Y DEL DEPORTE;0;0;0;0;0;0;0;0;0
CIENCIAS DE LA SALUD;0;26;0;0;18;0;0;8;0
CIENCIAS DEL MAR Y BIOLOGÍA APLICADA;0;3;0;0;1;0;0;2;0
CIENCIAS EXPERIMENTALES Y BIOSANITARIAS;0;5;0;0;4;0;0;1;0
CONSERVACIÓN Y RESTAURACIÓN DE ECOSISTEMAS;0;4;0;0;2;0;0;2;0
DERECHO;0;13;0;0;4;0;0;9;0
ECONOMÍA;0;9;0;0;5;0;0;4;0
ECONOMÍA (Interuniversitario);0;0;0;0;0;0;0;0;0
ELECTROQUÍMICA. CIENCIA Y TECNOLOGÍA (Interuniversitario);0;3;0;0;1;0;0;2;0
EMPRESA, ECONOMÍA Y SOCIEDAD;0;13;0;0;5;0;0;8;0
ESTUDIOS HISTÓRICOS Y SOCIALES SOBRE CIENCIA, MEDICINA Y COMUNICACIÓN CIENTÍFICA (Interuniversitario);0;1;0;0;1;0;0;0;0
ESTUDIOS INTERDISCIPLINARES DE GÉNERO (Interuniversitario);0;1;0;0;1;0;0;0;0
FILOSOFÍA (Interuniversitario);0;0;0;0;0;0;0;0;0
FILOSOFÍA Y LETRAS;0;32;0;0;17;0;0;15;0
FÍSICA APLICADA A LAS CIENCIAS Y LAS TECNOLOGÍAS;0;1;0;0;0;0;0;1;0
HUMANIDADES Y ESTUDIOS SOCIALES DE AMÉRICA LATINA;0;13;0;0;6;0;0;7;0
INFORMÁTICA;2;20;10;0;4;0;2;16;12.5
INGENIERÍA DE MATERIALES, ESTRUCTURAS Y TERRENO: CONSTRUCCIÓN SOSTENIBLE;0;8;0;0;2;0;0;6;0
INGENIERÍA QUÍMICA;0;4;0;0;2;0;0;2;0
INVESTIGACIÓN EDUCATIVA;0;27;0;0;14;0;0;13;0
MARIE SKLODOWSKA-CURIE EN DERECHO DE PROPIEDAD INTELECTUAL E INNOVACIÓN (EIPN-IS) (EUROPEO CONJUNTO);0;2;0;0;1;0;0;1;0
MÉTODOS MATEMÁTICOS Y MODELIZACIÓN EN CIENCIAS E INGENIERÍA;0;8;0;0;2;0;0;6;0
NANOCIENCIA Y NANOTECNOLOGÍA (Interuniversitario);0;0;0;0;0;0;0;0;0
NANOCIENCIA Y NANOTECNOLOGÍA (Interuniversitario, a extinguir);0;1;0;0;1;0;0;0;0
SÍNTESIS ORGÁNICA;0;4;0;0;3;0;0;1;0
TECNOLOGÍA EDUCATIVA APLICADA AL CONOCIMIENTO;0;0;0;0;0;0;0;0;0
TRADUCTOLOGÍA, TRADUCCIÓN PROFESIONAL Y AUDIOVISUAL (Interuniversitario);0;1;0;0;1;0;0;0;0
TRANSFERENCIAS INTERCULTURALES E HISTÓRICAS EN LA EUROPA MEDIEVAL MEDITERRÁNEA;0;14;0;0;4;0;0;10;0
TURISMO (Interuniversitario);0;0;0;0;0;0;0;0;0
TURISMO (Interuniversitario, a extinguir);0;4;0;0;1;0;0;3;0
