PROGRAMES DE DOCTORAT;TOTAL
AIGUA I DESENVOLUPAMENT SOSTENIBLE;5
BIODIVERSITAT I CONSERVACIÓ;10
BIOLOGIA EXPERIMENTAL I APLICADA;20
CIÈNCIA DE MATERIALS;20
CIÈNCIES DE LA SALUT;40
CIÈNCIES DE L'ACTIVIDAT FÍSICA I DE L'ESPORT;6
CIÈNCIES DEL MAR I BIOLOGIA APLICADA;15
CIÈNCIES EXPERIMENTALS I BIOSANITÀRIES;25
CONSERVACIÓ I RESTAURACIÓ D'ECOSISTEMES;5
DRET;20
ECONOMIA;20
ECONOMIA (Interuniversitari);15
ELECTROQUÍMICA. CIÈNCIA I TECNOLOGIA (Interuniversitari);5
EMPRESA, ECONOMIA I SOCIETAT;20
ENGINYERIA DE MATERIALS, ESTRUCTURES I TERRENY: CONSTRUCCIÓ SOSTENIBLE;10
ENGINYERIA QUÍMICA;5
ESTUDIS HISTÒRICS I SOCIALS SOBRE CIÈNCIA, MEDICINA I COMUNICACIÓ CIENTÍFICA (Interuniversitari);10
ESTUDIS INTERDISCIPLINARS DE GÈNERE (Interuniversitari);5
FILOSOFIA (Interuniversitari);3
FILOSOFIA I LLETRES;75
FÍSICA APLICADA A LES CIÈNCIES I LES TECNOLOGIES;10
HUMANITATS I ESTUDIS SOCIALS D'AMÈRICA LLATINA;40
INFORMÀTICA;40
INVESTIGACIÓ EDUCATIVA;25
MÈTODES MATEMÀTICS I MODELITZACIÓ EN CIÈNCIES I ENGINYERIA;7
NANOCIÈNCIA I NANOTECNOLOGIA (Interuniversitari);5
SÍNTESI ORGÀNICA;10
TECNOLOGIA EDUCATIVA APLICADA AL CONEIXEMENT;35
TRADUCTOLOGIA, TRADUCCIÓ PROFESSIONAL I AUDIOVISUAL (Interuniversitari);20
TRANSFERÈNCIES INTERCULTURALS I HISTÒRIQUES A L'EUROPA MEDIEVAL;15
TURISME (Interuniversitari);15
