GRAUS;TOTAL
ADMINISTRACIÓ I DIRECCIÓ D'EMPRESES;370
ARQUITECTURA TÈCNICA;60
BIOLOGIA;160
CIÈNCIES DE L'ACTIVITAT FÍSICA I DE L'ESPORT;100
CIÈNCIES DEL MAR;60
CRIMINOLOGIA;240
DOBLE GRAU EN FÍSICA I MATEMÁTIQUES;30
DRET;240
ECONOMIA;125
ENGINYERIA AEROESPACIAL;50
ENGINYERIA BIOMÈDICA;60
ENGINYERIA CIVIL;75
ENGINYERIA EN INTEL·LIGÈNCIA ARTIFICIAL;60
ENGINYERIA EN SO I IMATGE EN TELECOMUNICACIÓ;80
ENGINYERIA INFORMÀTICA;190
ENGINYERIA MULTIMÈDIA;95
ENGINYERIA QUÍMICA;60
ENGINYERIA ROBÒTICA;60
ESPANYOL: LLENGUA I LITERATURES;55
ESTUDIS ANGLESOS;125
ESTUDIS ÀRABS I ISLÀMICS;50
ESTUDIS FRANCESOS;50
FILOLOGIA CATALANA;50
FÍSICA;50
FONAMENTS DE L'ARQUITECTURA;120
GASTRONOMIA I ARTS CULINÀRIES;75
GEOGRAFIA I ORDENACIÓ DEL TERRITORI;50
GEOLOGIA;50
GESTIÓ I ADMINISTRACIÓ PÚBLICA;50
HISTÒRIA;125
HUMANITATS;50
INFERMERIA;200
LOGOPÈDIA;70
MÀRQUETING;75
MATEMÀTIQUES;50
MEDICINA;86
MESTRE EN EDUCACIÓ INFANTIL;360
MESTRE EN EDUCACIÓ PRIMÀRIA;440
NUTRICIÓ HUMANA I DIETÈTICA;100
ÒPTICA I OPTOMETRIA;70
PUBLICITAT I RELACIONS PÚBLIQUES;240
QUÍMICA;70
RELACIONS INTERNACIONALS;60
RELACIONS LABORALS I RECURSOS HUMANS (UA);121
RELACIONS LABORALS I RECURSOS HUMANS (ELDA);30
SOCIOLOGIA;60
TRADUCCIÓ I INTERPRETACIÓ;180
TREBALL SOCIAL;160
TURISME;140
DOBLE GRAU EN DRET I ADMINISTRACIÓ I DIRECCIÓ D'EMPRESES;130
DOBLE GRAU EN DRET I CRIMINOLOGIA;70
DOBLE GRAU EN DRET I RELACIONS INTERNACIONALS;60
DOBLE GRAU EN ENGINYERIA INFORMÀTICA I ADMINISTRACIÓ I DIRECCIÓ D'EMPRESES;50
DOBLE GRAU EN TURISME I ADMINISTRACIÓ I DIRECCIÓ D'EMPRESES;100
