MÀSTERS UNIVERSITARIS;TOTAL
ADMINISTRACIÓ I DIRECCIÓ D'EMPRESES;40
ADVOCACIA I PROCURA;140
ANGLÉS I ESPANYOL PER A FINS ESPECÍFICS;20
ARQUEOLOGIA PROFESSIONAL I GESTIÓ INTEGRAL DEL PATRIMONI;30
ARQUITECTURA;90
AUTOMÀTICA I ROBÒTICA;30
BIOMEDICINA;20
BIOTECNOLOGIA PER A LA SALUT I LA SOSTENIBILITAT;20
CÀLCUL I MODELITZACIÓ CIENTÍFICA;25
CIBERSEGURETAT;20
CIÈNCIA DE DADES;20
CIÈNCIA DE MATERIALS;20
COMUNICACIÓ DIGITAL;35
COMUNICACIÓ I INDÚSTRIES CREATIVES;35
CONSERVACIÓ DE LA BIODIVERSITAT I RESTAURACIÓ DEL MEDIO MARÍ Y TERRESTRE;25
COOPERACIÓ AL DESENVOLUPAMENT (Interuniversitari);25
DESENVOLUPAMENT D'APLICACIONS I SERVEIS WEB;30
DESENVOLUPAMENT DE PROGRAMARI PER A DISP. MÒBILS;20
DESENVOLUPAMENT LOCAL I INNOVACIÓ TERRITORIAL;25
DIRECCIÓ I PLANIFICACIÓ DEL TURISME;30
DRET AMBIENTAL I DE LA SOSTENIBILITAT;30
DRET DE DANYS;40
ECONOMIA APLICADA;15
ECONOMIA QUANTITATIVA;25
ELECTROQUÍMICA. CIÈNCIA I TECNOLOGIA (Interuniversitari);25
EMERGÈNCIES I CATÀSTROFES;30
ENGINYERIA BIOMÈDICA;20
ENGINYERIA DE CAMINS, CANALS I PORTS;50
ENGINYERIA DE TELECOMUNICACIÓ;30
ENGINYERIA GEOLÒGICA;30
ENGINYERIA INFORMÀTICA;50
ENGINYERIA QUÍMICA;20
ENVELLIMENT ACTIU I SALUT;20
ESPANYOL I ANGLÉS COM A SEGONES LLENGUES/LLENGUES ESTRANGERES;25
ESTUDIS ANGLESOS AVANÇATS;40
ESTUDIS LITERARIS;30
GESTIÓ ADMINISTRATIVA;30
GESTIÓ PESQUERA SOSTENIBLE;25
GESTIÓ SOSTENIBLE I TECNLOGIES DE L'AIGUA;20
HISTÒRIA DE LA CIÈNCIA I COMUNICACIÓ CIENTÍFICA (Interuniversitari);7
HISTÒRIA DE L'EUROPA CONTEMPORÀNIA: IDENTITATS I INTEGRACIÓ;20
HISTÒRIA DEL MÓN MEDITERRANI I LES SEUES REGIONS;45
HISTÒRIA I IDENTITATS EN EL MEDITERRANI OCCIDENTAL (SIGLOS XV-XIX) (Interuniversitari);15
INNOVACIÓ SOCIAL I DINÀMIQUES DE CANVI;20
INTEL·LIGÈNCIA ARTIFICIAL;25
INVESTIGACIÓ CRIMINAL I CIÈNCIES FORENSES;25
INVESTIGACIÓ EDUCATIVA;50
INVESTIGACIÓ EN CIÈNCIES DE LA SALUT;20
NANOCIÈNCIA I NANOTECNOLOGIA MOLECULAR (Interuniversitari);10
NUTRICIÓ I ALIMENTACIÓ;25
OPTOMETRIA AVANÇADA I SALUT VISUAL;15
PALEONTOLOGIA APLICADA (Interuniversitari);10
PLANIFICACIÓ I GESTIÓ DE RISCS NATURALS;20
PREVENCIÓ DE RISCOS LABORALS;30
PROFESSORAT D'EDUCACIÓ SECUNDÀRIA;500
QUÍMICA AMBIENTAL I SOSTENIBLE;20
QUÍMICA MÈDICA;20
SALUT PÚBLICA (Interuniversitari);20
SISTEMA DE JUSTÍCIA PENAL (Interuniversitari);50
TRADUCCIÓ INSTITUCIONAL;90
TURISME CULTURAL;30
