GRAUS;Total;Dones;Homes
ADMINISTRACIÓ I DIRECCIÓ D'EMPRESES;345;152;193
ARQUITECTURA TÈCNICA;73;40;33
BIOLOGIA;154;104;50
CIÈNCIES DE L'ACTIVITAT FÍSICA I DE L'ESPORT;105;40;65
CIÈNCIES DEL MAR;61;42;19
CRIMINOLOGIA;247;168;79
DRET;260;190;70
ECONOMIA;135;56;79
ENGINYERIA AEROESPACIAL;50;14;36
ENGINYERIA BIOMÈDICA;64;46;18
ENGINYERIA CIVIL;81;22;59
ENGINYERIA EN INTEL·LIGÈNCIA ARTIFICIAL;63;14;49
ENGINYERIA EN SO I IMATGE EN TELECOMUNICACIÓ;71;16;55
ENGINYERIA INFORMÀTICA;218;37;181
ENGINYERIA MULTIMÈDIA;104;33;71
ENGINYERIA QUÍMICA;65;26;39
ENGINYERIA ROBÒTICA;68;14;54
ESPANYOL: LLENGUA I LITERATURES;66;51;15
ESTUDIS ANGLESOS;119;89;30
ESTUDIS ÀRABS I ISLÀMICS;11;6;5
ESTUDIS FRANCESOS;15;9;6
FILOLOGIA CATALANA;29;18;11
FÍSICA;51;15;36
FONAMENTS DE L'ARQUITECTURA;135;86;49
GASTRONOMIA I ARTS CULINÀRIES;76;35;41
GEOGRAFIA I ORDENACIÓ DEL TERRITORI;19;6;13
GEOLOGIA;41;19;22
GESTIÓ I ADMINISTRACIÓ PÚBLICA;36;18;18
HISTÒRIA;117;36;81
HUMANITATS;27;12;15
INFERMERIA;245;199;46
LOGOPÈDIA;78;71;7
MÀRQUETING;76;46;30
MATEMÀTIQUES;55;18;37
MEDICINA;106;67;39
MESTRE EN EDUCACIÓ INFANTIL;357;308;49
MESTRE EN EDUCACIÓ PRIMÀRIA;413;293;120
NUTRICIÓ HUMANA I DIETÈTICA;114;84;30
ÒPTICA I OPTOMETRIA;72;55;17
PUBLICITAT I RELACIONS PÚBLIQUES;235;176;59
QUÍMICA;72;41;31
RELACIONS INTERNACIONALS;68;52;16
RELACIONS LABORALS I RECURSOS HUMANS (UA);113;77;36
RELACIONS LABORALS I RECURSOS HUMANS (ELDA);12;9;3
SOCIOLOGIA;50;32;18
TRADUCCIÓ I INTERPRETACIÓ;126;99;27
TREBALL SOCIAL;166;143;23
TURISME;106;64;42
DOBLE GRAU EN DRET I ADMINISTRACIÓ I DIRECCIÓ D'EMPRESES;131;88;43
DOBLE GRAU EN DRET I CRIMINOLOGIA;73;64;9
DOBLE GRAU EN DRET I RELACIONS INTERNACIONALS;57;41;16
DOBLE GRAU EN ENGINYERIA INFORMÀTICA I ADMINISTRACIÓ I DIRECCIÓ D'EMPRESES;55;9;46
DOBLE GRAU EN FÍSICA I MATEMÁTIQUES;32;13;19
DOBLE GRAU EN TURISME I ADMINISTRACIÓ I DIRECCIÓ D'EMPRESES;97;44;53
