GRAUS;Total;Dones;Homes
ADMINISTRACIÓ I DIRECCIÓ D'EMPRESES;1186;504;682
ARQUITECTURA TÈCNICA;277;132;145
BIOLOGIA;626;395;231
CIÈNCIES DE L'ACTIVITAT FÍSICA I DE L'ESPORT;412;123;289
CIÈNCIES DEL MAR;229;132;97
CRIMINOLOGIA;978;697;281
DRET;1277;899;378
ECONOMIA;512;199;313
ENGINYERIA AEROESPACIAL;50;14;36
ENGINYERIA BIOMÈDICA;309;175;134
ENGINYERIA CIVIL;265;74;191
ENGINYERIA EN INTEL·LIGÈNCIA ARTIFICIAL;121;27;94
ENGINYERIA EN SO I IMATGE EN TELECOMUNICACIÓ;262;77;185
ENGINYERIA INFORMÀTICA;978;149;829
ENGINYERIA MULTIMÈDIA;467;102;365
ENGINYERIA QUÍMICA;290;122;168
ENGINYERIA ROBÒTICA;301;62;239
ESPANYOL: LLENGUA I LITERATURES;244;196;48
ESTUDIS ANGLESOS;437;341;96
ESTUDIS ÀRABS I ISLÀMICS;31;17;14
ESTUDIS FRANCESOS;50;42;8
FILOLOGIA CATALANA;136;96;40
FÍSICA;239;69;170
FONAMENTS DE L'ARQUITECTURA;585;342;243
GASTRONOMIA I ARTS CULINÀRIES;262;139;123
GEOGRAFIA I ORDENACIÓ DEL TERRITORI;89;21;68
GEOLOGIA;112;43;69
GESTIÓ I ADMINISTRACIÓ PÚBLICA;109;65;44
HISTÒRIA;482;164;318
HUMANITATS;94;54;40
INFERMERIA;812;654;158
LOGOPÈDIA;78;71;7
MÀRQUETING;302;194;108
MATEMÀTIQUES;287;93;194
MEDICINA;178;126;52
MESTRE EN EDUCACIÓ INFANTIL;1352;1176;176
MESTRE EN EDUCACIÓ PRIMÀRIA;1784;1211;573
NUTRICIÓ HUMANA I DIETÈTICA;358;257;101
ÒPTICA I OPTOMETRIA;242;179;63
PUBLICITAT I RELACIONS PÚBLIQUES;1037;767;270
QUÍMICA;284;144;140
RELACIONS INTERNACIONALS;245;194;51
RELACIONS LABORALS I RECURSOS HUMANS  (UA);458;314;144
RELACIONS LABORALS I RECURSOS HUMANS (ELDA);56;39;17
SOCIOLOGIA;151;92;59
TRADUCCIÓ I INTERPRETACIÓ;560;455;105
TREBALL SOCIAL;628;539;89
TURISME;510;336;174
DOBLE GRAU EN DRET I ADMINISTRACIÓ I DIRECCIÓ D'EMPRESES;519;318;201
DOBLE GRAU EN DRET I CRIMINOLOGIA;363;305;58
DOBLE GRAU EN DRET I RELACIONS INTERNACIONALS;293;233;60
DOBLE GRAU EN ENGINYERIA INFORMÀTICA I ADMINISTRACIÓ I DIRECCIÓ D'EMPRESES;232;50;182
DOBLE GRAU EN FÍSICA I MATEMÁTIQUES;36;13;23
DOBLE GRAU EN TURISME I ADMINISTRACIÓ I DIRECCIÓ D'EMPRESES;270;160;110
