Nacionalitat;Total;Dones;Homes
ALEMANYA;27;14;13
ALGÈRIA;106;70;36
ANDORRA;2;2;0
ANGOLA;2;2;0
ARGENTINA;40;19;21
ARMÈNIA;6;3;3
ÀUSTRIA;3;1;2
AZERBAIDJAN;1;1;0
BÈLGICA;11;9;2
BIELORÚSSIA;7;5;2
BOLÍVIA;12;9;3
BRASIL;48;32;16
BULGÀRIA;50;41;9
BURKINA FASO;1;1;0
CAMERUN;1;1;0
CANADÀ;1;1;0
CAP VERD;1;0;1
COLÒMBIA;142;90;52
COREA DEL SUD;1;1;0
COSTA RICA;3;1;2
CROÀCIA;1;1;0
CUBA;11;8;3
DINAMARCA;1;1;0
DOMINICA;1;1;0
EGIPTE;2;0;2
EQUADOR;77;46;31
ESLOVÀQUIA;3;3;0
ESLOVÈNIA;3;3;0
ESPANYA;20039;11873;8166
ESTATS UNITS D'AMÈRICA;8;3;5
ESTÒNIA;1;0;1
ETIOPIA;1;0;1
FILIPINES;5;4;1
FRANÇA;33;18;15
GÀMBIA;1;1;0
GEÒRGIA;7;3;4
GRÈCIA;2;1;1
GUATEMALA;2;2;0
GUINEA EQUATORIAL;30;23;7
HAITÍ;1;1;0
HOLANDA (PAÏSOS BAIXOS);13;7;6
HONDURES;5;4;1
HONGRIA;11;6;5
ÍNDIA;9;7;2
INDONÈSIA;2;1;1
IRAN;5;3;2
IRLANDA (EIRE);1;1;0
ISRAEL;2;0;2
ITÀLIA;109;72;37
JAPÓ;1;1;0
JORDÀNIA;2;0;2
KAZAKHSTAN;11;6;5
KENYA;1;1;0
KIRGUIZISTAN;1;1;0
LETÒNIA;5;3;2
LÍBAN;3;2;1
LITUÀNIA;9;8;1
LUXEMBURG;1;0;1
MALÀISIA;4;2;2
MARROC;192;105;87
MÈXIC;11;5;6
MOÇAMBIC;1;1;0
MOLDÀVIA;4;2;2
MONTENEGRO;1;0;1
NEPAL;1;1;0
NICARAGUA;5;3;2
NIGÈRIA;2;1;1
NORUEGA;2;2;0
PAKISTAN;6;5;1
PARAGUAI;7;4;3
PERÚ;46;31;15
POLÒNIA;21;15;6
PORTUGAL;18;11;7
REGNE UNIT;53;34;19
REPÚBLICA DEMOCRÀTICA DEL CONGO;1;1;0
REPÚBLICA DOMINICANA;4;3;1
REPÚBLICA TXECA;4;4;0
ROMANIA;181;124;57
RÚSSIA;137;86;51
SAO TOMÉ I PRÍNCIPE;1;1;0
SENEGAL;1;0;1
SÈRBIA;1;0;1
SÍRIA;1;0;1
SUD-ÀFRICA;1;1;0
SUÈCIA;4;2;2
SUÏSSA;3;2;1
TUNÍSIA;6;2;4
TURQUIA;5;4;1
UCRAÏNA;76;53;23
URUGUAI;12;8;4
UZBEKISTAN;1;1;0
VENEÇUELA;61;38;23
XILE;14;9;5
XINA (REPUBLICA POPULAR);80;35;45
XIPRE;1;1;0
DESCONEGUDA;31;21;10
