MÀSTERS UNIVERSITARIS;Total;Dones;Homes
ADMINISTRACIÓ I DIRECCIÓ D'EMPRESES;62;33;29
ADVOCACIA I PROCURA;203;122;81
ANGLÉS I ESPANYOL PER A FINS ESPECÍFICS;25;19;6
ARQUEOLOGIA PROFESSIONAL I GESTIÓ INTEGRAL DEL PATRIMONI;40;20;20
ARQUITECTURA;80;41;39
AUTOMÀTICA I ROBÒTICA;23;5;18
BIOMEDICINA;17;11;6
BIOTECNOLOGIA PER A LA SALUT I LA SOSTENIBILITAT;22;14;8
CÀLCUL I MODELITZACIÓ CIENTÍFICA;11;1;10
CIBERSEGURETAT;25;4;21
CIÈNCIA DE DADES;28;6;22
CIÈNCIA DE MATERIALS;20;10;10
COMUNICACIÓ DIGITAL;48;33;15
COMUNICACIÓ I INDÚSTRIES CREATIVES;44;33;11
CONSERVACIÓ DE LA BIODIVERSITAT I RESTAURACIÓ DEL MEDIO MARÍ Y TERRESTRE;42;23;19
COOPERACIÓ AL DESENVOLUPAMENT (Interuniversitari);20;14;6
DESENVOLUPAMENT D'APLICACIONS I SERVEIS WEB;17;5;12
DESENVOLUPAMENT DE PROGRAMARI PER A DISPOSITIUS MÒBILS;18;2;16
DESENVOLUPAMENT LOCAL I INNOVACIÓ TERRITORIAL;18;7;11
DIRECCIÓ I PLANIFICACIÓ DEL TURISME;42;30;12
DRET AMBIENTAL I DE LA SOSTENIBILITAT;34;22;12
DRET DE DANYS;15;10;5
ECONOMIA APLICADA;10;4;6
ECONOMIA QUANTITATIVA;21;9;12
ELECTROQUÍMICA. CIÈNCIA I TECNOLOGIA (Interuniversitari);21;7;14
EMERGÈNCIES I CATÀSTROFES;38;27;11
ENGINYERIA BIOMÈDICA;26;18;8
ENGINYERIA DE CAMINS, CANALS I PORTS;54;14;40
ENGINYERIA DE TELECOMUNICACIÓ;37;7;30
ENGINYERIA GEOLÒGICA;12;3;9
ENGINYERIA INFORMÀTICA;10;3;7
ENGINYERIA QUÍMICA;50;20;30
ENVELLIMENT ACTIU I SALUT;21;14;7
ESPANYOL I ANGLÉS COM A SEGONES LLENGUES/LLENGUES ESTRANGERES;36;23;13
ESTUDIS ANGLESOS AVANÇATS;15;8;7
ESTUDIS LITERARIS;28;20;8
GESTIÓ ADMINISTRATIVA;38;26;12
GESTIÓ PESQUERA SOSTENIBLE;8;5;3
GESTIÓ SOSTENIBLE I TECNLOGIES DE L'AIGUA;22;13;9
HISTÒRIA DE LA CIÈNCIA I COMUNICACIÓ CIENTÍFICA (Interuniversitari);8;3;5
HISTÒRIA DE L'EUROPA CONTEMPORÀNIA: IDENTITATS I INTEGRACIÓ;17;6;11
HISTÒRIA DEL MÓN MEDITERRANI I LES SEUES REGIONS;16;6;10
HISTÒRIA I IDENTITATS EN EL MEDITERRANI OCCIDENTAL (SIGLOS XV-XIX) (Interuniversitari);14;6;8
INNOVACIÓ SOCIAL I DINÀMIQUES DE CANVI;13;9;4
INTEL·LIGÈNCIA ARTIFICIAL;35;7;28
INVESTIGACIÓ CRIMINAL I CIÈNCIES FORENSES;19;17;2
INVESTIGACIÓ EDUCATIVA;52;40;12
INVESTIGACIÓ EN CIÈNCIES DE LA SALUT;15;8;7
NANOCIÈNCIA I NANOTECNOLOGIA MOLECULAR (Interuniversitari);2;1;1
NOVES TECNOLOGIES I EFICIÈNCIA ENERGÈTICA EN EDIFICACIÓ;11;5;6
NUTRICIÓ I ALIMENTACIÓ;26;21;5
OPTOMETRIA AVANÇADA I SALUT VISUAL;10;9;1
PALEONTOLOGIA APLICADA (Interuniversitari);11;4;7
PLANIFICACIÓ I GESTIÓ DE RISCS NATURALS;15;10;5
PREVENCIÓ DE LA VIOLÈNCIA DE GÈNERE I INTERVENCIÓ DES D'UN ENFOCAMENT INTERDISCIPLINARI;23;21;2
PREVENCIÓ DE RISCOS LABORALS;39;26;13
PROFESSORAT D'EDUCACIÓ SECUNDÀRIA;563;342;221
QUÍMICA AMBIENTAL I SOSTENIBLE;20;14;6
QUÍMICA MÈDICA;8;2;6
TRADUCCIÓ INSTITUCIONAL;85;70;15
TREBALL SOCIAL EN L'ÀMBIT SANITARI (Interuniversitari);55;46;9
TURISME CULTURAL;32;18;14
