Nacionalitat;Total;Dones;Homes
ALEMANYA;3;2;1
ALGÈRIA;72;41;31
ANGOLA;1;1;0
ARGENTINA;16;11;5
BANGLADESH;1;1;0
BÈLGICA;4;3;1
BOLÍVIA;6;4;2
BRASIL;17;9;8
BULGÀRIA;7;3;4
CAMERUN;1;0;1
COLÒMBIA;78;44;34
COSTA RICA;3;2;1
CUBA;26;18;8
DINAMARCA;1;1;0
EGIPTE;5;1;4
EL SALVADOR;5;1;4
EQUADOR;24;17;7
ESPANYA;1691;939;752
ESTATS UNITS D'AMÈRICA;5;3;2
FINLÀNDIA;1;0;1
FRANÇA;15;10;5
GÀMBIA;1;0;1
GEÒRGIA;1;1;0
GHANA;2;0;2
GUATEMALA;1;0;1
GUINEA EQUATORIAL;8;2;6
HOLANDA (PAÏSOS BAIXOS);1;1;0
HONDURES;7;6;1
HONGRIA;1;1;0
ÍNDIA;3;2;1
IRAN;3;3;0
IRLANDA (EIRE);2;2;0
ITÀLIA;19;14;5
MADAGASCAR;1;1;0
MARROC;13;10;3
MÈXIC;19;9;10
NICARAGUA;1;0;1
PANAMÁ;1;1;0
PARAGUAI;2;2;0
PERÚ;21;10;11
POLÒNIA;3;1;2
PORTUGAL;3;2;1
REGNE UNIT;6;2;4
REPÚBLICA DOMINICANA;1;0;1
ROMANIA;8;6;2
RÚSSIA;27;19;8
SÈRBIA;2;1;1
SEYCHELLES;2;1;1
SÍRIA;1;0;1
TUNÍSIA;3;2;1
UCRAÏNA;11;7;4
URUGUAI;2;2;0
VENEÇUELA;14;5;9
XILE;7;2;5
XINA (REPUBLICA POPULAR);28;18;10
DESCONEGUDA;1;1;0
