NACIONALITAT;Total;Dones;Homes
ALEMANYA;8;6;2
ALGÈRIA;62;38;24
ANGOLA;1;1;0
ARGENTINA;11;8;3
ARMÈNIA;2;0;2
AZERBAIDJAN;1;0;1
BANGLADESH;1;1;0
BÈLGICA;1;1;0
BIELORÚSSIA;3;3;0
BOLÍVIA;8;6;2
BRASIL;11;7;4
BULGÀRIA;3;2;1
CAMERUN;1;1;0
CANADÀ;1;0;1
COLÒMBIA;91;58;33
COSTA RICA;1;1;0
CUBA;27;17;10
DINAMARCA;1;1;0
EGIPTE;5;1;4
EL SALVADOR;2;0;2
EQUADOR;44;22;22
ESPANYA;1843;1056;787
ESTATS UNITS D'AMÈRICA;3;1;2
FINLÀNDIA;1;1;0
FRANÇA;11;6;5
GEÒRGIA;1;1;0
GHANA;2;0;2
GUATEMALA;5;2;3
GUINEA EQUATORIAL;3;0;3
HONDURES;3;3;0
HONGRIA;1;1;0
IRAN;3;2;1
ITÀLIA;15;9;6
KAZAKHSTAN;2;0;2
LETÒNIA;2;1;1
MADAGASCAR;1;1;0
MARROC;13;9;4
MÈXIC;23;11;12
NICARAGUA;2;2;0
PAKISTAN;1;0;1
PANAMÁ;1;1;0
PARAGUAI;3;2;1
PERÚ;31;19;12
POLÒNIA;3;0;3
PORTUGAL;2;1;1
REGNE UNIT;4;1;3
REPÚBLICA DOMINICANA;3;2;1
ROMANIA;5;3;2
RÚSSIA;35;25;10
SÈRBIA;2;1;1
SEYCHELLES;1;1;0
SÍRIA;1;0;1
TAILÀNDIA;1;1;0
TUNÍSIA;4;2;2
TURQUIA;1;1;0
UCRAÏNA;10;8;2
VENEÇUELA;18;7;11
XILE;12;3;9
XINA (REPUBLICA POPULAR);33;19;14
