MÀSTERS UNIVERSITARIS;Total;Dones;Homes
ADMINISTRACIÓ I DIRECCIÓ D'EMPRESES;39;19;20
ADVOCACIA;113;70;43
ANGLÉS I ESPANYOL PER A FINS ESPECÍFICS;15;12;3
ARQUEOLOGIA PROFESSIONAL I GESTIÓ INTEGRAL DEL PATRIMONI;32;14;18
ARQUITECTURA;37;16;21
AUTOMÀTICA I ROBÒTICA;27;8;19
BIOMEDICINA;12;7;5
BIOTECNOLOGIA PER A LA SALUT I LA SOSTENIBILITAT;6;3;3
CÀLCUL I MODELITZACIÓ CIENTÍFICA;3;1;2
CIBERSEGURETAT;15;2;13
CIÈNCIA DE DADES;19;8;11
CIÈNCIA DE MATERIALS;10;4;6
COMUNICACIÓ DIGITAL;32;21;11
COMUNICACIÓ I INDÚSTRIES CREATIVES;38;29;9
CONSERVACIÓ DE LA BIODIVERSITAT I RESTAURACIÓ DEL MEDIO MARÍ Y TERRESTRE;15;8;7
COOPERACIÓ AL DESENVOLUPAMENT (Interuniversitari);12;7;5
DESENVOLUPAMENT D'APLICACIONS I SERVEIS WEB;12;3;9
DESENVOLUPAMENT DE PROGRAMARI PER A DISP. MÒBILS;15;1;14
DESENVOLUPAMENT LOCAL I INNOVACIÓ TERRITORIAL;8;3;5
DIRECCIÓ I PLANIFICACIÓ DEL TURISME;19;11;8
DRET AMBIENTAL I DE LA SOSTENIBILITAT;19;12;7
DRET DE DANYS;12;9;3
ECONOMIA APLICADA;8;3;5
ECONOMIA QUANTITATIVA;11;5;6
ELECTROQUÍMICA. CIÈNCIA I TECNOLOGIA (Interuniversitari);25;16;9
EMERGÈNCIES I CATÀSTROFES;30;26;4
ENGINYERIA BIOMÈDICA;9;6;3
ENGINYERIA DE CAMINS, CANALS I PORTS;18;3;15
ENGINYERIA DE TELECOMUNICACIÓ;22;5;17
ENGINYERIA GEOLÒGICA;6;1;5
ENGINYERIA INFORMÀTICA;3;1;2
ENGINYERIA QUÍMICA;18;9;9
ENVELLIMENT ACTIU I SALUT;16;8;8
ESPANYOL I ANGLÉS COM A SEGONES LLENGUES/LLENGUES ESTRANGERES;26;21;5
ESTUDIS ANGLESOS AVANÇATS;21;14;7
ESTUDIS LITERARIS;23;14;9
GESTIÓ ADMINISTRATIVA;18;12;6
GESTIÓ PESQUERA SOSTENIBLE;10;6;4
GESTIÓ SOSTENIBLE I TECNLOGIES DE L'AIGUA;17;13;4
HISTÒRIA DE LA CIÈNCIA I COMUNICACIÓ CIENTÍFICA (Interuniversitari);7;2;5
HISTÒRIA DE L'EUROPA CONTEMPORÀNIA: IDENTITATS I INTEGRACIÓ;8;1;7
HISTÒRIA DEL MÓN MEDITERRANI I LES SEUES REGIONS;19;11;8
HISTÒRIA I IDENTITATS EN EL MEDITERRANI OCCIDENTAL (SIGLOS XV-XIX) (Interuniversitari);12;5;7
INNOVACIÓ SOCIAL I DINÀMIQUES DE CANVI;8;5;3
INTEL·LIGÈNCIA ARTIFICIAL;29;3;26
INVESTIGACIÓ CRIMINAL I CIÈNCIES FORENSES;14;12;2
INVESTIGACIÓ EDUCATIVA;33;21;12
INVESTIGACIÓ EN CIÈNCIES DE LA SALUT;12;9;3
NANOCIÈNCIA I NANOTECNOLOGIA MOLECULAR (Interuniversitari);2;1;1
NUTRICIÓ I ALIMENTACIÓ;15;13;2
OPTOMETRIA AVANÇADA I SALUT VISUAL;4;4;0
PALEONTOLOGIA APLICADA (Interuniversitari);13;7;6
PLANIFICACIÓ I GESTIÓ DE RISCS NATURALS;18;9;9
PREVENCIÓ DE RISCOS LABORALS;28;16;12
PROFESSORAT D'EDUCACIÓ SECUNDÀRIA;456;257;199
QUÍMICA AMBIENTAL I SOSTENIBLE;13;9;4
QUÍMICA MÈDICA;6;4;2
TRADUCCIÓ INSTITUCIONAL;47;41;6
TURISME CULTURAL;9;5;4
