PROGRAMES DE DOCTORAT;Total;Dones;Homes
AIGUA I DESENVOLUPAMENT SOSTENIBLE;7;3;4
BIODIVERSITAT I CONSERVACIÓ;0;0;0
BIOLOGIA EXPERIMENTAL I APLICADA;4;2;2
CIÈNCIA DE MATERIALS;14;8;6
CIÈNCIES DE LA SALUT;38;23;15
CIÈNCIES DE L'ACTIVIDAT FÍSICA I DE L'ESPORT;7;3;4
CIÈNCIES DEL MAR I BIOLOGIA APLICADA;6;6;0
CIÈNCIES EXPERIMENTALS I BIOSANITÀRIES;15;10;5
CONSERVACIÓ I RESTAURACIÓ D'ECOSISTEMES;7;5;2
DIDÀCTICA DE LES CIÈNCIES EXPERIMENTALS (Interuniversitari);5;1;4
DRET;41;17;24
ECONOMIA;8;4;4
ECONOMIA (Interuniversitari);1;0;1
ELECTROQUÍMICA. CIÈNCIA I TECNOLOGIA (Interuniversitari);1;1;0
EMPRESA, ECONOMIA I SOCIETAT;20;13;7
ENGINYERIA DE MATERIALS, ESTRUCTURES I TERRENY: CONSTRUCCIÓ SOSTENIBLE;12;5;7
ENGINYERIA QUÍMICA;3;2;1
ESTUDIS HISTÒRICS I SOCIALS SOBRE CIÈNCIA, MEDICINA I COMUNICACIÓ CIENTÍFICA (Interuniversitari);1;0;1
ESTUDIS INTERDISCIPLINARS DE GÈNERE (Interuniversitari);5;5;0
FILOSOFIA (Interuniversitari);0;0;0
FILOSOFIA I LLETRES;46;19;27
FÍSICA APLICADA A LES CIÈNCIES I LES TECNOLOGIES;14;7;7
HUMANITATS I ESTUDIS SOCIALS D'AMÈRICA LLATINA;35;16;19
INFORMÀTICA;36;9;27
INVESTIGACIÓ EDUCATIVA;27;18;9
MÈTODES MATEMÀTICS I MODELITZACIÓ EN CIÈNCIES I ENGINYERIA;5;2;3
NANOCIÈNCIA I NANOTECNOLOGIA (Interuniversitari);2;0;2
SÍNTESI ORGÀNICA;3;1;2
TECNOLOGIA EDUCATIVA APLICADA AL CONEIXEMENT;33;19;14
TRADUCTOLOGIA, TRADUCCIÓ PROFESSIONAL I AUDIOVISUAL (Interuniversitari);4;4;0
TRANSFERÈNCIES INTERCULTURALS I HISTÒRIQUES A L'EUROPA MEDIEVAL;22;16;6
TURISME (Interuniversitari);13;9;4
