PROGRAMES DE DOCTORAT;Total;Dones;Homes
AIGUA I DESENVOLUPAMENT SOSTENIBLE;52;22;30
BIODIVERSITAT I CONSERVACIÓ;19;6;13
BIOLOGIA EXPERIMENTAL I APLICADA;42;27;15
CIÈNCIA DE MATERIALS;68;33;35
CIÈNCIES DE LA SALUT;186;118;68
CIÈNCIES DE L'ACTIVIDAT FÍSICA I DE L'ESPORT;5;3;2
CIÈNCIES DEL MAR I BIOLOGIA APLICADA;26;17;9
CIÈNCIES EXPERIMENTALS I BIOSANITÀRIES;58;27;31
CONSERVACIÓ I RESTAURACIÓ D'ECOSISTEMES;22;10;12
DRET;151;62;89
ECONOMIA;39;13;26
ECONOMIA (Interuniversitari);2;2;0
ELECTROQUÍMICA. CIÈNCIA I TECNOLOGIA (Interuniversitari);20;7;13
EMPRESA, ECONOMIA I SOCIETAT;93;43;50
ENGINYERIA DE MATERIALS, ESTRUCTURES I TERRENY: CONSTRUCCIÓ SOSTENIBLE;38;13;25
ENGINYERIA QUÍMICA;23;11;12
ESTUDIS HISTÒRICS I SOCIALS SOBRE CIÈNCIA, MEDICINA I COMUNICACIÓ CIENTÍFICA (Interuniversitari);3;3;0
ESTUDIS INTERDISCIPLINARS DE GÈNERE (Interuniversitari);19;11;8
FILOSOFIA (Interuniversitari);8;3;5
FILOSOFIA I LLETRES;271;155;116
FÍSICA APLICADA A LES CIÈNCIES I LES TECNOLOGIES;31;8;23
HUMANITATS I ESTUDIS SOCIALS D'AMÈRICA LLATINA;85;34;51
INFORMÀTICA;130;33;97
INVESTIGACIÓ EDUCATIVA;94;55;39
MARIE SKLODOWSKA-CURIE EN DRET DE PROPIETAT INTEL·LECTUAL I INNOVACIÓ (EIPN-IS) (EUROPEU CONJUNT);2;1;1
MÈTODES MATEMÀTICS I MODELITZACIÓ EN CIÈNCIES I ENGINYERIA;23;8;15
NANOCIÈNCIA I NANOTECNOLOGIA (Interuniversitari, a extingir);1;1;0
NANOCIÈNCIA I NANOTECNOLOGIA (Interuniversitari);6;2;4
SÍNTESI ORGÀNICA;19;12;7
TECNOLOGIA EDUCATIVA APLICADA AL CONEIXEMENT;28;8;20
TRADUCTOLOGIA, TRADUCCIÓ PROFESSIONAL I AUDIOVISUAL (Interuniversitari);38;28;10
TRANSFERÈNCIES INTERCULTURALS I HISTÒRIQUES A L'EUROPA MEDIEVAL;51;28;23
TURISME (Interuniversitari, a extingir);4;1;3
TURISME (Interuniversitari);35;18;17
