Nacionalitat;Total;Dones;Homes
ALEMANYA;3;1;2
ALGÈRIA;84;59;25
ARGENTINA;4;4;0
ÀUSTRIA;1;0;1
AZERBAIDJAN;1;1;0
BIELORÚSSIA;1;0;1
BOLÍVIA;5;1;4
BRASIL;46;18;28
BULGÀRIA;3;3;0
COLÒMBIA;73;33;40
COSTA RICA;8;2;6
CROÀCIA;1;1;0
CUBA;37;23;14
EGIPTE;3;1;2
EL SALVADOR;10;1;9
EQUADOR;74;32;42
ESPANYA;1067;505;562
ESTATS UNITS D'AMÈRICA;6;0;6
FRANÇA;11;4;7
GEÒRGIA;2;2;0
GHANA;6;1;5
GRÈCIA;39;23;16
GUATEMALA;1;0;1
GUINEA EQUATORIAL;1;0;1
HONDURES;4;3;1
HONGRIA;1;0;1
ÍNDIA;3;0;3
IRAN;7;1;6
ITÀLIA;37;20;17
JORDÀNIA;2;0;2
KAZAKHSTAN;1;1;0
KIRGUIZISTAN;1;1;0
L'ARÀBIA SAUDITA;1;0;1
LÍBAN;1;0;1
LITUÀNIA;1;1;0
MARROC;4;1;3
MÈXIC;21;14;7
NAMÍBIA;1;1;0
NICARAGUA;1;0;1
NIGÈRIA;1;1;0
PAKISTAN;1;0;1
PARAGUAI;2;1;1
PERÚ;16;5;11
POLÒNIA;3;1;2
PORTUGAL;3;2;1
REGNE UNIT;6;5;1
REPÚBLICA DOMINICANA;1;1;0
REPÚBLICA TXECA;1;0;1
ROMANIA;6;5;1
RÚSSIA;9;8;1
SÈRBIA;1;1;0
SRI LANKA (CEILAN);1;1;0
TUNÍSIA;1;0;1
TURQUIA;1;1;0
UCRAÏNA;3;2;1
URUGUAI;1;0;1
VENEÇUELA;3;2;1
XILE;41;17;24
XINA (REPUBLICA POPULAR);18;12;6
