NACIONALITAT;Total;Dones;Homes
ALEMANYA;1;0;1
ALGÈRIA;55;36;19
ARGENTINA;8;7;1
ÀUSTRIA;1;0;1
AZERBAIDJAN;1;1;0
BIELORÚSSIA;1;0;1
BOLÍVIA;4;1;3
BRASIL;48;17;31
BULGÀRIA;3;3;0
CANADÀ;1;0;1
COLÒMBIA;59;25;34
COSTA RICA;10;3;7
CUBA;37;23;14
EGIPTE;1;1;0
EL SALVADOR;17;3;14
EQUADOR;69;31;38
ESPANYA;1066;501;565
ESTATS UNITS D'AMÈRICA;3;0;3
FRANÇA;9;4;5
GEÒRGIA;2;2;0
GHANA;4;0;4
GRÈCIA;63;44;19
GUINEA EQUATORIAL;3;0;3
HOLANDA (PAÏSOS BAIXOS);1;1;0
HONDURES;4;3;1
HONGRIA;1;0;1
ÍNDIA;4;1;3
IRAN;7;1;6
IRAQ;2;0;2
ITÀLIA;38;23;15
JORDÀNIA;1;0;1
KIRGUIZISTAN;1;1;0
LÍBAN;1;0;1
MARROC;9;4;5
MÈXIC;18;11;7
NAMÍBIA;1;1;0
NIGÈRIA;1;1;0
OCEANIA AMERICANA;1;0;1
PAKISTAN;1;0;1
PANAMÁ;1;1;0
PERÚ;20;8;12
POLÒNIA;2;0;2
PORTUGAL;3;2;1
REGNE UNIT;2;2;0
REPÚBLICA DOMINICANA;1;1;0
ROMANIA;9;7;2
RÚSSIA;6;6;0
SÈRBIA;1;1;0
SRI LANKA (CEILAN);1;1;0
TAIWAN;1;1;0
TUNÍSIA;1;0;1
TURQUIA;2;2;0
UCRAÏNA;4;2;2
URUGUAI;3;2;1
VENEÇUELA;7;4;3
XILE;43;20;23
XINA (REPUBLICA POPULAR);22;9;13
