Estudiantat enviat;Total;Dones;Homes
ALEMANYA;49;36;13
ALGÈRIA;1;0;1
ARGENTINA;9;6;3
AUSTRÀLIA;8;6;2
ÀUSTRIA;11;9;2
BÈLGICA;28;22;6
BRASIL;1;1;0
BULGÀRIA;6;3;3
CANADÀ;7;4;3
COLÒMBIA;1;1;0
COREA DEL SUD;6;4;2
CROÀCIA;1;0;1
DINAMARCA;1;1;0
EQUADOR;1;0;1
ESLOVÀQUIA;6;3;3
ESLOVÈNIA;7;4;3
ESTATS UNITS D'AMÈRICA;37;21;16
FINLÀNDIA;14;10;4
FRANÇA;56;41;15
GRÈCIA;13;9;4
HOLANDA (PAÏSOS BAIXOS);28;17;11
HONGRIA;3;1;2
IRLANDA (EIRE);23;18;5
ITÀLIA;72;53;19
JAPÓ;11;5;6
LETÒNIA;4;2;2
LITUÀNIA;13;9;4
MALÀISIA;1;0;1
MÈXIC;9;8;1
NORUEGA;14;8;6
NOVA ZELANDA;2;2;0
POLÒNIA;95;57;38
PORTUGAL;22;20;2
REGNE UNIT;42;32;10
REPÚBLICA DOMINICANA;2;0;2
REPÚBLICA TXECA;19;10;9
ROMANIA;5;2;3
SUÈCIA;13;6;7
SUÏSSA;1;0;1
TAILÀNDIA;2;1;1
TAIWAN;2;0;2
URUGUAI;1;1;0
VIETNAM;1;0;1
XILE;12;10;2
XIPRE;1;0;1
