Estudiantat acollit;Total;Dones;Homes
ALEMANYA;97;70;27
ARGENTINA;9;7;2
AUSTRÀLIA;12;9;3
ÀUSTRIA;16;5;11
BÈLGICA;20;18;2
BOLÍVIA;3;1;2
BRASIL;6;5;1
BULGÀRIA;3;1;2
CANADÀ;6;6;0
COLÒMBIA;7;6;1
COREA DEL SUD;3;3;0
COSTA RICA;4;3;1
CROÀCIA;4;2;2
DINAMARCA;3;0;3
EQUADOR;7;6;1
ESLOVÀQUIA;4;1;3
ESLOVÈNIA;7;3;4
ESTATS UNITS D'AMÈRICA;14;12;2
ESTÒNIA;1;1;0
FINLÀNDIA;16;14;2
FRANÇA;81;67;14
GHANA;2;0;2
GRÈCIA;7;5;2
HOLANDA (PAÏSOS BAIXOS);41;20;21
HONG KONG;1;1;0
HONGRIA;5;5;0
ÍNDIA;1;1;0
IRLANDA (EIRE);27;16;11
ITÀLIA;108;73;35
JAPÓ;8;4;4
KAZAKHSTAN;1;1;0
LITUÀNIA;18;12;6
MÈXIC;14;13;1
NORUEGA;17;15;2
NOVA ZELANDA;1;1;0
PANAMÁ;3;1;2
PERÚ;3;1;2
POLÒNIA;70;52;18
PORTUGAL;17;16;1
REGNE UNIT;67;48;19
REPÚBLICA TXECA;17;10;7
ROMANIA;7;6;1
SUÈCIA;3;2;1
SUÏSSA;3;3;0
TAIWAN;5;5;0
TURQUIA;2;2;0
UCRAÏNA;2;2;0
URUGUAI;5;2;3
XILE;15;12;3
XINA (REPUBLICA POPULAR);16;14;2
XIPRE;2;1;1
