Estudiantat enviat;Total;Dones;Homes
UNIVERSITAT AUTÒNOMA DE BARCELONA;2;2;0
UNIVERSITAT AUTÒNOMA DE MADRID;2;1;1
UNIVERSITAT CARLOS III;2;0;2
UNIVERSITAT COMPLUTENSE DE MADRID;6;1;5
UNIVERSITAT D'ALCALÁ;2;0;2
UNIVERSITAT D'ALMERIA;4;1;3
UNIVERSITAT DE BARCELONA;8;6;2
UNIVERSITAT DE CADIS;2;2;0
UNIVERSITAT DE CASTELLA-LA MANXA;1;1;0
UNIVERSITAT DE CÒRDOVA;1;0;1
UNIVERSITAT DE GIRONA;3;2;1
UNIVERSITAT DE GRANADA;17;13;4
UNIVERSITAT DE LA CORUNYA;2;2;0
UNIVERSITAT DE LA LAGUNA;5;3;2
UNIVERSITAT DE LAS PALMAS DE GRAN CANÀRIA;4;2;2
UNIVERSITAT DE LES ILLES BALEARS;1;1;0
UNIVERSITAT DE LLEÓ;1;1;0
UNIVERSITAT DE MÀLAGA;2;2;0
UNIVERSITAT DE SALAMANCA;3;2;1
UNIVERSITAT DE SANTIAGO DE COMPOSTEL·LA;3;2;1
UNIVERSITAT DE SARAGOSSA;1;1;0
UNIVERSITAT DE SEVILLA;8;5;3
UNIVERSITAT DE VALÈNCIA;3;2;1
UNIVERSITAT DE VALLADOLID;1;1;0
UNIVERSITAT DE VIGO;4;1;3
UNIVERSITAT DEL PAÍS BASC;5;4;1
UNIVERSITAT D'EXTREMADURA;2;2;0
UNIVERSITAT D'OVIEDO;1;0;1
UNIVERSITAT PABLO DE OLAVIDE;4;2;2
UNIVERSITAT POLITÈCNICA DE MADRID;1;0;1
UNIVERSITAT REY JUAN CARLOS;4;2;2
UNIVERSITAT ROVIRA I VIRGILI;1;0;1
