Estudiantat acollit;Total;Dones;Homes
UNIVERSITAT AUTÒNOMA DE MADRID;1;1;0
UNIVERSITAT CARLOS III;2;1;1
UNIVERSITAT COMPLUTENSE DE MADRID;3;3;0
UNIVERSITAT D'ALCALÁ;1;1;0
UNIVERSITAT D'ALMERIA;2;2;0
UNIVERSITAT DE BARCELONA;3;2;1
UNIVERSITAT DE CASTELLA-LA MANXA;5;5;0
UNIVERSITAT DE DEUSTO;1;1;0
UNIVERSITAT DE GRANADA;3;3;0
UNIVERSITAT DE LA CORUNYA;3;3;0
UNIVERSITAT DE LES ILLES BALEARS;4;0;4
UNIVERSITAT DE LLEIDA;1;1;0
UNIVERSITAT DE LLEÓ;3;1;2
UNIVERSITAT DE MÚRCIA;3;2;1
UNIVERSITAT DE SALAMANCA;6;6;0
UNIVERSITAT DE SANTIAGO DE COMPOSTEL·LA;7;5;2
UNIVERSITAT DE SARAGOSSA;2;2;0
UNIVERSITAT DE SEVILLA;2;2;0
UNIVERSITAT DE VALÈNCIA;2;2;0
UNIVERSITAT DE VALLADOLID;8;6;2
UNIVERSITAT DE VIGO;4;3;1
UNIVERSITAT DEL PAÍS BASC;1;1;0
UNIVERSITAT D'OVIEDO;2;1;1
UNIVERSITAT JAUME I DE CASTELLÓ;2;2;0
UNIVERSITAT PABLO DE OLAVIDE;3;1;2
UNIVERSITAT REY JUAN CARLOS;1;1;0
UNIVERSITAT ROVIRA I VIRGILI;2;2;0
