GRAUS;Mitjana Total;Mitjana Dones;Mitjana Homes
ADMINISTRACIÓ I DIRECCIÓ D'EMPRESES;5.6;5.4;5.8
ARQUITECTURA TÈCNICA;6.1;5.7;6.4
BIOLOGIA;4.8;5;4.6
CIÈNCIES DE L'ACTIVITAT FÍSICA I DE L'ESPORT;4.5;4.3;4.5
CIÈNCIES DEL MAR;4.9;5.1;4.5
CRIMINOLOGIA;4.7;4.7;4.7
DRET;5.1;5;5.3
ECONOMIA;4.9;4.9;4.9
ENGINYERIA BIOMÈDICA;5.1;5.2;5
ENGINYERIA CIVIL;5.4;5.2;5.5
ENGINYERIA EN SO I IMATGE EN TELECOMUNICACIÓ;6.1;5.6;6.2
ENGINYERIA INFORMÀTICA;5.4;5;5.5
ENGINYERIA MULTIMÈDIA;5.4;5.6;5.4
ENGINYERIA QUÍMICA;5.4;5.4;5.5
ENGINYERIA ROBÒTICA;5.1;5.3;5.1
ESPANYOL: LLENGUA I LITERATURES;4.4;4.3;4.6
ESTUDIS ANGLESOS;5.1;4.9;5.6
ESTUDIS ÀRABS I ISLÀMICS;4.2;4;4.5
ESTUDIS FRANCESOS;4.8;4.9;4
FILOLOGIA CATALANA;4.8;4.5;5.7
FÍSICA;5;5.1;5
FONAMENTS DE L'ARQUITECTURA;6.5;6.2;7
GASTRONOMIA I ARTS CULINÀRIES;4.4;4.2;4.5
GEOGRAFIA I ORDENACIÓ DEL TERRITORI;4.9;5;4.9
GEOLOGIA;5.8;5.5;6.1
GESTIÓ I ADMINISTRACIÓ PÚBLICA;4.8;4.2;5.3
HISTÒRIA;4.8;4.9;4.7
HUMANITATS;4.5;4.6;4.4
INFERMERIA;4;4;4
MÀRQUETING;4.9;5;4.9
MATEMÀTIQUES;5.6;5.7;5.5
MESTRE EN EDUCACIÓ INFANTIL;4.2;4.2;4.2
MESTRE EN EDUCACIÓ PRIMÀRIA;4.4;4.2;4.7
NUTRICIÓ HUMANA I DIETÈTICA;3.9;3.9;3.9
ÒPTICA I OPTOMETRIA;4.8;4.9;4.6
PUBLICITAT I RELACIONS PÚBLIQUES;4.5;4.5;4.4
QUÍMICA;5.4;5.6;5.2
RELACIONS INTERNACIONALS;4.7;4.8;4.7
RELACIONS LABORALS I RECURSOS HUMANS (UA);5.5;5.5;5.5
RELACIONS LABORALS I RECURSOS HUMANS (ELDA);5.1;5.1;n.c.
SOCIOLOGIA;4.8;4.6;5.1
TRADUCCIÓ I INTERPRETACIÓ;4.5;4.4;4.7
TREBALL SOCIAL;4.9;4.9;4.6
TURISME;5.1;5;5.3
DOBLE GRAU EN DRET I ADMINISTRACIÓ I DIRECCIÓ D'EMPRESES;6.1;6.3;5.9
DOBLE GRAU EN DRET I CRIMINOLOGIA;5.5;5.5;5.6
DOBLE GRAU EN ENGINYERIA INFORMÀTICA I ADMINISTRACIÓ I DIRECCIÓ D'EMPRESES;6.2;6;6.2
DOBLE GRAU EN TURISME I ADMINISTRACIÓ I DIRECCIÓ D'EMPRESES;6.6;6.6;6.7
