GRAUS;Total;Dones;Homes
ADMINISTRACIÓ I DIRECCIÓ D'EMPRESES;214;99;115
ARQUITECTURA TÈCNICA;21;7;14
BIOLOGIA;120;65;55
CIÈNCIES DE L'ACTIVITAT FÍSICA I DE L'ESPORT;83;23;60
CIÈNCIES DEL MAR;50;38;12
CRIMINOLOGIA;184;147;37
DRET;341;218;123
ECONOMIA;66;29;37
ENGINYERIA BIOMÈDICA;67;41;26
ENGINYERIA CIVIL;14;6;8
ENGINYERIA EN SO I IMATGE EN TELECOMUNICACIÓ;34;7;27
ENGINYERIA INFORMÀTICA;113;12;101
ENGINYERIA MULTIMÈDIA;71;20;51
ENGINYERIA QUÍMICA;38;17;21
ENGINYERIA ROBÒTICA;31;8;23
ESPANYOL: LLENGUA I LITERATURES;45;35;10
ESTUDIS ANGLESOS;67;50;17
ESTUDIS ÀRABS I ISLÀMICS;5;3;2
ESTUDIS FRANCESOS;11;10;1
FILOLOGIA CATALANA;24;18;6
FÍSICA;42;11;31
FONAMENTS DE L'ARQUITECTURA;44;24;20
GASTRONOMIA I ARTS CULINÀRIES;48;24;24
GEOGRAFIA I ORDENACIÓ DEL TERRITORI;14;5;9
GEOLOGIA;17;8;9
GESTIÓ I ADMINISTRACIÓ PÚBLICA;13;5;8
HISTÒRIA;73;26;47
HUMANITATS;15;10;5
INFERMERIA;193;150;43
MÀRQUETING;31;20;11
MATEMÀTIQUES;51;18;33
MESTRE EN EDUCACIÓ INFANTIL;288;267;21
MESTRE EN EDUCACIÓ PRIMÀRIA;336;242;94
NUTRICIÓ HUMANA I DIETÈTICA;66;45;21
ÒPTICA I OPTOMETRIA;25;16;9
PUBLICITAT I RELACIONS PÚBLIQUES;182;149;33
QUÍMICA;48;22;26
RELACIONS INTERNACIONALS;65;39;26
RELACIONS LABORALS I RECURSOS HUMANS (UA);59;38;21
RELACIONS LABORALS I RECURSOS HUMANS (ELDA);7;7;0
SOCIOLOGIA;26;17;9
TRADUCCIÓ I INTERPRETACIÓ;121;97;24
TREBALL SOCIAL;124;107;17
TURISME;126;86;40
DOBLE GRAU EN DRET I ADMINISTRACIÓ I DIRECCIÓ D'EMPRESES;51;30;21
DOBLE GRAU EN DRET I CRIMINOLOGIA;65;53;12
DOBLE GRAU EN ENGINYERIA INFORMÀTICA I ADMINISTRACIÓ I DIRECCIÓ D'EMPRESES;13;1;12
DOBLE GRAU EN TURISME I ADMINISTRACIÓ I DIRECCIÓ D'EMPRESES;28;22;6
