MÀSTERS;Total;Dones;Homes
ADMINISTRACIÓ I DIRECCIÓ D'EMPRESES;37;14;23
ADVOCACIA I PROCURA;83;57;26
ANGLÉS I ESPANYOL PER A FINS ESPECÍFICS;10;8;2
ARQUEOLOGIA PROFESSIONAL I GESTIÓ INTEGRAL DEL PATRIMONI;21;10;11
ARQUITECTURA;44;26;18
AUTOMÀTICA I ROBÒTICA;20;6;14
BIOMEDICINA;9;3;6
BIOTECNOLOGIA PER A LA SALUT I LA SOSTENIBILITAT;4;1;3
CÀLCUL I MODELITZACIÓ CIENTÍFICA;3;1;2
CIBERSEGURETAT;13;2;11
CIÈNCIA DE DADES;17;5;12
CIÈNCIA DE MATERIALS;11;4;7
COMUNICACIÓ DIGITAL;27;20;7
COMUNICACIÓ I INDÚSTRIES CREATIVES;39;30;9
CONSERVACIÓ DE LA BIODIVERSITAT I RESTAURACIÓ DEL MEDIO MARÍ Y TERRESTRE;13;7;6
COOPERACIÓ AL DESENVOLUPAMENT (Interuniversitari);5;3;2
DESENVOLUPAMENT D'APLICACIONS I SERVEIS WEB;7;1;6
DESENVOLUPAMENT DE PROGRAMARI PER A DISP. MÒBILS;9;1;8
DESENVOLUPAMENT LOCAL I INNOVACIÓ TERRITORIAL;4;3;1
DIRECCIÓ I PLANIFICACIÓ DEL TURISME;17;11;6
DRET AMBIENTAL I DE LA SOSTENIBILITAT;24;11;13
DRET DE DANYS;7;5;2
ECONOMIA APLICADA;4;4;0
ECONOMIA QUANTITATIVA;7;1;6
ELECTROQUÍMICA. CIÈNCIA I TECNOLOGIA (Interuniversitari);2;1;1
EMERGÈNCIES I CATÀSTROFES;27;24;3
ENGINYERIA DE CAMINS, CANALS I PORTS;6;1;5
ENGINYERIA DE TELECOMUNICACIÓ;3;0;3
ENGINYERIA GEOLÒGICA;9;6;3
ENGINYERIA QUÍMICA;18;8;10
ENVELLIMENT ACTIU I SALUT;10;5;5
ESPANYOL I ANGLÉS COM A SEGONES LLENGUES/LLENGUES ESTRANGERES;33;26;7
ESTUDIS ANGLESOS AVANÇATS;13;10;3
ESTUDIS LITERARIS;17;11;6
GESTIÓ ADMINISTRATIVA;11;6;5
GESTIÓ SOSTENIBLE I TECNLOGIES DE L'AIGUA;11;8;3
HISTÒRIA DE LA CIÈNCIA I COMUNICACIÓ CIENTÍFICA (Interuniversitari);8;6;2
HISTÒRIA DE L'EUROPA CONTEMPORÀNIA: IDENTITATS I INTEGRACIÓ;3;0;3
HISTÒRIA DEL MÓN MEDITERRANI I LES SEUES REGIONS;12;5;7
HISTÒRIA I IDENTITATS EN EL MEDITERRANI OCCIDENTAL (SIGLOS XV-XIX) (Interuniversitari);4;2;2
INNOVACIÓ SOCIAL I DINÀMIQUES DE CANVI;10;6;4
INTEL·LIGÈNCIA ARTIFICIAL;24;2;22
INVESTIGACIÓ CRIMINAL I CIÈNCIES FORENSES;14;11;3
INVESTIGACIÓ EDUCATIVA;28;16;12
INVESTIGACIÓ EN CIÈNCIES DE LA SALUT;9;7;2
NANOCIÈNCIA I NANOTECNOLOGIA MOLECULAR (Interuniversitari);1;0;1
NUTRICIÓ I ALIMENTACIÓ;14;13;1
OPTOMETRIA AVANÇADA I SALUT VISUAL;2;2;0
PLANIFICACIÓ I GESTIÓ DE RISCS NATURALS;14;8;6
PREVENCIÓ DE RISCOS LABORALS;23;12;11
PROFESSORAT D'EDUCACIÓ SECUNDÀRIA;453;258;195
QUÍMICA AMBIENTAL I SOSTENIBLE;8;4;4
QUÍMICA MÈDICA;5;3;2
TRADUCCIÓ INSTITUCIONAL;41;35;6
TURISME CULTURAL;5;2;3
