MÀSTERES - Durada teòrica dels estudis 1 any;Total;Dones;Homes
ADMINISTRACIÓ I DIRECCIÓ D'EMPRESES;1.5;1.6;1.4
ANGLÉS I ESPANYOL PER A FINS ESPECÍFICS;1.3;1.3;1.5
ARQUEOLOGIA PROFESSIONAL I GESTIÓ INTEGRAL DEL PATRIMONI;1.3;1.4;1.2
ARQUITECTURA;1.9;2.1;1.7
AUTOMÀTICA I ROBÒTICA;1.3;1.2;1.3
BIOMEDICINA;1.2;1.3;1.2
BIOTECNOLOGIA PER A LA SALUT I LA SOSTENIBILITAT;1.3;1;1.3
CÀLCUL I MODELITZACIÓ CIENTÍFICA;1;1;1
CIBERSEGURETAT;1.3;2;1.2
CIÈNCIA DE DADES;1.2;1.2;1.3
CIÈNCIA DE MATERIALS;1.1;1;1.1
COMUNICACIÓ DIGITAL;1.4;1.4;1.4
COMUNICACIÓ I INDÚSTRIES CREATIVES;1.5;1.6;1.3
DESENVOLUPAMENT D'APLICACIONS I SERVEIS WEB;1;1;1
DESENVOLUPAMENT DE PROGRAMARI PER A DISP. MÒBILS;1.6;1;1.6
DESENVOLUPAMENT LOCAL I INNOVACIÓ TERRITORIAL;1.3;1.3;1
DIRECCIÓ I PLANIFICACIÓ DEL TURISME;1.7;1.9;1.3
DRET AMBIENTAL I DE LA SOSTENIBILITAT;1.3;1.2;1.5
DRET DE DANYS;1;1;n.c.
ECONOMIA APLICADA;1.5;1.5;n.c.
ELECTROQUÍMICA. CIÈNCIA I TECNOLOGIA (Interuniversitari);1;1;1
EMERGÈNCIES I CATÀSTROFES;1.2;1.1;1.7
ENVELLIMENT ACTIU I SALUT;1;1;1
ESPANYOL I ANGLÉS COM A SEGONES LLENGUES/LLENGUES ESTRANGERES;1.5;1.3;2.3
ESTUDIS ANGLESOS AVANÇATS;1;1;1
ESTUDIS LITERARIS;1.2;1.4;1
GESTIÓ ADMINISTRATIVA;1.4;1;1.8
GESTIÓ SOSTENIBLE I TECNLOGIES DE L'AIGUA;1.3;1.3;1.3
HISTÒRIA DE LA CIÈNCIA I COMUNICACIÓ CIENTÍFICA (Interuniversitari);2.5;2.7;2
HISTÒRIA DE L'EUROPA CONTEMPORÀNIA: IDENTITATS I INTEGRACIÓ;1.3;n.c.;1.3
HISTÒRIA DEL MÓN MEDITERRANI I LES SEUES REGIONS;1.4;1;1.7
HISTÒRIA I IDENTITATS EN EL MEDITERRANI OCCIDENTAL (SIGLOS XV-XIX) (Interuniversitari);1.3;1.5;1
INNOVACIÓ SOCIAL I DINÀMIQUES DE CANVI;1.3;1.3;1.3
INTEL·LIGÈNCIA ARTIFICIAL;1;1;1
INVESTIGACIÓ CRIMINAL I CIÈNCIES FORENSES;1.2;1.2;1.3
INVESTIGACIÓ EDUCATIVA;1.9;2;1.8
INVESTIGACIÓ EN CIÈNCIES DE LA SALUT;1.3;1.4;1
NANOCIÈNCIA I NANOTECNOLOGIA MOLECULAR (Interuniversitari);1;n.c.;1
NUTRICIÓ I ALIMENTACIÓ;1.2;1.3;1
OPTOMETRIA AVANÇADA I SALUT VISUAL;2;2;n.c.
PLANIFICACIÓ I GESTIÓ DE RISCS NATURALS;1.1;1.1;1
PREVENCIÓ DE RISCOS LABORALS;1.6;1.9;1.2
PROFESSORAT D'EDUCACIÓ SECUNDÀRIA;1.2;1.2;1.2
QUÍMICA AMBIENTAL I SOSTENIBLE;1.1;1.3;1
QUÍMICA MÈDICA;1;1;1
TRADUCCIÓ INSTITUCIONAL;1.9;1.9;1.5
TURISME CULTURAL;1.8;1.5;2
