PROGRAMES DE DOCTORAT;TOTAL;MUJERES;HOMBRES
AIGUA I DESENVOLUPAMENT SOSTENIBLE;5.55;5.62;5.46
BIODIVERSITAT I CONSERVACIÓ;5.35;5.43;5.27
BIOLOGIA EXPERIMENTAL I APLICADA;4.89;4.64;5.77
CIÈNCIA DE MATERIALS;4.2;3.99;4.73
CIÈNCIES DE LA SALUT;3.61;4.31;2.75
CIÈNCIES DE L'ACTIVIDAT FÍSICA I DE L'ESPORT;n.c.;n.c.;n.c.
CIÈNCIES DEL MAR I BIOLOGIA APLICADA;2.99;n.c.;2.99
CIÈNCIES EXPERIMENTALS I BIOSANITÀRIES;3.99;3.99;3.99
CONSERVACIÓ I RESTAURACIÓ D'ECOSISTEMES;4.28;5.06;3.49
DRET;4.48;4.75;4.33
ECONOMIA;4.73;5.01;4.38
ECONOMIA (Interuniversitari);n.c.;n.c.;n.c.
ELECTROQUÍMICA. CIÈNCIA I TECNOLOGIA (Interuniversitari);3.68;3.99;3.52
EMPRESA, ECONOMIA I SOCIETAT;3.88;n.c.;3.88
ENGINYERIA DE MATERIALS, ESTRUCTURES I TERRENY: CONSTRUCCIÓ SOSTENIBLE;3.94;3.99;3.92
ENGINYERIA QUÍMICA;4.53;4.38;4.68
ESTUDIS HISTÒRICS I SOCIALS SOBRE CIÈNCIA, MEDICINA I COMUNICACIÓ CIENTÍFICA (Interuniversitari);n.c.;n.c.;n.c.
ESTUDIS INTERDISCIPLINARS DE GÈNERE (Interuniversitari);n.c.;n.c.;n.c.
FILOSOFIA (Interuniversitari);n.c.;n.c.;n.c.
FILOSOFIA I LLETRES;4.76;4.43;5.09
FÍSICA APLICADA A LES CIÈNCIES I LES TECNOLOGIES;n.c.;n.c.;n.c.
HUMANITATS I ESTUDIS SOCIALS D'AMÈRICA LLATINA;4.69;4.51;4.84
INFORMÀTICA;3.95;4.59;3.77
INVESTIGACIÓ EDUCATIVA;4.38;4.13;4.63
MARIE SKLODOWSKA-CURIE EN DRET DE PROPIETAT INTEL·LECTUAL I INNOVACIÓ (EIPN-IS) (EUROPEU CONJUNT);5.77;5.77;5.77
MÈTODES MATEMÀTICS I MODELITZACIÓ EN CIÈNCIES I ENGINYERIA;3.66;3.99;3.49
NANOCIÈNCIA I NANOTECNOLOGIA (Interuniversitari);n.c.;n.c.;n.c.
NANOCIÈNCIA I NANOTECNOLOGIA (Interuniversitari, a extingir);5.77;5.77;n.c.
SÍNTESI ORGÀNICA;3.49;3.33;3.99
TECNOLOGIA EDUCATIVA APLICADA AL CONEIXEMENT;n.c.;n.c.;n.c.
TRADUCTOLOGIA, TRADUCCIÓ PROFESSIONAL I AUDIOVISUAL (Interuniversitari);2;2;n.c.
TRANSFERÈNCIES INTERCULTURALS I HISTÒRIQUES A L'EUROPA MEDIEVAL;3.92;4.19;3.8
TURISME (Interuniversitari);n.c.;n.c.;n.c.
TURISME (Interuniversitari, a extingir);5;4.69;5.11
