PROGRAMES DE DOCTORAT;Total;Dones;Homes
AIGUA I DESENVOLUPAMENT SOSTENIBLE;8;4;4
BIODIVERSITAT I CONSERVACIÓ;6;2;4
BIOLOGIA EXPERIMENTAL I APLICADA;9;7;2
CIÈNCIA DE MATERIALS;7;5;2
CIÈNCIES DE LA SALUT;26;18;8
CIÈNCIES DEL MAR I BIOLOGIA APLICADA;3;1;2
CIÈNCIES EXPERIMENTALS I BIOSANITÀRIES;5;4;1
CONSERVACIÓ I RESTAURACIÓ D'ECOSISTEMES;4;2;2
DRET;13;4;9
ECONOMIA;9;5;4
ELECTROQUÍMICA. CIÈNCIA I TECNOLOGIA (Interuniversitari);3;1;2
EMPRESA, ECONOMIA I SOCIETAT;13;5;8
ENGINYERIA DE MATERIALS, ESTRUCTURES I TERRENY: CONSTRUCCIÓ SOSTENIBLE;8;2;6
ENGINYERIA QUÍMICA;4;2;2
ESTUDIS HISTÒRICS I SOCIALS SOBRE CIÈNCIA, MEDICINA I COMUNICACIÓ CIENTÍFICA (Interuniversitari);1;1;0
ESTUDIS INTERDISCIPLINARS DE GÈNERE (Interuniversitari);1;1;0
FILOSOFIA I LLETRES;32;17;15
FÍSICA APLICADA A LES CIÈNCIES I LES TECNOLOGIES;1;0;1
HUMANITATS I ESTUDIS SOCIALS D'AMÈRICA LLATINA;13;6;7
INFORMÀTICA;20;4;16
INVESTIGACIÓ EDUCATIVA;27;14;13
MARIE SKLODOWSKA-CURIE EN DRET DE PROPIETAT INTEL·LECTUAL I INNOVACIÓ (EIPN-IS) (EUROPEU CONJUNT);2;1;1
MÈTODES MATEMÀTICS I MODELITZACIÓ EN CIÈNCIES I ENGINYERIA;8;2;6
NANOCIÈNCIA I NANOTECNOLOGIA (Interuniversitari);1;1;0
SÍNTESI ORGÀNICA;4;3;1
TRADUCTOLOGIA, TRADUCCIÓ PROFESSIONAL I AUDIOVISUAL (Interuniversitari);1;1;0
TRANSFERÈNCIES INTERCULTURALS I HISTÒRIQUES A L'EUROPA MEDIEVAL;14;4;10
TURISME (Interuniversitari);4;1;3
