PROGRAMES DE DOCTORAT;Matrícula total;%  Residència fora de la Comunitat Valenciana;%  Nacionalitat no espanyola
AIGUA I DESENVOLUPAMENT SOSTENIBLE;45;28.89;62.22
BIODIVERSITAT I CONSERVACIÓ;12;41.67;41.67
BIOLOGIA EXPERIMENTAL I APLICADA;35;8.57;22.86
CIÈNCIA DE MATERIALS;69;17.39;33.33
CIÈNCIES DE LA SALUT;173;21.39;15.03
CIÈNCIES DE L'ACTIVIDAT FÍSICA I DE L'ESPORT;12;0;0
CIÈNCIES DEL MAR I BIOLOGIA APLICADA;26;30.77;42.31
CIÈNCIES EXPERIMENTALS I BIOSANITÀRIES;59;10.17;10.17
CONSERVACIÓ I RESTAURACIÓ D'ECOSISTEMES;23;26.09;34.78
DIDÀCTICA DE LES CIÈNCIES EXPERIMENTALS (Interuniversitari);5;40;40
DRET;162;32.1;45.68
ECONOMIA;39;38.46;38.46
ECONOMIA (Interuniversitari);4;50;75
ELECTROQUÍMICA. CIÈNCIA I TECNOLOGIA (Interuniversitari);17;47.06;41.18
EMPRESA, ECONOMIA I SOCIETAT;90;22.22;31.11
ENGINYERIA DE MATERIALS, ESTRUCTURES I TERRENY: CONSTRUCCIÓ SOSTENIBLE;41;48.78;58.54
ENGINYERIA QUÍMICA;21;23.81;61.9
ESTUDIS HISTÒRICS I SOCIALS SOBRE CIÈNCIA, MEDICINA I COMUNICACIÓ CIENTÍFICA (Interuniversitari);3;33.33;33.33
ESTUDIS INTERDISCIPLINARS DE GÈNERE (Interuniversitari);21;19.05;9.52
FILOSOFIA (Interuniversitari);9;0;0
FILOSOFIA I LLETRES;231;20.35;26.41
FÍSICA APLICADA A LES CIÈNCIES I LES TECNOLOGIES;42;23.81;30.95
HUMANITATS I ESTUDIS SOCIALS D'AMÈRICA LLATINA;90;62.22;76.67
INFORMÀTICA;140;27.14;26.43
INVESTIGACIÓ EDUCATIVA;86;18.6;19.77
MARIE SKLODOWSKA-CURIE EN DRET DE PROPIETAT INTEL·LECTUAL I INNOVACIÓ (EIPN-IS) (EUROPEU CONJUNT);1;0;100
MÈTODES MATEMÀTICS I MODELITZACIÓ EN CIÈNCIES I ENGINYERIA;18;11.11;83.33
NANOCIÈNCIA I NANOTECNOLOGIA (Interuniversitari);8;12.5;0
SÍNTESI ORGÀNICA;16;31.25;12.5
TECNOLOGIA EDUCATIVA APLICADA AL CONEIXEMENT;60;58.33;53.33
TRADUCTOLOGIA, TRADUCCIÓ PROFESSIONAL I AUDIOVISUAL (Interuniversitari);35;28.57;60
TRANSFERÈNCIES INTERCULTURALS I HISTÒRIQUES A L'EUROPA MEDIEVAL;55;58.18;83.64
TURISME (Interuniversitari);38;36.84;57.89
