GRAUS;Matrícula total;%  Residència fora de la Comunitat Valenciana;%  Nacionalitat no espanyola
ADMINISTRACIÓ I DIRECCIÓ D'EMPRESES;1176;14.12;15.9
ARQUITECTURA;3;0;0
ARQUITECTURA TÈCNICA;246;15.04;17.07
BIOLOGIA;629;20.35;4.93
CIÈNCIES DE L'ACTIVITAT FÍSICA I DE L'ESPORT;410;29.27;2.68
CIÈNCIES DEL MAR;229;40.17;5.68
CRIMINOLOGIA;939;31.95;5.01
DRET;1330;7.9;11.51
ECONOMIA;509;10.41;11.2
ENGINYERIA BIOMÈDICA;331;25.98;3.93
ENGINYERIA CIVIL;229;13.1;17.9
ENGINYERIA EN INTEL·LIGÈNCIA ARTIFICIAL;65;15.38;9.23
ENGINYERIA EN SO I IMATGE EN TELECOMUNICACIÓ;256;13.28;8.98
ENGINYERIA INFORMÀTICA;914;9.52;10.5
ENGINYERIA MULTIMÈDIA;464;12.07;6.9
ENGINYERIA QUÍMICA;280;9.29;8.57
ENGINYERIA ROBÒTICA;287;31.71;4.18
ESPANYOL: LLENGUA I LITERATURES;244;6.15;4.1
ESTUDIS ANGLESOS;461;9.33;13.67
ESTUDIS ÀRABS I ISLÀMICS;27;7.41;29.63
ESTUDIS FRANCESOS;51;21.57;15.69
FILOLOGIA CATALANA;141;0.71;0
FÍSICA;257;15.56;3.11
FONAMENTS DE L'ARQUITECTURA;543;21.73;14
GASTRONOMIA I ARTS CULINÀRIES;251;28.69;11.55
GEOGRAFIA I ORDENACIÓ DEL TERRITORI;93;7.53;5.38
GEOLOGIA;103;12.62;6.8
GESTIÓ I ADMINISTRACIÓ PÚBLICA;100;11.11;17.17
HISTÒRIA;472;5.51;2.54
HUMANITATS;90;3.33;7.78
INFERMERIA;795;14.84;3.27
MÀRQUETING;287;20.91;8.71
MATEMÀTIQUES;298;19.8;3.02
MEDICINA;91;47.25;6.59
MESTRE EN EDUCACIÓ INFANTIL;1324;5.82;1.81
MESTRE EN EDUCACIÓ PRIMÀRIA;1729;6.3;1.56
NUTRICIÓ HUMANA I DIETÈTICA;358;22.63;7.82
ÒPTICA I OPTOMETRIA;220;25.45;11.82
PUBLICITAT I RELACIONS PÚBLIQUES;1039;21.56;9.72
QUÍMICA;278;9.71;1.8
RELACIONS INTERNACIONALS;259;29.34;8.88
RELACIONS LABORALS I RECURSOS HUMANS (UA);456;9;10
RELACIONS LABORALS I RECURSOS HUMANS (ELDA);66;5;8
SOCIOLOGIA;163;6.75;10.43
TRADUCCIÓ I INTERPRETACIÓ;596;18.96;13.26
TREBALL SOCIAL;630;12.38;3.65
TURISME;562;14.62;34.94
DOBLE GRAU EN DRET I ADMINISTRACIÓ I DIRECCIÓ D'EMPRESES;512;11.72;5.27
DOBLE GRAU EN DRET I CRIMINOLOGIA;365;38.08;6.3
DOBLE GRAU EN DRET I RELACIONS INTERNACIONALS;236;35.59;1.69
DOBLE GRAU EN ENGINYERIA INFORMÀTICA I ADMINISTRACIÓ I DIRECCIÓ D'EMPRESES;206;9.71;11.65
DOBLE GRAU EN TURISME I ADMINISTRACIÓ I DIRECCIÓ D'EMPRESES;285;18.95;17.89
