MÀSTERS;Matrícula total;%  Residència fora de la Comunitat Valenciana;%  Nacionalitat no espanyola
ADMINISTRACIÓ I DIRECCIÓ D'EMPRESES;60;35;75
ADVOCACIA (a extingir);94;7.45;6.38
ADVOCACIA I PROCURA;113;5.31;8.85
ANGLÉS I ESPANYOL PER A FINS ESPECÍFICS;21;23.81;76.19
ARQUEOLOGIA PROFESSIONAL I GESTIÓ INTEGRAL DEL PATRIMONI;43;23.26;11.63
ARQUITECTURA;77;40.26;9.09
AUTOMÀTICA I ROBÒTICA;33;45.45;24.24
BIOMEDICINA;16;37.5;50
BIOTECNOLOGIA PER A LA SALUT I LA SOSTENIBILITAT;8;25;37.5
CÀLCUL I MODELITZACIÓ CIENTÍFICA;3;0;0
CIBERSEGURETAT;20;25;35
CIÈNCIA DE DADES;28;21.43;14.29
CIÈNCIA DE MATERIALS;12;41.67;8.33
COMUNICACIÓ DIGITAL;48;20.83;18.75
COMUNICACIÓ I INDÚSTRIES CREATIVES;55;40;74.55
CONSERVACIÓ DE LA BIODIVERSITAT I RESTAURACIÓ DEL MEDIO MARÍ Y TERRESTRE;33;60.61;24.24
COOPERACIÓ AL DESENVOLUPAMENT (Interuniversitari);24;41.67;45.83
DESENVOLUPAMENT D'APLICACIONS I SERVEIS WEB;15;13.33;53.33
DESENVOLUPAMENT DE PROGRAMARI PER A DISPOSITIUS MÒBILS;19;26.32;36.84
DESENVOLUPAMENT LOCAL I INNOVACIÓ TERRITORIAL;11;36.36;45.45
DIRECCIÓ I PLANIFICACIÓ DEL TURISME;40;30;77.5
DRET AMBIENTAL I DE LA SOSTENIBILITAT;29;51.72;82.76
DRET DE DANYS;14;14.29;21.43
ECONOMIA APLICADA;11;27.27;45.45
ECONOMIA QUANTITATIVA;17;43.75;50
ELECTROQUÍMICA. CIÈNCIA I TECNOLOGIA (Interuniversitari);26;11.54;19.23
EMERGÈNCIES I CATÀSTROFES;33;12.12;9.09
ENGINYERIA BIOMÈDICA;9;11.11;11.11
ENGINYERIA DE CAMINS, CANALS I PORTS;55;16.36;38.18
ENGINYERIA DE TELECOMUNICACIÓ;37;24.32;40.54
ENGINYERIA GEOLÒGICA;18;33.33;50
ENGINYERIA INFORMÀTICA;6;16.67;66.67
ENGINYERIA QUÍMICA;46;10.87;15.22
ENVELLIMENT ACTIU I SALUT;19;36.84;26.32
ESPANYOL I ANGLÉS COM A SEGONES LLENGUES/LLENGUES ESTRANGERES;48;18.75;18.75
ESTUDIS ANGLESOS AVANÇATS;21;23.81;33.33
ESTUDIS LITERARIS;31;16.13;16.13
GESTIÓ ADMINISTRATIVA;26;7.69;46.15
GESTIÓ PESQUERA SOSTENIBLE;11;9.09;63.64
GESTIÓ SOSTENIBLE I TECNLOGIES DE L'AIGUA;22;45.45;45.45
HISTÒRIA DE LA CIÈNCIA I COMUNICACIÓ CIENTÍFICA (Interuniversitari);12;14.29;0
HISTÒRIA DE L'EUROPA CONTEMPORÀNIA: IDENTITATS I INTEGRACIÓ;11;18.18;18.18
HISTÒRIA DEL MÓN MEDITERRANI I LES SEUES REGIONS;23;13.04;4.35
HISTÒRIA I IDENTITATS EN EL MEDITERRANI OCCIDENTAL (SIGLOS XV-XIX) (Interuniversitari);16;37.5;18.75
INNOVACIÓ SOCIAL I DINÀMIQUES DE CANVI;17;29.41;17.65
INTEL·LIGÈNCIA ARTIFICIAL;29;20.69;6.9
INVESTIGACIÓ CRIMINAL I CIÈNCIES FORENSES;17;47.06;23.53
INVESTIGACIÓ EDUCATIVA;42;9.52;14.29
INVESTIGACIÓ EN CIÈNCIES DE LA SALUT;15;13.33;6.67
NANOCIÈNCIA I NANOTECNOLOGIA MOLECULAR (Interuniversitari);2;0;0
NUTRICIÓ I ALIMENTACIÓ;22;31.82;54.55
OPTOMETRIA AVANÇADA I SALUT VISUAL;6;50;50
PALEONTOLOGIA APLICADA (Interuniversitari);13;30.77;30.77
PLANIFICACIÓ I GESTIÓ DE RISCS NATURALS;22;50;18.18
PREVENCIÓ DE RISCOS LABORALS;39;23.08;48.72
PROFESSORAT D'EDUCACIÓ SECUNDÀRIA;540;9.26;3.15
QUÍMICA AMBIENTAL I SOSTENIBLE;14;28.57;42.86
QUÍMICA MÈDICA;7;28.57;14.29
TRADUCCIÓ INSTITUCIONAL;93;62.37;23.66
TURISME CULTURAL;16;37.5;37.5
