GRAUS;Total preinscripcions;Nre. Places oferides;Taxa d'oferta i demanda (%)
ADMINISTRACIÓ I DIRECCIÓ D'EMPRESES;349;370;94
ARQUITECTURA TÈCNICA;71;60;118
BIOLOGIA;210;160;131
CIÈNCIES DE L'ACTIVITAT FÍSICA I DE L'ESPORT;410;100;410
CIÈNCIES DEL MAR;121;60;202
CRIMINOLOGIA;326;240;136
DRET;331;240;138
ECONOMIA;189;125;151
ENGINYERIA BIOMÈDICA;84;60;140
ENGINYERIA CIVIL;71;75;95
ENGINYERIA EN INTEL·LIGÈNCIA ARTIFICIAL;146;60;243
ENGINYERIA EN SO I IMATGE EN TELECOMUNICACIÓ;44;80;55
ENGINYERIA INFORMÀTICA;261;190;137
ENGINYERIA MULTIMÈDIA;121;95;127
ENGINYERIA QUÍMICA;60;60;100
ENGINYERIA ROBÒTICA;91;60;152
ESPANYOL: LLENGUA I LITERATURES;78;55;142
ESTUDIS ANGLESOS;110;125;88
ESTUDIS ÀRABS I ISLÀMICS;13;50;26
ESTUDIS FRANCESOS;21;50;42
FILOLOGIA CATALANA;30;50;60
FÍSICA;131;70;187
FONAMENTS DE L'ARQUITECTURA;165;120;138
GASTRONOMIA I ARTS CULINÀRIES;78;75;104
GEOGRAFIA I ORDENACIÓ DEL TERRITORI;24;50;48
GEOLOGIA;27;50;54
GESTIÓ I ADMINISTRACIÓ PÚBLICA;33;50;66
HISTÒRIA;118;125;94
HUMANITATS;30;50;60
INFERMERIA;1115;200;558
MÀRQUETING;218;75;291
MATEMÀTIQUES;189;70;270
MEDICINA;1639;86;1906
MESTRE EN EDUCACIÓ INFANTIL;485;360;135
MESTRE EN EDUCACIÓ PRIMÀRIA;728;440;165
NUTRICIÓ HUMANA I DIETÈTICA;120;100;120
ÒPTICA I OPTOMETRIA;56;70;80
PUBLICITAT I RELACIONS PÚBLIQUES;294;240;123
QUÍMICA;100;70;143
RELACIONS INTERNACIONALS;114;60;190
RELACIONS LABORALS I RECURSOS HUMANS (UA);76;130;58
RELACIONS LABORALS I RECURSOS HUMANS (ELDA);18;50;36
SOCIOLOGIA;18;60;30
TRADUCCIÓ I INTERPRETACIÓ;226;180;126
TREBALL SOCIAL;123;160;77
TURISME;83;240;35
DOBLE GRAU EN DRET I ADMINISTRACIÓ I DIRECCIÓ D'EMPRESES;174;130;134
DOBLE GRAU EN DRET I CRIMINOLOGIA;153;70;219
DOBLE GRAU EN DRET I RELACIONS INTERNACIONALS;145;60;242
DOBLE GRAU EN ENGINYERIA INFORMÀTICA I ADMINISTRACIÓ I DIRECCIÓ D'EMPRESES;65;50;130
DOBLE GRAU EN TURISME I ADMINISTRACIÓ I DIRECCIÓ D'EMPRESES;59;100;59
