MÀSTERS;Total preinscripcions;Nre. Places oferides;Taxa d'oferta i demanda (%)
ADMINISTRACIÓ I DIRECCIÓ D'EMPRESES;141;40;353
ADVOCACIA I PROCURA;224;140;160
ANGLÉS I ESPANYOL PER A FINS ESPECÍFICS;26;20;130
ARQUEOLOGIA PROFESSIONAL I GESTIÓ INTEGRAL DEL PATRIMONI;47;30;157
ARQUITECTURA;79;90;88
AUTOMÀTICA I ROBÒTICA;59;30;197
BIOMEDICINA;72;20;360
BIOTECNOLOGIA PER A LA SALUT I LA SOSTENIBILITAT;31;20;155
CÀLCUL I MODELITZACIÓ CIENTÍFICA;10;25;40
CIBERSEGURETAT;35;20;175
CIÈNCIA DE DADES;91;20;455
CIÈNCIA DE MATERIALS;27;20;135
COMUNICACIÓ DIGITAL;128;35;366
COMUNICACIÓ I INDÚSTRIES CREATIVES;115;35;329
CONSERVACIÓ DE LA BIODIVERSITAT I RESTAURACIÓ DEL MEDIO MARÍ Y TERRESTRE;59;25;236
COOPERACIÓ AL DESENVOLUPAMENT (Interuniversitari);38;25;152
DESENVOLUPAMENT D'APLICACIONS I SERVEIS WEB;33;30;110
DESENVOLUPAMENT DE PROGRAMARI PER A DISPOSITIUS MÒBILS;29;20;145
DESENVOLUPAMENT LOCAL I INNOVACIÓ TERRITORIAL;16;25;64
DIRECCIÓ I PLANIFICACIÓ DEL TURISME;55;30;183
DRET AMBIENTAL I DE LA SOSTENIBILITAT;41;30;137
DRET DE DANYS;14;40;35
ECONOMIA APLICADA;33;15;220
ECONOMIA QUANTITATIVA;32;25;128
ELECTROQUÍMICA. CIÈNCIA I TECNOLOGIA (Interuniversitari);11;25;44
EMERGÈNCIES I CATÀSTROFES;150;30;500
ENGINYERIA BIOMÈDICA;41;20;205
ENGINYERIA DE CAMINS, CANALS I PORTS;34;50;68
ENGINYERIA DE TELECOMUNICACIÓ;45;30;150
ENGINYERIA GEOLÒGICA;25;30;83
ENGINYERIA INFORMÀTICA;13;50;26
ENGINYERIA QUÍMICA;42;20;210
ENVELLIMENT ACTIU I SALUT;36;20;180
ESPANYOL I ANGLÉS COM A SEGONES LLENGUES/LLENGUES ESTRANGERES;160;25;640
ESTUDIS ANGLESOS AVANÇATS;33;40;83
ESTUDIS LITERARIS;64;30;213
GESTIÓ ADMINISTRATIVA;63;30;210
GESTIÓ PESQUERA SOSTENIBLE;8;25;32
GESTIÓ SOSTENIBLE I TECNLOGIES DE L'AIGUA;37;20;185
HISTÒRIA DE LA CIÈNCIA I COMUNICACIÓ CIENTÍFICA (Interuniversitari);19;7;271
HISTÒRIA DE L'EUROPA CONTEMPORÀNIA: IDENTITATS I INTEGRACIÓ;15;20;75
HISTÒRIA DEL MÓN MEDITERRANI I LES SEUES REGIONS;24;45;53
HISTÒRIA I IDENTITATS EN EL MEDITERRANI OCCIDENTAL (SIGLOS XV-XIX) (Interuniversitari);6;15;40
INNOVACIÓ SOCIAL I DINÀMIQUES DE CANVI;17;20;85
INTEL·LIGÈNCIA ARTIFICIAL;80;25;320
INVESTIGACIÓ CRIMINAL I CIÈNCIES FORENSES;39;25;156
INVESTIGACIÓ EDUCATIVA;103;50;206
INVESTIGACIÓ EN CIÈNCIES DE LA SALUT;24;20;120
NANOCIÈNCIA I NANOTECNOLOGIA MOLECULAR (Interuniversitari);10;10;100
NUTRICIÓ I ALIMENTACIÓ;122;25;488
OPTOMETRIA AVANÇADA I SALUT VISUAL;20;15;133
PALEONTOLOGIA APLICADA (Interuniversitari);7;10;70
PLANIFICACIÓ I GESTIÓ DE RISCS NATURALS;33;20;165
PREVENCIÓ DE RISCOS LABORALS;61;30;203
PROFESSORAT D'EDUCACIÓ SECUNDÀRIA;2967;500;593
QUÍMICA AMBIENTAL I SOSTENIBLE;36;20;180
QUÍMICA MÈDICA;29;20;145
TRADUCCIÓ INSTITUCIONAL;121;90;134
TURISME CULTURAL;32;30;107
