GRAUS;TOTAL - Nre. PDI doctor;TOTAL - Nre. PDI;TOTAL - Taxa de PDI doctor (%);DONES - Nre. PDI doctor;DONES - Nre. PDI;DONES - Taxa de PDI doctor (%);HOMES - Nre. PDI doctor;HOMES - Nre. PDI;HOMES - Taxa de PDI doctor (%)
ADMINISTRACIÓ I DIRECCIÓ D'EMPRESES;121;247;49;52;93;56;69;154;45
ARQUITECTURA;3;4;75;1;2;50;2;2;100
ARQUITECTURA TÈCNICA;31;42;74;12;16;75;19;26;73
BIOLOGIA;162;179;91;67;70;96;95;109;87
CIÈNCIES DE L'ACTIVITAT FÍSICA I DE L'ESPORT;53;79;67;15;24;63;38;55;69
CIÈNCIES DEL MAR;90;102;88;26;27;96;64;75;85
CRIMINOLOGIA;79;154;51;39;74;53;40;80;50
DRET;125;212;59;56;89;63;69;123;56
ECONOMIA;57;89;64;20;33;61;37;56;66
ENGINYERIA BIOMÈDICA;82;107;77;26;33;79;56;74;76
ENGINYERIA CIVIL;55;91;60;9;19;47;46;72;64
ENGINYERIA EN INTEL·LIGÈNCIA ARTIFICIAL;15;19;79;6;8;75;9;11;82
ENGINYERIA EN SO I IMATGE EN TELECOMUNICACIÓ;50;78;64;7;9;78;43;69;62
ENGINYERIA INFORMÀTICA;129;205;63;21;36;58;108;169;64
ENGINYERIA MULTIMÈDIA;64;99;65;14;25;56;50;74;68
ENGINYERIA QUÍMICA;72;86;84;31;35;89;41;51;80
ENGINYERIA ROBÒTICA;59;85;69;8;12;67;51;73;70
ESPANYOL: LLENGUA I LITERATURES;80;122;66;41;68;60;39;54;72
ESTUDIS ANGLESOS;89;128;70;46;71;65;43;57;75
ESTUDIS ÀRABS I ISLÀMICS;68;108;63;33;58;57;35;50;70
ESTUDIS FRANCESOS;74;112;66;41;64;64;33;48;69
FILOLOGIA CATALANA;77;112;69;36;59;61;41;53;77
FÍSICA;69;92;75;16;20;80;53;72;74
FONAMENTS DE L'ARQUITECTURA;78;101;77;21;24;88;57;77;74
GASTRONOMIA I ARTS CULINÀRIES;54;80;68;31;42;74;23;38;61
GEOGRAFIA I ORDENACIÓ DEL TERRITORI;73;89;82;28;35;80;45;54;83
GEOLOGIA;48;57;84;13;15;87;35;42;83
GESTIÓ I ADMINISTRACIÓ PÚBLICA;26;61;43;14;31;45;12;30;40
HISTÒRIA;78;91;86;30;36;83;48;55;87
HUMANITATS;88;122;72;46;66;70;42;56;75
INFERMERIA;99;165;60;60;99;61;39;66;59
MÀRQUETING;43;81;53;16;28;57;27;53;51
MATEMÀTIQUES;51;67;76;16;20;80;35;47;74
MEDICINA;28;31;90;14;15;93;14;16;88
MESTRE EN EDUCACIÓ INFANTIL;125;218;57;65;119;55;60;99;61
MESTRE EN EDUCACIÓ PRIMÀRIA;154;257;60;71;131;54;83;126;66
NUTRICIÓ HUMANA I DIETÈTICA;84;105;80;57;73;78;27;32;84
ÒPTICA I OPTOMETRIA;58;64;91;31;35;89;27;29;93
PUBLICITAT I RELACIONS PÚBLIQUES;59;110;54;35;61;57;24;49;49
QUÍMICA;108;123;88;40;48;83;68;75;91
RELACIONS INTERNACIONALS;54;91;59;27;50;54;27;41;66
RELACIONS LABORALS I RECURSOS HUMANS (UA);40;82;49;19;35;54;21;47;45
SOCIOLOGIA;44;53;83;16;20;80;28;33;85
TRADUCCIÓ I INTERPRETACIÓ;60;107;56;33;65;51;27;42;64
TREBALL SOCIAL;45;89;51;26;57;46;19;32;59
TURISME;100;186;54;45;90;50;55;96;57
DOBLE GRAU EN DRET I ADMINISTRACIÓ I DIRECCIÓ D'EMPRESES;221;411;54;99;166;60;122;245;50
DOBLE GRAU EN DRET I CRIMINOLOGIA;169;299;57;75;129;58;94;170;55
DOBLE GRAU EN DRET I RELACIONS INTERNACIONALS;152;256;59;70;113;62;82;143;57
DOBLE GRAU EN ENGINYERIA INFORMÀTICA I ADMINISTRACIÓ I DIRECCIÓ D'EMPRESES;217;391;55;67;115;58;150;276;54
DOBLE GRAU EN TURISME I ADMINISTRACIÓ I DIRECCIÓ D'EMPRESES;177;359;49;83;157;53;94;202;47
