MÀSTERS;TOTAL - Nre. PDI doctor;TOTAL - Nre. PDI;TOTAL - Taxa de PDI doctor (%);DONES - Nre. PDI doctor;DONES - Nre. PDI;DONES - Taxa de PDI doctor (%);HOMES - Nre. PDI doctor;HOMES - Nre. PDI;HOMES - Taxa de PDI doctor (%)
ADMINISTRACIÓ I DIRECCIÓ D'EMPRESES;24;31;77;10;12;83;14;19;74
ADVOCACIA I PROCURA;28;45;62;15;19;79;13;26;50
ANGLÉS I ESPANYOL PER A FINS ESPECÍFICS;19;19;100;11;11;100;8;8;100
ARQUEOLOGIA PROFESSIONAL I GESTIÓ INTEGRAL DEL PATRIMONI;28;36;78;10;13;77;18;23;78
ARQUITECTURA;27;29;93;7;7;100;20;22;91
AUTOMÀTICA I ROBÒTICA;15;19;79;1;2;50;14;17;82
BIOMEDICINA;68;71;96;30;32;94;38;39;97
BIOTECNOLOGIA PER A LA SALUT I LA SOSTENIBILITAT;68;71;96;30;32;94;38;39;97
CÀLCUL I MODELITZACIÓ CIENTÍFICA;23;24;96;4;4;100;19;20;95
CIBERSEGURETAT;6;12;50;;;0;6;12;50
CIÈNCIA DE DADES;23;28;82;1;2;50;22;26;85
CIÈNCIA DE MATERIALS;29;30;97;11;12;92;18;18;100
COMUNICACIÓ DIGITAL;23;29;79;14;17;82;9;12;75
COMUNICACIÓ I INDÚSTRIES CREATIVES;20;32;63;8;15;53;12;17;71
CONSERVACIÓ DE LA BIODIVERSITAT I RESTAURACIÓ DEL MEDIO MARÍ Y TERRESTRE;44;47;94;13;14;93;31;33;94
COOPERACIÓ AL DESENVOLUPAMENT (Interuniversitari);17;24;71;6;8;75;11;16;69
DESENVOLUPAMENT D'APLICACIONS I SERVEIS WEB;12;22;55;2;3;67;10;19;53
DESENVOLUPAMENT DE PROGRAMARI PER A DISPOSITIUS MÒBILS;6;9;67;1;1;100;5;8;63
DESENVOLUPAMENT LOCAL I INNOVACIÓ TERRITORIAL;22;26;85;5;7;71;17;19;89
DIRECCIÓ I PLANIFICACIÓ DEL TURISME;24;30;80;11;13;85;13;17;76
DRET AMBIENTAL I DE LA SOSTENIBILITAT;28;30;93;8;9;89;20;21;95
DRET DE DANYS;19;34;56;10;15;67;9;19;47
ECONOMIA APLICADA;16;21;76;8;10;80;8;11;73
ECONOMIA QUANTITATIVA;19;20;95;6;6;100;13;14;93
ELECTROQUÍMICA. CIÈNCIA I TECNOLOGIA (Interuniversitari);11;11;100;2;2;100;9;9;100
EMERGÈNCIES I CATÀSTROFES;13;21;62;9;12;75;4;9;44
ENGINYERIA BIOMÈDICA;24;24;100;6;6;100;18;18;100
ENGINYERIA DE CAMINS, CANALS I PORTS;35;50;70;7;11;64;28;39;72
ENGINYERIA DE TELECOMUNICACIÓ;31;40;78;7;7;100;24;33;73
ENGINYERIA GEOLÒGICA;21;29;72;5;6;83;16;23;70
ENGINYERIA INFORMÀTICA;19;28;68;4;5;80;15;23;65
ENGINYERIA QUÍMICA;31;36;86;13;14;93;18;22;82
ENVELLIMENT ACTIU I SALUT;24;27;89;14;17;82;10;10;100
ESPANYOL I ANGLÉS COM A SEGONES LLENGUES/LLENGUES ESTRANGERES;25;26;96;16;16;100;9;10;90
ESTUDIS ANGLESOS AVANÇATS;16;16;100;8;8;100;8;8;100
ESTUDIS LITERARIS;30;30;100;14;14;100;16;16;100
GESTIÓ ADMINISTRATIVA;10;21;48;5;8;63;5;13;38
GESTIÓ PESQUERA SOSTENIBLE;13;13;100;5;5;100;8;8;100
GESTIÓ SOSTENIBLE I TECNLOGIES DE L'AIGUA;26;34;76;11;12;92;15;22;68
HISTÒRIA DE LA CIÈNCIA I COMUNICACIÓ CIENTÍFICA (Interuniversitari);2;2;100;;;0;2;2;100
HISTÒRIA DE L'EUROPA CONTEMPORÀNIA: IDENTITATS I INTEGRACIÓ;14;14;100;6;6;100;8;8;100
HISTÒRIA DEL MÓN MEDITERRANI I LES SEUES REGIONS;31;38;82;9;12;75;22;26;85
HISTÒRIA I IDENTITATS EN EL MEDITERRANI OCCIDENTAL (SIGLOS XV-XIX) (Interuniversitari);10;10;100;4;4;100;6;6;100
INNOVACIÓ SOCIAL I DINÀMIQUES DE CANVI;11;15;73;3;5;60;8;10;80
INTEL·LIGÈNCIA ARTIFICIAL;23;29;79;1;1;100;22;28;79
INVESTIGACIÓ CRIMINAL I CIÈNCIES FORENSES;23;33;70;9;13;69;14;20;70
INVESTIGACIÓ EDUCATIVA;40;41;98;19;19;100;21;22;95
INVESTIGACIÓ EN CIÈNCIES DE LA SALUT;28;30;93;16;18;89;12;12;100
NANOCIÈNCIA I NANOTECNOLOGIA MOLECULAR (Interuniversitari);5;5;100;1;1;100;4;4;100
NUTRICIÓ I ALIMENTACIÓ;48;57;84;31;37;84;17;20;85
OPTOMETRIA AVANÇADA I SALUT VISUAL;24;26;92;13;15;87;11;11;100
PALEONTOLOGIA APLICADA (Interuniversitari);6;6;100;1;1;100;5;5;100
PLANIFICACIÓ I GESTIÓ DE RISCS NATURALS;21;24;88;6;7;86;15;17;88
PREVENCIÓ DE RISCOS LABORALS;15;22;68;8;11;73;7;11;64
PROFESSORAT D'EDUCACIÓ SECUNDÀRIA;138;198;70;70;108;65;68;90;76
QUÍMICA AMBIENTAL I SOSTENIBLE;26;28;93;10;10;100;16;18;89
QUÍMICA MÈDICA;68;71;96;30;32;94;38;39;97
SALUT PÚBLICA (Interuniversitari);17;19;89;7;9;78;10;10;100
SISTEMA DE JUSTÍCIA PENAL (Interuniversitari);2;2;100;1;1;100;1;1;100
TRADUCCIÓ INSTITUCIONAL;22;31;71;9;14;64;13;17;76
TURISME CULTURAL;29;33;88;12;14;86;17;19;89
