GRAUS;TOTAL - Nre. PDI a temps complet;TOTAL - Nre. PDI;TOTAL - Taxa de PDI a temps complet (%);DONES - Nre. PDI a temps complet;DONES - Nre. PDI;DONES - Taxa de PDI a temps complet (%);HOMES - Nre. PDI a temps complet;HOMES - Nre. PDI;HOMES - Taxa de PDI a temps complet (%)
ADMINISTRACIÓ I DIRECCIÓ D'EMPRESES;137;247;55;50;93;54;87;154;56
ARQUITECTURA;4;4;100;2;2;100;2;2;100
ARQUITECTURA TÈCNICA;30;42;71;13;16;81;17;26;65
BIOLOGIA;134;179;75;55;70;79;79;109;72
CIÈNCIES DE L'ACTIVITAT FÍSICA I DE L'ESPORT;41;79;52;14;24;58;27;55;49
CIÈNCIES DEL MAR;74;102;73;24;27;89;50;75;67
CRIMINOLOGIA;68;154;44;40;74;54;28;80;35
DRET;113;212;53;56;89;63;57;123;46
ECONOMIA;66;89;74;22;33;67;44;56;79
ENGINYERIA BIOMÈDICA;64;107;60;20;33;61;44;74;59
ENGINYERIA CIVIL;53;91;58;12;19;63;41;72;57
ENGINYERIA EN INTEL·LIGÈNCIA ARTIFICIAL;14;19;74;6;8;75;8;11;73
ENGINYERIA EN SO I IMATGE EN TELECOMUNICACIÓ;50;78;64;8;9;89;42;69;61
ENGINYERIA INFORMÀTICA;123;205;60;25;36;69;98;169;58
ENGINYERIA MULTIMÈDIA;60;99;61;15;25;60;45;74;61
ENGINYERIA QUÍMICA;66;86;77;28;35;80;38;51;75
ENGINYERIA ROBÒTICA;60;85;71;9;12;75;51;73;70
ESPANYOL: LLENGUA I LITERATURES;78;122;64;42;68;62;36;54;67
ESTUDIS ANGLESOS;81;128;63;43;71;61;38;57;67
ESTUDIS ÀRABS I ISLÀMICS;63;108;58;31;58;53;32;50;64
ESTUDIS FRANCESOS;67;112;60;38;64;59;29;48;60
FILOLOGIA CATALANA;68;112;61;33;59;56;35;53;66
FÍSICA;78;92;85;16;20;80;62;72;86
FONAMENTS DE L'ARQUITECTURA;65;101;64;15;24;63;50;77;65
GASTRONOMIA I ARTS CULINÀRIES;40;80;50;24;42;57;16;38;42
GEOGRAFIA I ORDENACIÓ DEL TERRITORI;64;89;72;24;35;69;40;54;74
GEOLOGIA;46;57;81;13;15;87;33;42;79
GESTIÓ I ADMINISTRACIÓ PÚBLICA;22;61;36;13;31;42;9;30;30
HISTÒRIA;63;91;69;27;36;75;36;55;65
HUMANITATS;74;122;61;37;66;56;37;56;66
INFERMERIA;77;165;47;51;99;52;26;66;39
MÀRQUETING;45;81;56;18;28;64;27;53;51
MATEMÀTIQUES;59;67;88;19;20;95;40;47;85
MEDICINA;21;31;68;10;15;67;11;16;69
MESTRE EN EDUCACIÓ INFANTIL;98;218;45;52;119;44;46;99;46
MESTRE EN EDUCACIÓ PRIMÀRIA;114;257;44;56;131;43;58;126;46
NUTRICIÓ HUMANA I DIETÈTICA;66;105;63;47;73;64;19;32;59
ÒPTICA I OPTOMETRIA;54;64;84;31;35;89;23;29;79
PUBLICITAT I RELACIONS PÚBLIQUES;55;110;50;33;61;54;22;49;45
QUÍMICA;108;123;88;40;48;83;68;75;91
RELACIONS INTERNACIONALS;50;91;55;25;50;50;25;41;61
RELACIONS LABORALS I RECURSOS HUMANS (UA);37;80;46;17;35;49;20;45;44
SOCIOLOGIA;40;53;75;15;20;75;25;33;76
TRADUCCIÓ I INTERPRETACIÓ;55;107;51;30;65;46;25;42;60
TREBALL SOCIAL;40;89;45;25;57;44;15;32;47
TURISME;98;186;53;46;90;51;52;96;54
DOBLE GRAU EN DRET I ADMINISTRACIÓ I DIRECCIÓ D'EMPRESES;225;411;55;99;166;60;126;245;51
DOBLE GRAU EN DRET I CRIMINOLOGIA;149;299;50;74;129;57;75;170;44
DOBLE GRAU EN DRET I RELACIONS INTERNACIONALS;137;256;54;68;113;60;69;143;48
DOBLE GRAU EN ENGINYERIA INFORMÀTICA I ADMINISTRACIÓ I DIRECCIÓ D'EMPRESES;217;391;55;64;115;56;153;276;55
DOBLE GRAU EN TURISME I ADMINISTRACIÓ I DIRECCIÓ D'EMPRESES;194;359;54;82;157;52;112;202;55
