MÁSTERS;TOTAL - Nre. PDI a temps complet;TOTAL - Nre. PDI;TOTAL - Taxa de PDI a temps complet (%);DONES - Nre. PDI a temps complet;DONES - Nre. PDI;DONES - Taxa de PDI a temps complet (%);HOMES - Nre. PDI a temps complet;HOMES - Nre. PDI;HOMES - Taxa de PDI a temps complet (%)
ADMINISTRACIÓ I DIRECCIÓ D'EMPRESES;25;31;81;10;12;83;15;19;79
ADVOCACIA I PROCURA;23;45;51;14;19;74;9;26;35
ANGLÉS I ESPANYOL PER A FINS ESPECÍFICS;17;19;89;9;11;82;8;8;100
ARQUEOLOGIA PROFESSIONAL I GESTIÓ INTEGRAL DEL PATRIMONI;24;36;67;10;13;77;14;23;61
ARQUITECTURA;24;29;83;6;7;86;18;22;82
AUTOMÀTICA I ROBÒTICA;14;17;82;0;0;n.c.;14;17;82
BIOMEDICINA;63;71;89;29;32;91;34;39;87
BIOTECNOLOGIA PER A LA SALUT I LA SOSTENIBILITAT;63;71;89;29;32;91;34;39;87
CÀLCUL I MODELITZACIÓ CIENTÍFICA;23;24;96;4;4;100;19;20;95
CIBERSEGURETAT;4;12;33;0;0;n.c.;4;12;33
CIÈNCIA DE DADES;28;28;100;2;2;100;26;26;100
CIÈNCIA DE MATERIALS;30;30;100;12;12;100;18;18;100
COMUNICACIÓ DIGITAL;17;29;59;12;17;71;5;12;42
COMUNICACIÓ I INDÚSTRIES CREATIVES;17;32;53;7;15;47;10;17;59
CONSERVACIÓ DE LA BIODIVERSITAT I RESTAURACIÓ DEL MEDIO MARÍ Y TERRESTRE;39;47;83;13;14;93;26;33;79
COOPERACIÓ AL DESENVOLUPAMENT (Interuniversitari);13;24;54;6;8;75;7;16;44
DESENVOLUPAMENT D'APLICACIONS I SERVEIS WEB;9;22;41;1;3;33;8;19;42
DESENVOLUPAMENT DE PROGRAMARI PER A DISPOSITIUS MÒBILS;6;9;67;1;1;100;5;8;63
DESENVOLUPAMENT LOCAL I INNOVACIÓ TERRITORIAL;22;26;85;5;7;71;17;19;89
DIRECCIÓ I PLANIFICACIÓ DEL TURISME;21;30;70;11;13;85;10;17;59
DRET AMBIENTAL I DE LA SOSTENIBILITAT;26;30;87;8;9;89;18;21;86
DRET DE DANYS;20;34;59;10;15;67;10;19;53
ECONOMIA APLICADA;16;21;76;10;10;100;6;11;55
ECONOMIA QUANTITATIVA;19;20;95;5;6;83;14;14;100
ELECTROQUÍMICA. CIÈNCIA I TECNOLOGIA (Interuniversitari);11;11;100;2;2;100;9;9;100
EMERGÈNCIES I CATÀSTROFES;9;21;43;6;12;50;3;9;33
ENGINYERIA BIOMÈDICA;22;24;92;5;6;83;17;18;94
ENGINYERIA DE CAMINS, CANALS I PORTS;37;50;74;9;11;82;28;39;72
ENGINYERIA DE TELECOMUNICACIÓ;30;40;75;7;7;100;23;33;70
ENGINYERIA GEOLÒGICA;20;29;69;6;6;100;14;23;61
ENGINYERIA INFORMÀTICA;19;28;68;5;5;100;14;23;61
ENGINYERIA QUÍMICA;28;36;78;12;14;86;16;22;73
ENVELLIMENT ACTIU I SALUT;22;27;81;14;17;82;8;10;80
ESPANYOL I ANGLÉS COM A SEGONES LLENGUES/LLENGUES ESTRANGERES;22;26;85;14;16;88;8;10;80
