GRAUS;Nous o que sol·liciten preinscripció;Nre. Places oferides;Taxa de matriculació %
ADMINISTRACIÓ I DIRECCIÓ D'EMPRESES;412;370;100
ARQUITECTURA TÈCNICA;68;60;100
BIOLOGIA;147;160;92
CIÈNCIES DE L'ACTIVITAT FÍSICA I DE L'ESPORT;103;100;100
CIÈNCIES DEL MAR;59;60;98
CRIMINOLOGIA;240;240;100
DRET;302;240;100
ECONOMIA;131;125;100
ENGINYERIA BIOMÈDICA;66;60;100
ENGINYERIA CIVIL;68;75;91
ENGINYERIA EN INTEL·LIGÈNCIA ARTIFICIAL;65;60;100
ENGINYERIA EN SO I IMATGE EN TELECOMUNICACIÓ;70;80;88
ENGINYERIA INFORMÀTICA;227;190;100
ENGINYERIA MULTIMÈDIA;105;95;100
ENGINYERIA QUÍMICA;67;60;100
ENGINYERIA ROBÒTICA;68;60;100
ESPANYOL: LLENGUA I LITERATURES;66;55;100
ESTUDIS ANGLESOS;125;125;100
ESTUDIS ÀRABS I ISLÀMICS;11;50;22
ESTUDIS FRANCESOS;12;50;24
FILOLOGIA CATALANA;37;50;74
FÍSICA;71;70;100
FONAMENTS DE L'ARQUITECTURA;133;120;100
GASTRONOMIA I ARTS CULINÀRIES;64;75;85
GEOGRAFIA I ORDENACIÓ DEL TERRITORI;28;50;56
GEOLOGIA;31;50;62
GESTIÓ I ADMINISTRACIÓ PÚBLICA;32;50;64
HISTÒRIA;104;125;83
HUMANITATS;21;50;42
INFERMERIA;239;200;100
MÀRQUETING;84;75;100
MATEMÀTIQUES;69;70;99
MEDICINA;91;86;100
MESTRE EN EDUCACIÓ INFANTIL;332;360;92
MESTRE EN EDUCACIÓ PRIMÀRIA;420;440;96
NUTRICIÓ HUMANA I DIETÈTICA;123;100;100
ÒPTICA I OPTOMETRIA;61;70;87
PUBLICITAT I RELACIONS PÚBLIQUES;249;240;100
QUÍMICA;68;70;97
RELACIONS INTERNACIONALS;68;60;100
RELACIONS LABORALS I RECURSOS HUMANS (UA);108;130;83
RELACIONS LABORALS I RECURSOS HUMANS (ELDA);21;50;42
SOCIOLOGIA;35;60;58
TRADUCCIÓ I INTERPRETACIÓ;143;180;79
TREBALL SOCIAL;147;160;92
TURISME;134;240;56
DOBLE GRAU EN DRET I ADMINISTRACIÓ I DIRECCIÓ D'EMPRESES;131;130;100
DOBLE GRAU EN DRET I CRIMINOLOGIA;82;70;100
DOBLE GRAU EN DRET I RELACIONS INTERNACIONALS;74;60;100
DOBLE GRAU EN ENGINYERIA INFORMÀTICA I ADMINISTRACIÓ I DIRECCIÓ D'EMPRESES;52;50;100
DOBLE GRAU EN TURISME I ADMINISTRACIÓ I DIRECCIÓ D'EMPRESES;85;100;85
