MÀSTERS;Nous o que sol·liciten preinscripció;Nre. Places oferides;Taxa de matriculació %
ADMINISTRACIÓ I DIRECCIÓ D'EMPRESES;39;40;98
ADVOCACIA I PROCURA;113;140;81
ANGLÉS I ESPANYOL PER A FINS ESPECÍFICS;15;20;75
ARQUEOLOGIA PROFESSIONAL I GESTIÓ INTEGRAL DEL PATRIMONI;31;30;100
ARQUITECTURA;37;90;41
AUTOMÀTICA I ROBÒTICA;26;30;87
BIOMEDICINA;12;20;60
BIOTECNOLOGIA PER A LA SALUT I LA SOSTENIBILITAT;6;20;30
CÀLCUL I MODELITZACIÓ CIENTÍFICA;3;25;12
CIBERSEGURETAT;15;20;75
CIÈNCIA DE DADES;19;20;95
CIÈNCIA DE MATERIALS;10;20;50
COMUNICACIÓ DIGITAL;32;35;91
COMUNICACIÓ I INDÚSTRIES CREATIVES;38;35;100
CONSERVACIÓ DE LA BIODIVERSITAT I RESTAURACIÓ DEL MEDIO MARÍ Y TERRESTRE;14;25;56
COOPERACIÓ AL DESENVOLUPAMENT (Interuniversitari);11;25;44
DESENVOLUPAMENT D'APLICACIONS I SERVEIS WEB;11;30;37
DESENVOLUPAMENT DE PROGRAMARI PER A DISPOSITIUS MÒBILS;15;20;75
DESENVOLUPAMENT LOCAL I INNOVACIÓ TERRITORIAL;8;25;32
DIRECCIÓ I PLANIFICACIÓ DEL TURISME;19;30;63
DRET AMBIENTAL I DE LA SOSTENIBILITAT;22;30;73
DRET DE DANYS;12;40;30
ECONOMIA APLICADA;8;15;53
ECONOMIA QUANTITATIVA;10;25;40
ELECTROQUÍMICA. CIÈNCIA I TECNOLOGIA (Interuniversitari);24;25;96
EMERGÈNCIES I CATÀSTROFES;30;30;100
ENGINYERIA BIOMÈDICA;9;20;45
ENGINYERIA DE CAMINS, CANALS I PORTS;18;50;36
ENGINYERIA DE TELECOMUNICACIÓ;22;30;73
ENGINYERIA GEOLÒGICA;6;30;20
ENGINYERIA INFORMÀTICA;3;50;6
ENGINYERIA QUÍMICA;18;20;90
ENVELLIMENT ACTIU I SALUT;16;20;80
ESPANYOL I ANGLÉS COM A SEGONES LLENGUES/LLENGUES ESTRANGERES;26;25;100
ESTUDIS ANGLESOS AVANÇATS;20;40;50
ESTUDIS LITERARIS;23;30;77
GESTIÓ ADMINISTRATIVA;18;30;60
GESTIÓ PESQUERA SOSTENIBLE;9;25;36
GESTIÓ SOSTENIBLE I TECNLOGIES DE L'AIGUA;16;20;80
HISTÒRIA DE LA CIÈNCIA I COMUNICACIÓ CIENTÍFICA (Interuniversitari);7;7;100
HISTÒRIA DE L'EUROPA CONTEMPORÀNIA: IDENTITATS I INTEGRACIÓ;8;20;40
HISTÒRIA DEL MÓN MEDITERRANI I LES SEUES REGIONS;19;45;42
HISTÒRIA I IDENTITATS EN EL MEDITERRANI OCCIDENTAL (SIGLOS XV-XIX) (Interuniversitari);13;15;87
INNOVACIÓ SOCIAL I DINÀMIQUES DE CANVI;8;20;40
INTEL·LIGÈNCIA ARTIFICIAL;29;25;100
INVESTIGACIÓ CRIMINAL I CIÈNCIES FORENSES;14;25;56
INVESTIGACIÓ EDUCATIVA;33;50;66
INVESTIGACIÓ EN CIÈNCIES DE LA SALUT;11;20;55
NANOCIÈNCIA I NANOTECNOLOGIA MOLECULAR (Interuniversitari);2;10;20
NUTRICIÓ I ALIMENTACIÓ;14;25;56
OPTOMETRIA AVANÇADA I SALUT VISUAL;4;15;27
PALEONTOLOGIA APLICADA (Interuniversitari);13;10;100
PLANIFICACIÓ I GESTIÓ DE RISCS NATURALS;18;20;90
PREVENCIÓ DE RISCOS LABORALS;28;30;93
PROFESSORAT D'EDUCACIÓ SECUNDÀRIA;455;500;91
QUÍMICA AMBIENTAL I SOSTENIBLE;13;20;65
QUÍMICA MÈDICA;6;20;30
TRADUCCIÓ INSTITUCIONAL;46;90;51
TURISME CULTURAL;8;30;27
