MÀSTERS;TOTAL - Crèdits matriculats;TOTAL - Crèdits matriculats aptes;TOTAL - Taxa de rendiment (%);DONES - Crèdits matriculats;DONES - Crèdits matriculats aptes;DONES - Taxa de rendiment (%);HOMES - Crèdits matriculats;HOMES - Crèdits matriculats aptes;HOMES - Taxa de rendiment (%)
ADMINISTRACIÓ I DIRECCIÓ D'EMPRESES;2481.5;2372;96;1199;1159.5;97;1282.5;1212.5;95
ADVOCACIA I PROCURA;9272.5;8991;97;5829;5695.5;98;3443.5;3295.5;96
ANGLÉS I ESPANYOL PER A FINS ESPECÍFICS;954;873;92;699;630;90;255;243;95
ARQUEOLOGIA PROFESSIONAL I GESTIÓ INTEGRAL DEL PATRIMONI;1988;1725;87;947;827;87;1041;898;86
ARQUITECTURA;3264;2442;75;1608;1275;79;1656;1167;70
AUTOMÀTICA I ROBÒTICA;1635;1482;91;519;483;93;1116;999;90
BIOMEDICINA;682;642;94;326;311;95;356;331;93
BIOTECNOLOGIA PER A LA SALUT I LA SOSTENIBILITAT;310;277;89;115;97;84;195;180;92
CÀLCUL I MODELITZACIÓ CIENTÍFICA;180;180;100;60;60;100;120;120;100
CIBERSEGURETAT;936;882;94;102;102;100;834;780;94
CIÈNCIA DE DADES;1200;1080;90;426;390;92;774;690;89
CIÈNCIA DE MATERIALS;642;627;98;255;240;94;387;387;100
COMUNICACIÓ DIGITAL;1974;1863;94;1335;1275;96;639;588;92
COMUNICACIÓ I INDÚSTRIES CREATIVES;2273;2183;96;1755;1677;96;518;506;98
CONSERVACIÓ DE LA BIODIVERSITAT I RESTAURACIÓ DEL MEDIO MARÍ Y TERRESTRE;1370;1246;91;734;664;90;636;582;92
COOPERACIÓ AL DESENVOLUPAMENT (Interuniversitari);970;880;91;610;550;90;360;330;92
DESENVOLUPAMENT D'APLICACIONS I SERVEIS WEB;635;506;80;149;98;66;486;408;84
DESENVOLUPAMENT DE PROGRAMARI PER A DISP. MÒBILS;894;738;83;60;60;100;834;678;81
DESENVOLUPAMENT LOCAL I INNOVACIÓ TERRITORIAL;414;366;88;204;180;88;210;186;89
DIRECCIÓ I PLANIFICACIÓ DEL TURISME;1392;1257;90;816;735;90;576;522;91
DRET AMBIENTAL I DE LA SOSTENIBILITAT;1252.5;1168.5;93;774;714;92;478.5;454.5;95
DRET DE DANYS;594;540;91;432;405;94;162;135;83
ECONOMIA APLICADA;530;405;76;230;200;87;300;205;68
ECONOMIA QUANTITATIVA;1102;1005;91;358;340;95;744;665;89
ELECTROQUÍMICA. CIÈNCIA I TECNOLOGIA (Interuniversitari);835;808;97;487;483;99;348;325;93
EMERGÈNCIES I CATÀSTROFES;1654;1584;96;1444;1434;99;210;150;71
ENGINYERIA BIOMÈDICA;528;486;92;348;324;93;180;162;90
ENGINYERIA DE CAMINS, CANALS I PORTS;1959;1368;70;501;364.5;73;1458;1003.5;69
ENGINYERIA DE TELECOMUNICACIÓ;1552.5;1308;84;342;261;76;1210.5;1047;86
ENGINYERIA GEOLÒGICA;646.5;522;81;192;153;80;454.5;369;81
ENGINYERIA INFORMÀTICA;306;264;86;120;102;85;186;162;87
ENGINYERIA QUÍMICA;1740;1582.5;91;771;721.5;94;969;861;89
ENVELLIMENT ACTIU I SALUT;972;846;87;492;402;82;480;444;93
ESPANYOL I ANGLÉS COM A SEGONES LLENGUES/LLENGUES ESTRANGERES;1842;1638;89;1449;1305;90;393;333;85
ESTUDIS ANGLESOS AVANÇATS;1146;1068;93;798;744;93;348;324;93
ESTUDIS LITERARIS;1353;1220;90;872;763;88;481;457;95
GESTIÓ ADMINISTRATIVA;1077;966;90;822;723;88;255;243;95
GESTIÓ PESQUERA SOSTENIBLE;630;481;76;360;295;82;270;186;69
GESTIÓ SOSTENIBLE I TECNLOGIES DE L'AIGUA;1017;876;86;807;696;86;210;180;86
HISTÒRIA DE LA CIÈNCIA I COMUNICACIÓ CIENTÍFICA (Interuniversitari);441;348;79;168;168;100;273;180;66
HISTÒRIA DE L'EUROPA CONTEMPORÀNIA: IDENTITATS I INTEGRACIÓ;543;432;80;137;83;61;406;349;86
HISTÒRIA DEL MÓN MEDITERRANI I LES SEUES REGIONS;1125;999;89;603;522;87;522;477;91
HISTÒRIA I IDENTITATS EN EL MEDITERRANI OCCIDENTAL (SIGLOS XV-XIX) (Interuniversitari);330;225;68;140;90;64;190;135;71
INNOVACIÓ SOCIAL I DINÀMIQUES DE CANVI;606;522;86;378;330;87;228;192;84
INTEL·LIGÈNCIA ARTIFICIAL;1620;1620;100;153;153;100;1467;1467;100
