GRAUS;TOTAL - Alumnes nous  (n-2);TOTAL - Nous que abandonen  (n i n-1);TOTAL - Taxa Abandó (%);DONES - Alumnes nous  (n-2);DONES - Nous que abandonen  (n i n-1);DONES - Taxa Abandó (%);HOMES - Alumnes nous  (n-2);HOMES - Nous que abandonen  (n i n-1);HOMES - Taxa Abandó (%)
ADMINISTRACIÓ I DIRECCIÓ D'EMPRESES;472;206;44;206;90;44;266;116;44
ARQUITECTURA;1;0;0;0;0;n.c.;1;0;0
ARQUITECTURA TÈCNICA;56;9;16;28;5;18;28;4;14
BIOLOGIA;151;27;18;95;18;19;56;9;16
CIÈNCIES DE L'ACTIVITAT FÍSICA I DE L'ESPORT;103;8;8;31;2;6;72;6;8
CIÈNCIES DEL MAR;53;9;17;36;6;17;17;3;18
CRIMINOLOGIA;288;39;14;197;27;14;91;12;13
DRET;302;47;16;210;34;16;92;13;14
ECONOMIA;121;26;21;38;10;26;83;16;19
ENGINYERIA BIOMÈDICA;65;8;12;36;5;14;29;3;10
ENGINYERIA CIVIL;66;14;21;21;3;14;45;11;24
ENGINYERIA EN SO I IMATGE EN TELECOMUNICACIÓ;71;22;31;21;5;24;50;17;34
ENGINYERIA INFORMÀTICA;223;45;20;29;4;14;194;41;21
ENGINYERIA MULTIMÈDIA;96;15;16;14;3;21;82;12;15
ENGINYERIA QUÍMICA;55;6;11;26;1;4;29;5;17
ENGINYERIA ROBÒTICA;67;8;12;11;1;9;56;7;13
ESPANYOL: LLENGUA I LITERATURES;61;13;21;49;12;24;12;1;8
ESTUDIS ANGLESOS;119;35;29;88;23;26;31;12;39
ESTUDIS ÀRABS I ISLÀMICS;3;0;0;2;0;0;1;0;0
ESTUDIS FRANCESOS;18;8;44;13;5;38;5;3;60
FILOLOGIA CATALANA;45;12;27;32;8;25;13;4;31
FÍSICA;57;14;25;15;3;20;42;11;26
FONAMENTS DE L'ARQUITECTURA;129;29;22;83;20;24;46;9;20
GASTRONOMIA I ARTS CULINÀRIES;64;4;6;37;4;11;27;0;0
GEOGRAFIA I ORDENACIÓ DEL TERRITORI;27;11;41;9;3;33;18;8;44
GEOLOGIA;43;25;58;14;7;50;29;18;62
GESTIÓ I ADMINISTRACIÓ PÚBLICA;26;6;23;13;3;23;13;3;23
HISTÒRIA;131;26;20;56;12;21;75;14;19
HUMANITATS;28;8;29;18;5;28;10;3;30
INFERMERIA;203;27;13;161;22;14;42;5;12
MÀRQUETING;80;23;29;52;10;19;28;13;46
MATEMÀTIQUES;60;12;20;28;8;29;32;4;13
MESTRE EN EDUCACIÓ INFANTIL;333;25;8;289;15;5;44;10;23
MESTRE EN EDUCACIÓ PRIMÀRIA;428;31;7;283;20;7;145;11;8
NUTRICIÓ HUMANA I DIETÈTICA;109;33;30;84;28;33;25;5;20
ÒPTICA I OPTOMETRIA;69;19;28;51;15;29;18;4;22
PUBLICITAT I RELACIONS PÚBLIQUES;251;25;10;190;14;7;61;11;18
QUÍMICA;64;21;33;32;13;41;32;8;25
RELACIONS INTERNACIONALS;71;12;17;57;10;18;14;2;14
RELACIONS LABORALS I RECURSOS HUMANS  (UA);113;24;21;73;11;15;40;13;33
RELACIONS LABORALS I RECURSOS HUMANS (ELDA);9;1;11;6;0;0;3;1;33
SOCIOLOGIA;44;17;39;30;12;40;14;5;36
TRADUCCIÓ I INTERPRETACIÓ;165;26;16;142;21;15;23;5;22
TREBALL SOCIAL;155;27;17;134;24;18;21;3;14
TURISME;187;68;36;108;38;35;79;30;38
DOBLE GRAU EN DRET I ADMINISTRACIÓ I DIRECCIÓ D'EMPRESES;107;26;24;62;11;18;45;15;33
DOBLE GRAU EN DRET I CRIMINOLOGIA;77;7;9;62;7;11;15;0;0
DOBLE GRAU EN DRET I RELACIONS INTERNACIONALS;60;5;8;51;4;8;9;1;11
DOBLE GRAU EN ENGINYERIA INFORMÀTICA I ADMINISTRACIÓ I DIRECCIÓ D'EMPRESES;58;15;26;17;5;29;41;10;24
DOBLE GRAU EN TURISME I ADMINISTRACIÓ I DIRECCIÓ D'EMPRESES;100;53;53;63;31;49;37;22;59
