MÀSTERS;TOTAL - Alumnes nous  (n-2);TOTAL - Nous que abandonen  (n i n-1);TOTAL - Taxa Abandó (%);DONES - Alumnes nous  (n-2);DONES - Nous que abandonen  (n i n-1);DONES - Taxa Abandó (%);HOMES - Alumnes nous  (n-2);HOMES - Nous que abandonen  (n i n-1);HOMES - Taxa Abandó (%)
ADMINISTRACIÓ I DIRECCIÓ D'EMPRESES;33;4;12;19;1;5;14;3;21
ADVOCACIA I PROCURA;135;3;2;88;1;1;47;2;4
ANGLÉS I ESPANYOL PER A FINS ESPECÍFICS;20;2;10;16;1;6;4;1;25
ARQUEOLOGIA PROFESSIONAL I GESTIÓ INTEGRAL DEL PATRIMONI;17;0;0;8;0;0;9;0;0
ARQUITECTURA;48;2;4;26;1;4;22;1;5
AUTOMÀTICA I ROBÒTICA;24;2;8;6;0;0;18;2;11
BIOMEDICINA;11;0;0;8;0;0;3;0;0
BIOTECNOLOGIA PER A LA SALUT I LA SOSTENIBILITAT;8;1;13;6;1;17;2;0;0
CIBERSEGURETAT;20;1;5;2;0;0;18;1;6
CIÈNCIA DE DADES;21;3;14;3;1;33;18;2;11
CIÈNCIA DE MATERIALS;12;0;0;8;0;0;4;0;0
COMUNICACIÓ DIGITAL;21;1;5;15;0;0;6;1;17
COMUNICACIÓ I INDÚSTRIES CREATIVES;24;0;0;19;0;0;5;0;0
CONSERVACIÓ DE LA BIODIVERSITAT I RESTAURACIÓ DEL MEDIO MARÍ Y TERRESTRE;12;0;0;7;0;0;5;0;0
COOPERACIÓ AL DESENVOLUPAMENT (Interuniversitari);9;0;0;6;0;0;3;0;0
DESENVOLUPAMENT D'APLICACIONS I SERVEIS WEB;11;2;18;1;0;0;10;2;20
DESENVOLUPAMENT DE PROGRAMARI PER A DISP. MÒBILS;10;2;20;1;0;0;9;2;22
DESENVOLUPAMENT LOCAL I INNOVACIÓ TERRITORIAL;3;0;0;2;0;0;1;0;0
DIRECCIÓ I PLANIFICACIÓ DEL TURISME;20;1;5;14;1;7;6;0;0
DRET AMBIENTAL I DE LA SOSTENIBILITAT;16;0;0;9;0;0;7;0;0
DRET DE DANYS;8;1;13;6;1;17;2;0;0
ECONOMIA APLICADA;12;6;50;2;1;50;10;5;50
ECONOMIA QUANTITATIVA;5;0;0;0;0;n.c.;5;0;0
EMERGÈNCIES I CATÀSTROFES;27;0;0;19;0;0;8;0;0
ENGINYERIA DE CAMINS, CANALS I PORTS;15;4;27;5;2;40;10;2;20
ENGINYERIA DE TELECOMUNICACIÓ;10;1;10;3;0;0;7;1;14
ENGINYERIA GEOLÒGICA;4;0;0;3;0;0;1;0;0
ENGINYERIA INFORMÀTICA;2;0;0;1;0;0;1;0;0
ENGINYERIA QUÍMICA;11;2;18;2;0;0;9;2;22
ENVELLIMENT ACTIU I SALUT;10;0;0;10;0;0;0;0;n.c.
ESPANYOL I ANGLÉS COM A SEGONES LLENGUES/LLENGUES ESTRANGERES;39;2;5;32;2;6;7;0;0
ESTUDIS LITERARIS;24;2;8;16;1;6;8;1;13
GESTIÓ ADMINISTRATIVA;16;2;13;8;1;13;8;1;13
GESTIÓ PESQUERA SOSTENIBLE;18;3;17;4;0;0;14;3;21
GESTIÓ SOSTENIBLE I TECNLOGIES DE L'AIGUA;16;1;6;10;1;10;6;0;0
HISTÒRIA DE LA CIÈNCIA I COMUNICACIÓ CIENTÍFICA (Interuniversitari);7;0;0;5;0;0;2;0;0
HISTÒRIA DE L'EUROPA CONTEMPORÀNIA: IDENTITATS I INTEGRACIÓ;10;2;20;2;0;0;8;2;25
HISTÒRIA DEL MÓN MEDITERRANI I LES SEUES REGIONS;9;1;11;3;1;33;6;0;0
HISTÒRIA I IDENTITATS EN EL MEDITERRANI OCCIDENTAL (SIGLOS XV-XIX) (Interuniversitari);18;14;78;7;6;86;11;8;73
INNOVACIÓ SOCIAL I DINÀMIQUES DE CANVI;10;0;0;6;0;0;4;0;0
INVESTIGACIÓ CRIMINAL I CIÈNCIES FORENSES;18;1;6;13;1;8;5;0;0
INVESTIGACIÓ EDUCATIVA;24;3;13;10;1;10;14;2;14
INVESTIGACIÓ EN CIÈNCIES DE LA SALUT;9;1;11;5;0;0;4;1;25
NANOCIÈNCIA I NANOTECNOLOGIA MOLECULAR (Interuniversitari);1;0;0;1;0;0;0;0;n.c.
NUTRICIÓ I ALIMENTACIÓ;14;2;14;12;2;17;2;0;0
OPTOMETRIA AVANÇADA I SALUT VISUAL;3;1;33;2;0;0;1;1;100
PALEONTOLOGIA APLICADA (Interuniversitari);12;10;83;3;3;100;9;7;78
PLANIFICACIÓ I GESTIÓ DE RISCS NATURALS;15;1;7;4;0;0;11;1;9
PREVENCIÓ DE RISCOS LABORALS;25;2;8;10;0;0;15;2;13
PROFESSORAT D'EDUCACIÓ SECUNDÀRIA;481;22;5;287;10;3;194;12;6
QUÍMICA AMBIENTAL I SOSTENIBLE;7;1;14;2;0;0;5;1;20
QUÍMICA MÈDICA;3;0;0;1;0;0;2;0;0
TRADUCCIÓ INSTITUCIONAL;55;5;9;50;5;10;5;0;0
TURISME CULTURAL;8;2;25;5;1;20;3;1;33
