GRAUS;TOTAL - Crèdits totals requerits per a titulació;TOTAL - Crèdits matriculats egressats;TOTAL - Taxa d'eficiència;DONES - Crèdits totals requerits per a titulació;DONES - Crèdits matriculats egressats;DONES - Taxa d'eficiència;HOMES - Crèdits totals requerits per a titulació;HOMES - Crèdits matriculats egressats;HOMES - Taxa d'eficiència
ADMINISTRACIÓ I DIRECCIÓ D'EMPRESES;51360;63098;81;23760;28860;82;27600;34238;81
ARQUITECTURA TÈCNICA;3840;5490;70;1200;1614;74;2640;3876;68
BIOLOGIA;28800;32091;90;15600;17888;87;13200;14203;93
CIÈNCIES DE L'ACTIVITAT FÍSICA I DE L'ESPORT;19680;20886;94;5520;5736;96;14160;15150;93
CIÈNCIES DEL MAR;11760;13464;87;8880;10350;86;2880;3114;92
CRIMINOLOGIA;42720;45642;94;34320;36813;93;8400;8829;95
DRET;80880;92932.5;87;52080;58732.5;89;28800;34200;84
ECONOMIA;15840;17656;90;6960;7695;90;8880;9961;89
ENGINYERIA BIOMÈDICA;16080;18468;87;9840;11310;87;6240;7158;87
ENGINYERIA CIVIL;2880;3606;80;1200;1501.5;80;1680;2104.5;80
ENGINYERIA EN SO I IMATGE EN TELECOMUNICACIÓ;8160;10254;80;1680;1986;85;6480;8268;78
ENGINYERIA INFORMÀTICA;27120;32268;84;2880;3318;87;24240;28950;84
ENGINYERIA MULTIMÈDIA;17040;19464;88;4800;5442;88;12240;14022;87
ENGINYERIA QUÍMICA;9120;10789;85;4080;4831;84;5040;5958;85
ENGINYERIA ROBÒTICA;7440;8772;85;1920;2220;86;5520;6552;84
ESPANYOL: LLENGUA I LITERATURES;10320;10830;95;8400;8814;95;1920;2016;95
ESTUDIS ANGLESOS;15120;17112;88;11040;12348;89;4080;4764;86
ESTUDIS ÀRABS I ISLÀMICS;1200;1266;95;720;750;96;480;516;93
ESTUDIS FRANCESOS;2640;3048;87;2400;2802;86;240;246;98
FILOLOGIA CATALANA;5760;6276;92;4320;4524;95;1440;1752;82
FÍSICA;10080;11518;88;2640;3018;87;7440;8500;88
FONAMENTS DE L'ARQUITECTURA;13200;15828;83;7200;8484;85;6000;7344;82
GASTRONOMIA I ARTS CULINÀRIES;11520;12066;95;5760;5928;97;5760;6138;94
GEOGRAFIA I ORDENACIÓ DEL TERRITORI;3360;3690;91;1200;1326;90;2160;2364;91
GEOLOGIA;4080;5097;80;1920;2250;85;2160;2847;76
GESTIÓ I ADMINISTRACIÓ PÚBLICA;2640;2844;93;1200;1248;96;1440;1596;90
HISTÒRIA;17520;19369;90;6240;7021;89;11280;12348;91
HUMANITATS;3600;3864;93;2400;2616;92;1200;1248;96
INFERMERIA;44880;46140;97;35040;35895;98;9840;10245;96
MÀRQUETING;7440;8254;90;4800;5363;90;2640;2891;91
MATEMÀTIQUES;12240;15312;80;4320;5610;77;7920;9702;82
MESTRE EN EDUCACIÓ INFANTIL;67440;70848;95;62640;65706;95;4800;5142;93
MESTRE EN EDUCACIÓ PRIMÀRIA;78000;83220;94;55680;58770;95;22320;24450;91
NUTRICIÓ HUMANA I DIETÈTICA;15360;15864;97;10560;10902;97;4800;4962;97
ÒPTICA I OPTOMETRIA;6000;6915;87;3840;4527;85;2160;2388;90
PUBLICITAT I RELACIONS PÚBLIQUES;43440;45193;96;35520;36942;96;7920;8251;96
QUÍMICA;11520;14025;82;5280;6531;81;6240;7494;83
RELACIONS INTERNACIONALS;15600;16290;96;9360;9740;96;6240;6550;95
RELACIONS LABORALS I RECURSOS HUMANS (UA);15840;18879;84;10800;12810;84;5040;6069;83
RELACIONS LABORALS I RECURSOS HUMANS (ELDA);1680;1851;91;1680;1851;91;0;0;n.c.
SOCIOLOGIA;6240;6960;90;4080;4518;90;2160;2442;88
TRADUCCIÓ I INTERPRETACIÓ;28560;30114;95;22800;23760;96;5760;6354;91
TREBALL SOCIAL;29280;31520;93;25440;27308;93;3840;4212;91
TURISME;30000;34063;88;20400;22944;89;9600;11119;86
DOBLE GRAU EN DRET I ADMINISTRACIÓ I DIRECCIÓ D'EMPRESES;19890;22137;90;11700;13069.5;90;8190;9067.5;90
DOBLE GRAU EN DRET I CRIMINOLOGIA;24082.5;25227;95;19636.5;20650.5;95;4446;4576.5;97
DOBLE GRAU EN ENGINYERIA INFORMÀTICA I ADMINISTRACIÓ I DIRECCIÓ D'EMPRESES;4992;5577;90;384;420;91;4608;5157;89
DOBLE GRAU EN TURISME I ADMINISTRACIÓ I DIRECCIÓ D'EMPRESES;10248;11828;87;8052;9272;87;2196;2556;86
