MÀSTERS;TOTAL - Crèdits totals requerits per a titulació;TOTAL - Crèdits matriculats egressats;TOTAL - Taxa d'eficiència;DONES - Crèdits totals requerits per a titulació;DONES - Crèdits matriculats egressats;DONES - Taxa d'eficiència;HOMES - Crèdits totals requerits per a titulació;HOMES - Crèdits matriculats egressats;HOMES - Taxa d'eficiència
ADMINISTRACIÓ I DIRECCIÓ D'EMPRESES;2220;2322.5;96;840;888.5;95;1380;1434;96
ADVOCACIA I PROCURA;7470;7571;99;5130;5205;99;2340;2366;99
ANGLÉS I ESPANYOL PER A FINS ESPECÍFICS;600;600;100;480;480;100;120;120;100
ARQUEOLOGIA PROFESSIONAL I GESTIÓ INTEGRAL DEL PATRIMONI;1260;1332;95;600;648;93;660;684;96
ARQUITECTURA;2640;3672;72;1560;2259;69;1080;1413;76
AUTOMÀTICA I ROBÒTICA;1200;1290;93;360;387;93;840;903;93
BIOMEDICINA;540;555;97;180;180;100;360;375;96
BIOTECNOLOGIA PER A LA SALUT I LA SOSTENIBILITAT;240;255;94;60;60;100;180;195;92
CÀLCUL I MODELITZACIÓ CIENTÍFICA;180;180;100;60;60;100;120;120;100
CIBERSEGURETAT;780;804;97;120;132;91;660;672;98
CIÈNCIA DE DADES;1020;1032;99;300;306;98;720;726;99
CIÈNCIA DE MATERIALS;660;660;100;240;240;100;420;420;100
COMUNICACIÓ DIGITAL;1620;1674;97;1200;1236;97;420;438;96
COMUNICACIÓ I INDÚSTRIES CREATIVES;2340;2436;96;1800;1878;96;540;558;97
CONSERVACIÓ DE LA BIODIVERSITAT I RESTAURACIÓ DEL MEDIO MARÍ Y TERRESTRE;1170;1199;98;630;659;96;540;540;100
COOPERACIÓ AL DESENVOLUPAMENT (Interuniversitari);450;470;96;270;290;93;180;180;100
DESENVOLUPAMENT D'APLICACIONS I SERVEIS WEB;420;420;100;60;60;100;360;360;100
DESENVOLUPAMENT DE PROGRAMARI PER A DISP. MÒBILS;540;684;79;60;60;100;480;624;77
DESENVOLUPAMENT LOCAL I INNOVACIÓ TERRITORIAL;240;252;95;180;192;94;60;60;100
DIRECCIÓ I PLANIFICACIÓ DEL TURISME;1020;1068;96;660;690;96;360;378;95
DRET AMBIENTAL I DE LA SOSTENIBILITAT;1440;1488;97;660;678;97;780;810;96
DRET DE DANYS;420;420;100;300;300;100;120;120;100
ECONOMIA APLICADA;240;260;92;240;260;92;;;0
ECONOMIA QUANTITATIVA;840;858;98;120;120;100;720;738;98
ELECTROQUÍMICA. CIÈNCIA I TECNOLOGIA (Interuniversitari);120;120;100;60;60;100;60;60;100
EMERGÈNCIES I CATÀSTROFES;1620;1657;98;1440;1467;98;180;190;95
ENGINYERIA DE CAMINS, CANALS I PORTS;720;864;83;120;199.5;60;600;664.5;90
ENGINYERIA DE TELECOMUNICACIÓ;270;285;95;;;0;270;285;95
ENGINYERIA GEOLÒGICA;810;946.5;86;540;661.5;82;270;285;95
ENGINYERIA QUÍMICA;1620;1728;94;720;742.5;97;900;985.5;91
ENVELLIMENT ACTIU I SALUT;600;600;100;300;300;100;300;300;100
ESPANYOL I ANGLÉS COM A SEGONES LLENGUES/LLENGUES ESTRANGERES;1980;2148;92;1560;1644;95;420;504;83
ESTUDIS ANGLESOS AVANÇATS;780;780;100;600;600;100;180;180;100
ESTUDIS LITERARIS;1020;1035;99;660;675;98;360;360;100
GESTIÓ ADMINISTRATIVA;660;672;98;360;360;100;300;312;96
GESTIÓ SOSTENIBLE I TECNLOGIES DE L'AIGUA;660;680;97;480;490;98;180;190;95
HISTÒRIA DE LA CIÈNCIA I COMUNICACIÓ CIENTÍFICA (Interuniversitari);480;540;89;360;420;86;120;120;100
HISTÒRIA DE L'EUROPA CONTEMPORÀNIA: IDENTITATS I INTEGRACIÓ;180;192;94;;;0;180;192;94
HISTÒRIA DEL MÓN MEDITERRANI I LES SEUES REGIONS;720;732;98;300;300;100;420;432;97
HISTÒRIA I IDENTITATS EN EL MEDITERRANI OCCIDENTAL (SIGLOS XV-XIX) (Interuniversitari);240;255;94;120;135;89;120;120;100
INNOVACIÓ SOCIAL I DINÀMIQUES DE CANVI;600;624;96;360;372;97;240;252;95
INTEL·LIGÈNCIA ARTIFICIAL;1440;1440;100;120;120;100;1320;1320;100
INVESTIGACIÓ CRIMINAL I CIÈNCIES FORENSES;840;852;99;660;666;99;180;186;97
INVESTIGACIÓ EDUCATIVA;1680;1791;94;960;1008;95;720;783;92
INVESTIGACIÓ EN CIÈNCIES DE LA SALUT;540;552;98;420;432;97;120;120;100
NANOCIÈNCIA I NANOTECNOLOGIA MOLECULAR (Interuniversitari);60;60;100;;;0;60;60;100
NUTRICIÓ I ALIMENTACIÓ;840;864;97;780;804;97;60;60;100
OPTOMETRIA AVANÇADA I SALUT VISUAL;120;120;100;120;120;100;;;0
PLANIFICACIÓ I GESTIÓ DE RISCS NATURALS;840;852;99;480;492;98;360;360;100
PREVENCIÓ DE RISCOS LABORALS;1380;1444;96;720;772;93;660;672;98
PROFESSORAT D'EDUCACIÓ SECUNDÀRIA;27180;27549;99;15480;15634;99;11700;11915;98
QUÍMICA AMBIENTAL I SOSTENIBLE;480;480;100;240;240;100;240;240;100
QUÍMICA MÈDICA;300;303;99;180;183;98;120;120;100
TRADUCCIÓ INSTITUCIONAL;2460;2630;94;2100;2258;93;360;372;97
TURISME CULTURAL;300;381;79;120;129;93;180;252;71
