GRAUS;Curs d'ingrés;TOTAL - Alumnes inicials;TOTAL - Titulats en temps previst en pla d'estudis (d)  o en (d+1);TOTAL - Taxa de graduació (%);DONES - Alumnes inicials;DONES - Titulats en temps previst en pla d'estudis (d)  o en (d+1);DONES - Taxa de graduació (%);HOMES - Alumnes inicials;HOMES - Titulats en temps previst en pla d'estudis (d)  o en (d+1);HOMES - Taxa de graduació (%)
ARQUITECTURA;2018;1;0;0;0;0;n.c.;1;0;0
FONAMENTS DE L'ARQUITECTURA;2018;127;17;13;58;11;19;69;6;9
DOBLE GRAU EN DRET I ADMINISTRACIÓ I DIRECCIÓ D'EMPRESES;2018;102;38;37;50;21;42;52;17;33
DOBLE GRAU EN DRET I CRIMINOLOGIA;2018;78;58;74;64;47;73;14;11;79
DOBLE GRAU EN ENGINYERIA INFORMÀTICA I ADMINISTRACIÓ I DIRECCIÓ D'EMPRESES;2018;53;13;25;7;2;29;46;11;24
DOBLE GRAU EN TURISME I ADMINISTRACIÓ I DIRECCIÓ D'EMPRESES;2018;93;17;18;54;14;26;39;3;8
ADMINISTRACIÓ I DIRECCIÓ D'EMPRESES;2019;488;67;14;215;31;14;273;36;13
ARQUITECTURA TÈCNICA;2019;39;4;10;12;2;17;27;2;7
BIOLOGIA;2019;161;101;63;94;62;66;67;39;58
CIÈNCIES DE L'ACTIVITAT FÍSICA I DE L'ESPORT;2019;101;76;75;36;30;83;65;46;71
CIÈNCIES DEL MAR;2019;56;33;59;34;24;71;22;9;41
CRIMINOLOGIA;2019;304;163;54;212;125;59;92;38;41
DRET;2019;401;195;49;273;130;48;128;65;51
ECONOMIA;2019;143;54;38;59;26;44;84;28;33
ENGINYERIA BIOMÈDICA;2019;65;39;60;37;21;57;28;18;64
ENGINYERIA CIVIL;2019;55;4;7;14;2;14;41;2;5
ENGINYERIA EN SO I IMATGE EN TELECOMUNICACIÓ;2019;79;20;25;21;7;33;58;13;22
ENGINYERIA INFORMÀTICA;2019;239;66;28;25;4;16;214;62;29
ENGINYERIA MULTIMÈDIA;2019;102;49;48;22;15;68;80;34;43
ENGINYERIA QUÍMICA;2019;67;26;39;31;16;52;36;10;28
ENGINYERIA ROBÒTICA;2019;64;33;52;16;9;56;48;24;50
ESPANYOL: LLENGUA I LITERATURES;2019;55;25;45;47;18;38;8;7;88
ESTUDIS ANGLESOS;2019;110;43;39;77;35;45;33;8;24
ESTUDIS ÀRABS I ISLÀMICS;2019;7;3;43;4;2;50;3;1;33
ESTUDIS FRANCESOS;2019;17;7;41;13;6;46;4;1;25
FILOLOGIA CATALANA;2019;53;24;45;33;14;42;20;10;50
FÍSICA;2019;60;34;57;15;6;40;45;28;62
GASTRONOMIA I ARTS CULINÀRIES;2019;55;26;47;19;8;42;36;18;50
GEOGRAFIA I ORDENACIÓ DEL TERRITORI;2019;27;9;33;9;5;56;18;4;22
GEOLOGIA;2019;35;10;29;19;7;37;16;3;19
GESTIÓ I ADMINISTRACIÓ PÚBLICA;2019;23;7;30;15;3;20;8;4;50
HISTÒRIA;2019;134;52;39;46;17;37;88;35;40
HUMANITATS;2019;27;10;37;13;4;31;14;6;43
INFERMERIA;2019;213;175;82;171;142;83;42;33;79
MÀRQUETING;2019;75;35;47;42;27;64;33;8;24
MATEMÀTIQUES;2019;62;29;47;25;14;56;37;15;41
MESTRE EN EDUCACIÓ INFANTIL;2019;345;249;72;311;230;74;34;19;56
MESTRE EN EDUCACIÓ PRIMÀRIA;2019;417;328;79;294;244;83;123;84;68
NUTRICIÓ HUMANA I DIETÈTICA;2019;172;129;75;126;97;77;46;32;70
ÒPTICA I OPTOMETRIA;2019;70;27;39;51;20;39;19;7;37
PUBLICITAT I RELACIONS PÚBLIQUES;2019;233;152;65;179;121;68;54;31;57
QUÍMICA;2019;66;30;45;25;12;48;41;18;44
RELACIONS INTERNACIONALS;2019;76;58;76;54;43;80;22;15;68
RELACIONS LABORALS I RECURSOS HUMANS  (UA);2019;115;42;37;68;25;37;47;17;36
RELACIONS LABORALS I RECURSOS HUMANS (ELDA);2019;12;3;25;7;3;43;5;0;0
SOCIOLOGIA;2019;59;22;37;32;14;44;27;8;30
TRADUCCIÓ I INTERPRETACIÓ;2019;153;108;71;116;87;75;37;21;57
TREBALL SOCIAL;2019;161;110;68;135;96;71;26;14;54
TURISME;2019;212;83;39;138;60;43;74;23;31
