MÀSTERS;Curs d'ingrés;TOTAL - Alumnes inicials;TOTAL - Titulats en temps previst en pla d'estudis (d)  o en (d+1);TOTAL - Taxa de graduació (%);DONES - Alumnes inicials;DONES - Titulats en temps previst en pla d'estudis (d)  o en (d+1);DONES - Taxa de graduació (%);HOMES - Alumnes inicials;HOMES - Titulats en temps previst en pla d'estudis (d)  o en (d+1);HOMES - Taxa de graduació (%)
ADVOCACIA I PROCURA;2021;135;127;94;88;82;93;47;45;96
CONSERVACIÓ DE LA BIODIVERSITAT I RESTAURACIÓ DEL MEDIO MARÍ Y TERRESTRE;2021;12;11;92;7;7;100;5;4;80
COOPERACIÓ AL DESENVOLUPAMENT (Interuniversitari);2021;8;6;75;5;3;60;3;3;100
ECONOMIA QUANTITATIVA;2021;5;5;100;0;0;n.c.;5;5;100
ENGINYERIA DE CAMINS, CANALS I PORTS;2021;15;2;13;5;0;0;10;2;20
ENGINYERIA DE TELECOMUNICACIÓ;2021;10;5;50;3;2;67;7;3;43
ENGINYERIA GEOLÒGICA;2021;4;4;100;3;3;100;1;1;100
ENGINYERIA INFORMÀTICA;2021;2;0;0;1;0;0;1;0;0
ENGINYERIA QUÍMICA;2021;11;8;73;2;2;100;9;6;67
GESTIÓ PESQUERA SOSTENIBLE;2021;18;14;78;4;4;100;14;10;71
ADMINISTRACIÓ I DIRECCIÓ D'EMPRESES;2022;36;29;81;18;16;89;18;13;72
ANGLÉS I ESPANYOL PER A FINS ESPECÍFICS;2022;16;11;69;11;7;64;5;4;80
ARQUEOLOGIA PROFESSIONAL I GESTIÓ INTEGRAL DEL PATRIMONI;2022;22;18;82;13;10;77;9;8;89
ARQUITECTURA;2022;66;51;77;35;30;86;31;21;68
AUTOMÀTICA I ROBÒTICA;2022;18;13;72;4;4;100;14;9;64
BIOMEDICINA;2022;14;11;79;8;7;88;6;4;67
BIOTECNOLOGIA PER A LA SALUT I LA SOSTENIBILITAT;2022;5;5;100;4;4;100;1;1;100
CIBERSEGURETAT;2022;11;9;82;2;2;100;9;7;78
CIÈNCIA DE DADES;2022;21;19;90;5;4;80;16;15;94
CIÈNCIA DE MATERIALS;2022;6;5;83;4;3;75;2;2;100
COMUNICACIÓ DIGITAL;2022;32;24;75;19;14;74;13;10;77
