Lloc;Total;Dones;Homes
Total ;1500;885;615
ADMINISTRADOR/A ADJUNT/A;4;2;2
ADMINISTRADOR/A BASES DE DADES;1;0;1
ADMINISTRADOR/A DE CENTRE;10;5;5
ANALISTA DE SISTEMES I APLICACIONS;15;2;13
AUXILIAR DE SERVEIS;113;73;40
AUXILIAR DE SERVEIS BIBLIOGRÀFICS;2;2;0
CAP DE ÀREA;1;1;0
CAP DE DIVISIÓ;4;1;3
CAP D'IMPREMTA;1;0;1
CAP D'OPERACIÓ;6;3;3
CAP D'UNITAT TÈCNICA;2;0;2
CONDUCTOR/A;4;0;4
COORDINADOR/A ASSESSOR/A DE RRHH I ORGANITZACIÓ;1;1;0
COORDINADOR/A DE RECTORAT;1;1;0
COORDINADOR/A DE SERVEIS;21;11;10
COORDINADOR/A DEL SERVEI DE CONDUCTORS;2;0;2
COORDINADOR/A GENERAL DE CONSERGERIES;1;0;1
DIRECTOR/A ADJUNT/A DE SERVEI;7;3;4
DIRECTOR/A DE SERVEI;23;11;12
ESPECIALISTA TÈCNIC/A;226;105;121
GERENT;1;0;1
GERENT DE FUNDACIÓ;1;0;1
GESTOR/A;483;347;136
GESTOR/A EN CAP;121;89;32
GESTOR/A EN CAP DEPARTAMENT/INSTITUT;70;42;28
INFERMER/A;3;2;1
METGE/METGESSA;2;2;0
OFICIAL;13;7;6
PROGRAMADOR/A;36;8;28
SECRETARI/ÀRIA DE CÀRREC;39;29;10
SUBDIRECTOR/A DE SERVEI;57;35;22
TÈCNIC/A;114;53;61
TÈCNIC/A - LLETRAT/ADA;2;2;0
TÈCNIC/A DE SUPORT EN BIBLIOTECA;32;16;16
TÈCNIC/A D'OBRES E INFRAESTRUCTURES;1;0;1
TÈCNIC/A INFORMÀTIC;37;12;25
TÈCNIC/A SUPERIOR;40;19;21
VICEGERENT;3;1;2
