ÀREA DE FORMACIÓ (HORES);Hores de formació fetes/impartides - TOTAL;Hores de formació fetes/impartides - DONES;Hores de formació fetes/impartides - HOMES
FORMACIÓ ESPECIALITZADA;4246.95;2325.8;1921.15
HABILITATS INTERPERSONALS I SOCIALS;219;145;74
IGUALTAT I ATENCIÓ A LA DIVERSITAT;4329;3401;928
INVESTIGACIÓ I TRANSFERÈNCIA;418.15;226.65;191.5
LINGÜÍSTICA / IDIOMES;16345;11028;5317
METODOLOGIA DOCENT I INNOVACIÓ;972;614.5;357.5
PLANIFICACIÓ, ADMINISTRACIÓ I GESTIÓ;16666.1;11179.1;5487
QUALITAT;440;240;200
SEGURETAT, SALUT I MEDI AMBIENT;1038;656;382
TECNOLOGIA I COMUNICACIÓ DIGITAL;16283;10013;6270
TUTORITZACIÓ A ESTUDIANTS;275;170;105
ALTRES CURSOS;34;20;14
