ÀREA DE FORMACIÓ (NOMBRE PTGAS);Nre. PTGAS que ha fet/impartit cursos de formació - TOTAL;Nre. PTGAS que ha fet/impartit cursos de formació - DONES;Nre. PTGAS que ha fet/impartit cursos de formació - HOMES
FORMACIÓ ESPECIALITZADA;540;293;247
HABILITATS INTERPERSONALS I SOCIALS;24;15;9
IGUALTAT I ATENCIÓ A LA DIVERSITAT;154;116;38
INVESTIGACIÓ I TRANSFERÈNCIA;91;52;39
LINGÜÍSTICA / IDIOMES;398;267;131
METODOLOGIA DOCENT I INNOVACIÓ;67;38;29
PLANIFICACIÓ, ADMINISTRACIÓ I GESTIÓ;1184;818;366
QUALITAT;114;80;34
SEGURETAT, SALUT I MEDI AMBIENT;172;104;68
TECNOLOGIA I COMUNICACIÓ DIGITAL;1371;863;508
TUTORITZACIÓ A ESTUDIANTS;41;25;16
ALTRES CURSOS;11;5;6
