ADMINISTRACIÓ ESPECIAL: ITINERARIS;Total;Dones;Homes
Total ;681;318;363
Arxius;3;3;0
Arquitectura;5;4;1
Biblioteques;89;54;35
Comunicació;15;8;7
Consergeria i Suport;132;84;48
Cultura;6;2;4
Digitalització;25;19;6
Electrònica i Tecnologia Audiovisual;7;0;7
Enginyeria del Programari;44;13;31
Enginyeria Industrial;1;1;0
Escales grups funcionarials places;14;6;8
Esports;6;1;5
Gastronomia i Arts Culinàries;3;1;2
Gestió de la Investigació;33;22;11
Gestió Mediambiental;1;1;0
Igualtat i Integració Social;2;1;1
Informàtica;17;1;16
Infraestructures;4;0;4
Infraestructures i Seguretat en Tecnolog.;45;5;40
Innovació;2;1;1
Instrumentació i Infraestructures Cient.;54;22;32
Laboratoris de Ciències Socials i Huma;13;5;8
Laboratoris de Ciències i Tecnològics;92;36;56
Llengües;26;11;15
Manteniment i Oficis;3;1;2
Oficis Agrícoles i Forestals;1;0;1
Orientació i Intervenció Psicosocial;10;6;4
Prevenció i Salut;11;5;6
Producció Editorial;8;2;6
Qualitat;7;1;6
Seguretat al Campus;1;1;0
Veterinària;1;1;0
