CATEGORIA;Total - Nre.;Total - %;Dones - Nre.;Dones - %;Homes - Nre.;Homes - %
AJUDANT LOU;29;1.1;12;1.1;17;1.1
CATEDRÀTIC/A D'ESCOLA UNIVERSITÀRIA;9;0.3;5;0.5;4;0.3
CATEDRÀTIC/A D'UNIVERSITAT;341;13.2;106;9.9;235;15.4
INVESTIGADOR/A DOCTOR/A;1;0;0;0;1;0.1
PROFESSOR/A ASSOCIAT/ADA;235;9.1;88;8.3;147;9.7
PROFESSOR/A ASSOCIAT/ADA (LOU);892;34.5;377;35.4;515;33.8
PROFESSOR/A AJUDANT DOCTOR/A;205;7.9;105;9.8;100;6.6
PROFESSOR/A COL·LABORADOR/A;20;0.8;8;0.8;12;0.8
PROFESSOR/A CONTRACTAT/ADA DOCTOR/A;29;1.1;15;1.4;14;0.9
PROFESSOR/A EMÈRIT/A;6;0.2;0;0;6;0.4
PROFESSOR/A EMÈRIT/A LOU;7;0.3;0;0;7;0.5
PROFESSOR/A PERMANENT LABORAL;127;4.9;68;6.4;59;3.9
PROFESSOR/A SUBSTITUT/A;32;1.2;13;1.2;19;1.2
PROFESSOR/A TITULAR UNIVERSITAT;615;23.8;255;23.9;360;23.7
PROFESSOR/A TITULAR ESCOLA UNIVERSITÀRIA;39;1.5;13;1.2;26;1.7
PROFESSOR/A VISITANT;1;0;1;0.1;0;0
