Departament/Institut;Total;Dones;Homes
ANÀLISI ECONÒMICA APLICADA;55;22;33
ANÀLISI GEOGRÀFICA REGIONAL I GEOGRAFIA FÍSICA;31;10;21
BIOQUÍMICA I BIOLOGIA MOLECULAR Y EDAFOL;22;13;9
BIOTECNOLOGIA;19;11;8
CIÈNCIA DE LA COMPUTACIÓ I INTEL·LIGÈNCIA ARTIFICIAL;73;16;57
CIÈNCIES AMBIENTALS I RECURSOS NATURALS;24;9;15
CIÈNCIES DE LA TERRA I DEL MEDI AMBIENT;28;5;23
CIÈNCIES DEL MAR I BIOLOGIA APLICADA;24;5;19
CIÈNCIES HISTORICOJURÍDIQUES;14;9;5
COMUNICACIÓ I PSICOLOGIA SOCIAL;85;51;34
CONSTRUCCIONS ARQUITECTÒNIQUES;16;5;11
DIDÀCTICA GENERAL I DIDÀCTIQUES ESPECÍFIQUES;135;61;74
DISCIPLINES ECONÒMIQUES I FINANCERES;20;10;10
DRET CIVIL;33;18;15
DRET DEL TREBALL I DE LA SEGURETAT SOCIAL;33;14;19
DRET INTERNACIONAL PÚBLIC I DRET PENAL;49;23;26
DRET MERCANTIL I DRET PROCESSAL;56;28;28
ECOLOGIA;21;1;20
ECONOMIA APLICADA I POLÍTICA ECONÒMICA;19;8;11
ECONOMIA FINANCERA I COMPTABILITAT;55;25;30
EDIFICACIÓ I URBANISME;21;9;12
ENGINYERIA CIVIL;71;9;62
ENGINYERIA QUÍMICA;35;16;19
ESTUDIS JURÍDICS DE L'ESTAT;64;25;39
EXPRESSIÓ GRÀFICA, COMPOSICIÓ I PROJECTES;51;13;38
FILOLOGIA ANGLESA;58;39;19
FILOLOGIA CATALANA;56;19;37
FILOLOGIA ESPANYOLA, LINGÜÍSTICA GENERAL;61;32;29
FILOLOGIES INTEGRADES;55;39;16
FILOSOFIA DEL DRET I DRET INTERNACIONAL;23;7;16
FÍSICA APLICADA;23;4;19
FÍSICA, ENGINYERIA DE SISTEMES I TEORIA DEL SENYAL;88;8;80
FISIOLOGIA, GENÈTICA I MICROBIOLOGIA;42;19;23
FONAMENTS DE L'ANÀLISI ECONÒMICA;74;23;51
GEOGRAFIA HUMANA;19;4;15
HISTÒRIA MEDIEVAL, HISTÒRIA MODERNA I CIÈNCIES I TÈCNIQUES HISTORIOGRÀFIQUES;23;8;15
HUMANITATS CONTEMPORÀNIES;33;17;16
INFERMERIA;97;63;34
INFERMERIA COMUNITÀRIA, MEDECINA PREVENTIVA, SALUT PÚBLICA I HISTÒRIA DE LA CIÈNCIA;51;26;25
INNOVACIÓ I FORMACIÓ DIDÀCTICA;65;28;37
LLENGUATGES I SISTEMES INFORMÀTICS;99;21;78
MÀRQUETING;38;19;19
MATEMÀTICA APLICADA;26;9;17
MATEMÀTIQUES;44;12;32
ÒPTICA, FARMACOLOGIA I ANATOMIA;48;29;19
ORGANITZACIÓ D'EMPRESES;59;19;40
PREHISTÒRIA, ARQUEOLOGIA, HISTÒRIA ANTIGA, FILOLOGIA GREGA I FILOLOGIA LLATINA;33;11;22
PSICOLOGIA DE LA SALUT;49;30;19
PSICOLOGIA EVOLUTIVA I DIDÀCTICA;70;44;26
QUÍMICA ANALÍTICA, NUTRICIÓ I BROMATOLOGIA;33;19;14
QUÍMICA FÍSICA;18;3;15
QUÍMICA INORGÀNICA;20;9;11
QUÍMICA ORGÀNICA;15;3;12
SOCIOLOGIA I;42;16;26
SOCIOLOGIA II;28;9;19
TECNOLOGIA INFORMÀTICA I COMPUTACIÓ;66;7;59
TRADUCCIÓ I INTERPRETACIÓ;45;32;13
TREBALL SOCIAL I SERVEIS SOCIALS;33;22;11
