ÀREA DE FORMACIÓ (HORES);Hores de formació fetes/impartides - TOTAL;Hores de formació fetes/impartides - DONES;Hores de formació fetes/impartides - HOMES
QUALITAT;30;10;20
FORMACIÓ ESPECIALITZADA;1101;441;660
HABILITATS INTERPERSONALS I SOCIALS;292;232;60
IGUALTAT I ATENCIÓ A LA DIVERSITAT;2178;1187;991
INVESTIGACIÓ I TRANSFERÈNCIA;2609;1413.5;1195.5
LINGÜÍSTICA / IDIOMES;6708;3864;2844
METODOLOGIA DOCENT I INNOVACIÓ;3608;1756;1852
PLANIFICACIÓ, ADMINISTRACIÓ I GESTIÓ;1936;1056;880
SEGURETAT, SALUT I MEDI AMBIENT;242;106;136
TECNOLOGIA I COMUNICACIÓ DIGITAL;5048.5;2765;2283.5
TUTORITZACIÓ A ESTUDIANTS;1680;980;700
