ÀREA DE FORMACIÓ (NOMBRE PDI);Nre. PDI que ha fet/impartit cursos de formació - TOTAL;Nre. PDI que ha fet/impartit cursos de formació - DONES;Nre. PDI que ha fet/impartit cursos de formació - HOMES
QUALITAT;3;1;2
FORMACIÓ ESPECIALITZADA;96;36;60
HABILITATS INTERPERSONALS I SOCIALS;35;26;9
IGUALTAT I ATENCIÓ A LA DIVERSITAT;210;109;101
INVESTIGACIÓ I TRANSFERÈNCIA;317;164;153
LINGÜÍSTICA / IDIOMES;187;95;92
METODOLOGIA DOCENT I INNOVACIÓ;280;139;141
PLANIFICACIÓ, ADMINISTRACIÓ I GESTIÓ;205;100;105
SEGURETAT, SALUT I MEDI AMBIENT;34;17;17
TECNOLOGIA I COMUNICACIÓ DIGITAL;613;341;272
TUTORITZACIÓ A ESTUDIANTS;213;128;85
