NACIONALITAT;TOTAL;CATEDRÀTIC/A DE UNIVERSITAT;PROFESSOR/A TITULAR UNIVERSITAT;PROFESSOR/A PERMANENT LABORAL;PROFESSOR/A AJUDANT DOCTOR/A;AJUDANT LOU;PROFESSOR/A COL·LABORADOR/A;PROFESSOR/A ASSOCIAT/ADA;PROFESSOR/A VISITANT
ALEMANYA;4;;1;;;;1;2
ALGÈRIA;2;;;1;;;;1
BÈLGICA;2;;;;;;;2
BULGÀRIA;2;;;;;2
COREA DEL SUD;1;;;;1
CUBA;5;;2;;1;;;2
EQUADOR;1;;;;1
FRANÇA;5;;;1;;;;4
GHANA;1;;;;;1
GRÈCIA;1;;;;;;;1
HOLANDA (PAÏSOS BAIXOS);2;1;;;;;;1
IRAN;2;;;;;2
ITÀLIA;17;2;5;;5;;1;4
LITUÀNIA;2;;;1;;;;1
MÈXIC;1;;;;;;;;1
POLÒNIA;1;;;;1
PORTUGAL;1;;;;;;;1
REGNE UNIT;2;;;;;;1;1
REPÚBLICA TXECA;1;;;;;;;1
ROMANIA;2;;1;;;;;1
RÚSSIA;2;;;;1;;;1
SÍRIA;1;;;;;;;1
XILE;2;;;1;;1
XINA (REPUBLICA POPULAR);2;;;;;;;2
