Personal d'investigació  (I-PI): ÀREA DE FORMACIÓ (HORES);Hores de formació fetes/impartides - TOTAL;Hores de formació fetes/impartides - DONES;Hores de formació fetes/impartides - HOMES
FORMACIÓ ESPECIALITZADA;580;388;192
HABILITATS INTERPERSONALS I SOCIALS;5;5;0
IGUALTAT I ATENCIÓ A LA DIVERSITAT;294;101;193
INVESTIGACIÓ I TRANSFERÈNCIA;586;443.5;142.5
LINGÜÍSTICA / IDIOMES;2668;1272;1396
METODOLOGIA DOCENT I INNOVACIÓ;515;312;203
PLANIFICACIÓ, ADMINISTRACIÓ I GESTIÓ;185;103;82
SEGURETAT, SALUT I MEDI AMBIENT;16;8;8
TECNOLOGIA I COMUNICACIÓ DIGITAL;1180.5;560.5;620
TUTORITZACIÓ A ESTUDIANTS;90;50;40
