Personal d'investigació  (I-PI): ÀREA DE FORMACIÓ (NOMBRE I-PI);Nre. I-PI que ha fet/impartit cursos de formació - TOTAL;Nre. I-PI que ha fet/impartit cursos de formació - DONES;Nre. I-PI que ha fet/impartit cursos de formació - HOMES
FORMACIÓ ESPECIALITZADA;79;57;22
HABILITATS INTERPERSONALS I SOCIALS;1;1;0
IGUALTAT I ATENCIÓ A LA DIVERSITAT;25;15;10
INVESTIGACIÓ I TRANSFERÈNCIA;46;36;10
LINGÜÍSTICA / IDIOMES;77;50;27
METODOLOGIA DOCENT I INNOVACIÓ;35;22;13
PLANIFICACIÓ, ADMINISTRACIÓ I GESTIÓ;47;23;24
SEGURETAT, SALUT I MEDI AMBIENT;8;4;4
TECNOLOGIA I COMUNICACIÓ DIGITAL;103;47;56
TUTORITZACIÓ A ESTUDIANTS;11;6;5
