Personal Tècnic, de Gestió i de Suport a la Investigació (I-PTGAS): ÀREA DE FORMACIÓ (HORES);Hores de formació fetes/impartides - TOTAL;Hores de formació fetes/impartides - DONES;Hores de formació fetes/impartides - HOMES
FORMACIÓ ESPECIALITZADA;193.5;143.5;50
HABILITATS INTERPERSONALS I SOCIALS;10;10;0
IGUALTAT I ATENCIÓ A LA DIVERSITAT;92;86;6
INVESTIGACIÓ I TRANSFERÈNCIA;21;21;0
LINGÜÍSTICA / IDIOMES;980;650;330
METODOLOGIA DOCENT I INNOVACIÓ;128;100;28
PLANIFICACIÓ, ADMINISTRACIÓ I GESTIÓ;306;189;117
SEGURETAT, SALUT I MEDI AMBIENT;82;56;26
TECNOLOGIA I COMUNICACIÓ DIGITAL;616;391;225
TUTORITZACIÓ A ESTUDIANTS;5;5;0
