Personal Tècnic, de Gestió i de Suport a la Investigació (I-PTGAS): ÀREA DE FORMACIÓ (NOMBRE I-PTGAS);Nre. I-PTGAS que ha fet/impartit cursos de formació - TOTAL;Nre. I-PTGAS que ha fet/impartit cursos de formació - DONES;Nre. I-PTGAS que ha fet/impartit cursos de formació - HOMES
FORMACIÓ ESPECIALITZADA;35;26;9
HABILITATS INTERPERSONALS I SOCIALS;2;2;0
IGUALTAT I ATENCIÓ A LA DIVERSITAT;5;4;1
INVESTIGACIÓ I TRANSFERÈNCIA;3;3;0
LINGÜÍSTICA / IDIOMES;29;18;11
METODOLOGIA DOCENT I INNOVACIÓ;9;7;2
PLANIFICACIÓ, ADMINISTRACIÓ I GESTIÓ;34;22;12
SEGURETAT, SALUT I MEDI AMBIENT;17;12;5
TECNOLOGIA I COMUNICACIÓ DIGITAL;55;33;22
TUTORITZACIÓ A ESTUDIANTS;1;1;0
