A. Operacions corrents;Import (euros)
3 Taxes, preus públics i altres ingressos;38972040.22
30 Taxes;1699225.69
31 Preus públics;30705931.25
312 Drets de matrícula ensenyament oficial de grau;20201354.38
312.00 Matrícula de 1-2 cicle i grau: De l'usuari;13031872.7
312.01 Drets corresponents a centres adscrits;0
312.02 Drets compensats pel M.E.;6428949.33
313 Drets de matrícula ensenyament oficial de màster;1704053.31
314 Drets de matricula ensenyament oficial de doctorat;490754.1
315 Drets de matricula ensenyaments propis (1);2345198.24
316 Drets de matricula de Formació Contínua (2);174196.7
319 Drets de matricula d'altres ensenyaments (3);5790374.52
32 Prestació de serveis;3610120.65
323 Contractes de serveis d'investigació (Art 60 LOSU);3535774.99
325 Serveis d'Allotjament en Col·legis Majors, Residència i Apartaments Universitaris;0
4 Transferències corrents;205826017.7
40 De l'Administració General de l'Estat;170150
41 D'organismes autònoms administratius;2235249.84
45 De comunitats autònomes;201303384.22
450 De la conselleria amb competència en universitats;199886145.49
47 D'empreses privades;593205.94
48 De famílies i institucions sense finalitats de lucre;1031239.78
49 De l'exterior;-11725
5 Ingressos patrimonials;1990262.79
52 Interessos de depòsits;969320.36
54 Rendes de béns immobles;245765.43
55 Productes de concessions;564776.67
59 Altres ingressos patrimonials;210400.33
