B. Operacions de capital;Import (euros)
6 Alienació d'inversions reals;0
7 Transferències de capital;30645705.67
70 De l'Administració General de l'Estat;4277759.73
71 D'organismes autònoms administratius;8974974.97
75 De comunitats autònomes;10106130.42
750 De la Conselleria amb competència en educació;10106130.42
750.00 Ajudes a la investigació;0
750.01 Projectes i grups d'investigació;0
77 D'empreses privades;212119
78 De famílies i institucions sense finalitats de lucre;705019.25
79 De l'exterior;5710195.76
