A. Operacions corrents;Import (euros)
1 Despeses de personal;173889799.51
12 Funcionaris;121826139.19
13 Laborals;9134842.06
14 Altre personal;16788974.94
15 Incentius al rendiment;595837.28
16 Quotes, prestacions i despeses socials;25544006.04
2 Despeses corrents en béns i serveis;34619408.43
20 Arrendaments i cànons;492674.34
21 Reparacions, manteniment i conservació;2151295.34
22 Material, subministraments i altres;30358019.15
221 Subministraments;6027316.11
226 Despeses diverses;7299754.17
227 Treballs realitzats per altres empreses;12528777.36
23 Indemnitzacions per raó del servei;1364883.91
24 Despeses de publicacions;252535.69
3 Despeses Financeres;37473.87
31 De préstecs de l'interior;37473.87
4 Transferències corrents;11628669.6
48 A famílies i institucions sense finalitat de lucre;11628669.6
480 Beques i ajudes pròpies a estudiants;9854952.72
481 Beques i ajudes a estudiants amb finançament extern;0
485 Beques i ajudes pròpies al PDI;0
486 Beques i ajudes pròpies al PTGAS;0
