PROGRAMES DE DOCTORAT;TOTAL - Abandons;TOTAL - Estudiants nous;TOTAL - Taxa Abandó (%);DONES - Abandons;DONES - Estudiants nous;DONES - Taxa Abandó (%);HOMES - Abandons;HOMES - Estudiants nous;HOMES - Taxa Abandó (%)
AIGUA I DESENVOLUPAMENT SOSTENIBLE;2;3;66.67;0;0;n.c.;2;3;66.67
BIODIVERSITAT I CONSERVACIÓ;0;2;0;0;1;0;0;1;0
BIOLOGIA EXPERIMENTAL I APLICADA;0;7;0;0;4;0;0;3;0
CIÈNCIA DE MATERIALS;1;15;6.67;1;11;9.09;0;4;0
CIÈNCIES DE LA SALUT;8;39;20.51;6;22;27.27;2;17;11.76
CIÈNCIES DE L'ACTIVIDAT FÍSICA I DE L'ESPORT;0;0;n.c.;0;0;n.c.;0;0;n.c.
CIÈNCIES DEL MAR I BIOLOGIA APLICADA;1;6;16.67;1;5;20;0;1;0
CIÈNCIES EXPERIMENTALS I BIOSANITÀRIES;1;11;9.09;0;7;0;1;4;25
CONSERVACIÓ I RESTAURACIÓ D'ECOSISTEMES;1;4;25;1;2;50;0;2;0
DRET;8;34;23.53;2;12;16.67;6;22;27.27
ECONOMIA;0;4;0;0;1;0;0;3;0
ECONOMIA (Interuniversitari);0;0;n.c.;0;0;n.c.;0;0;n.c.
ELECTROQUÍMICA. CIÈNCIA I TECNOLOGIA (Interuniversitari);0;2;0;0;2;0;0;0;n.c.
EMPRESA, ECONOMIA I SOCIETAT;3;22;13.64;0;7;0;3;15;20
ENGINYERIA DE MATERIALS, ESTRUCTURES I TERRENY: CONSTRUCCIÓ SOSTENIBLE;0;11;0;0;5;0;0;6;0
ENGINYERIA QUÍMICA;0;8;0;0;4;0;0;4;0
ESTUDIS HISTÒRICS I SOCIALS SOBRE CIÈNCIA, MEDICINA I COMUNICACIÓ CIENTÍFICA (Interuniversitari);0;0;n.c.;0;0;n.c.;0;0;n.c.
ESTUDIS INTERDISCIPLINARS DE GÈNERE (Interuniversitari);0;5;0;0;4;0;0;1;0
FILOSOFIA (Interuniversitari);0;0;n.c.;0;0;n.c.;0;0;n.c.
FILOSOFIA I LLETRES;8;51;15.69;6;26;23.08;2;25;8
FÍSICA APLICADA A LES CIÈNCIES I LES TECNOLOGIES;1;5;20;0;3;0;1;2;50
HUMANITATS I ESTUDIS SOCIALS D'AMÈRICA LLATINA;1;10;10;0;1;0;1;9;11.11
INFORMÀTICA;2;18;11.11;0;4;0;2;14;14.29
INVESTIGACIÓ EDUCATIVA;6;20;30;4;13;30.77;2;7;28.57
MÈTODES MATEMÀTICS I MODELITZACIÓ EN CIÈNCIES I ENGINYERIA;0;16;0;0;7;0;0;9;0
NANOCIÈNCIA I NANOTECNOLOGIA (Interuniversitari);0;0;n.c.;0;0;n.c.;0;0;n.c.
SÍNTESI ORGÀNICA;1;7;14.29;0;4;0;1;3;33.33
TECNOLOGIA EDUCATIVA APLICADA AL CONEIXEMENT;0;0;n.c.;0;0;n.c.;0;0;n.c.
TRADUCTOLOGIA, TRADUCCIÓ PROFESSIONAL I AUDIOVISUAL (Interuniversitari);16;21;76.19;8;13;61.54;8;8;100
TRANSFERÈNCIES INTERCULTURALS I HISTÒRIQUES A L'EUROPA MEDIEVAL;1;9;11.11;1;4;25;0;5;0
TURISME (Interuniversitari);3;10;30;1;4;25;2;6;33.33
