PROGRAMES DE DOCTORAT;TOTAL - Estudiants en règim de cotutela internacional;TOTAL - Estudiants matriculats;TOTAL - Estudiants en règim de cotutela internacional (%);DONES - Estudiants en règim de cotutela internacional;DONES - Estudiants matriculats;DONES - Estudiants en règim de cotutela internacional (%);HOMES - Estudiants en règim de cotutela internacional;HOMES - Estudiants matriculats;HOMES - Estudiants en règim de cotutela internacional (%)
AIGUA I DESENVOLUPAMENT SOSTENIBLE;5;50;10;3;22;13.64;2;28;7.14
BIODIVERSITAT I CONSERVACIÓ;0;20;0;0;7;0;0;13;0
BIOLOGIA EXPERIMENTAL I APLICADA;0;41;0;0;26;0;0;15;0
CIÈNCIA DE MATERIALS;0;65;0;0;31;0;0;34;0
CIÈNCIES DE LA SALUT;0;179;0;0;114;0;0;65;0
CIÈNCIES DE L'ACTIVIDAT FÍSICA I DE L'ESPORT;0;5;0;0;3;0;0;2;0
CIÈNCIES DEL MAR I BIOLOGIA APLICADA;2;25;8;0;17;0;2;8;25
CIÈNCIES EXPERIMENTALS I BIOSANITÀRIES;0;57;0;0;26;0;0;31;0
CONSERVACIÓ I RESTAURACIÓ D'ECOSISTEMES;1;20;5;0;9;0;1;11;9.09
DRET;8;145;5.52;2;61;3.28;6;84;7.14
ECONOMIA;0;41;0;0;14;0;0;27;0
ECONOMIA (Interuniversitari);0;3;0;0;3;0;0;0;0
ELECTROQUÍMICA. CIÈNCIA I TECNOLOGIA (Interuniversitari);1;19;5.26;0;7;0;1;12;8.33
EMPRESA, ECONOMIA I SOCIETAT;1;89;1.12;0;40;0;1;49;2.04
ENGINYERIA DE MATERIALS, ESTRUCTURES I TERRENY: CONSTRUCCIÓ SOSTENIBLE;4;36;11.11;0;11;0;4;25;16
ENGINYERIA QUÍMICA;1;23;4.35;1;11;9.09;0;12;0
ESTUDIS HISTÒRICS I SOCIALS SOBRE CIÈNCIA, MEDICINA I COMUNICACIÓ CIENTÍFICA (Interuniversitari);0;3;0;0;3;0;0;0;0
ESTUDIS INTERDISCIPLINARS DE GÈNERE (Interuniversitari);0;18;0;0;11;0;0;7;0
FILOSOFIA (Interuniversitari);0;8;0;0;3;0;0;5;0
FILOSOFIA I LLETRES;1;251;0.4;0;142;0;1;109;0.92
FÍSICA APLICADA A LES CIÈNCIES I LES TECNOLOGIES;0;30;0;0;7;0;0;23;0
HUMANITATS I ESTUDIS SOCIALS D'AMÈRICA LLATINA;2;71;2.82;2;30;6.67;0;41;0
INFORMÀTICA;6;126;4.76;1;29;3.45;5;97;5.15
INVESTIGACIÓ EDUCATIVA;1;89;1.12;1;52;1.92;0;37;0
MARIE SKLODOWSKA-CURIE EN DRET DE PROPIETAT INTEL·LECTUAL I INNOVACIÓ (EIPN-IS) (EUROPEU CONJUNT);0;2;0;0;1;0;0;1;0
MÈTODES MATEMÀTICS I MODELITZACIÓ EN CIÈNCIES I ENGINYERIA;0;23;0;0;8;0;0;15;0
NANOCIÈNCIA I NANOTECNOLOGIA (Interuniversitari);0;6;0;0;2;0;0;4;0
SÍNTESI ORGÀNICA;1;17;5.88;1;11;9.09;0;6;0
TECNOLOGIA EDUCATIVA APLICADA AL CONEIXEMENT;0;28;0;0;8;0;0;20;0
TRADUCTOLOGIA, TRADUCCIÓ PROFESSIONAL I AUDIOVISUAL (Interuniversitari);1;34;2.94;1;29;3.45;0;5;0
TRANSFERÈNCIES INTERCULTURALS I HISTÒRIQUES A L'EUROPA MEDIEVAL;0;48;0;0;26;0;0;22;0
TURISME (Interuniversitari);0;30;0;0;14;0;0;16;0
