PROGRAMES DE DOCTORAT;TOTAL - Estudiants procedents d'altres universitats;TOTAL - Estudiants nous;TOTAL - Estudiants procedents d'altres universitats %;DONES - Estudiants procedents d'altres universitats;DONES - Estudiants nous;DONES - Estudiants procedents d'altres universitats %;HOMES - Estudiants procedents d'altres universitats;HOMES - Estudiants nous;HOMES - Estudiants procedents d'altres universitats %
AIGUA I DESENVOLUPAMENT SOSTENIBLE;7;12;58.33;2;5;40;5;7;71.43
BIODIVERSITAT I CONSERVACIÓ;4;5;80;2;2;100;2;3;66.67
BIOLOGIA EXPERIMENTAL I APLICADA;2;8;25;2;7;28.57;0;1;0
CIÈNCIA DE MATERIALS;8;14;57.14;2;6;33.33;6;8;75
CIÈNCIES DE LA SALUT;23;41;56.1;14;22;63.64;9;19;47.37
CIÈNCIES DE L'ACTIVIDAT FÍSICA I DE L'ESPORT;1;5;20;0;3;0;1;2;50
CIÈNCIES DEL MAR I BIOLOGIA APLICADA;3;5;60;1;2;50;2;3;66.67
CIÈNCIES EXPERIMENTALS I BIOSANITÀRIES;7;16;43.75;3;7;42.86;4;9;44.44
CONSERVACIÓ I RESTAURACIÓ D'ECOSISTEMES;0;2;0;0;0;0;0;2;0
DRET;19;28;67.86;8;15;53.33;11;13;84.62
ECONOMIA;7;14;50;2;3;66.67;5;11;45.45
ECONOMIA (Interuniversitari);1;1;100;1;1;100;0;0;0
ELECTROQUÍMICA. CIÈNCIA I TECNOLOGIA (Interuniversitari);2;3;66.67;1;1;100;1;2;50
EMPRESA, ECONOMIA I SOCIETAT;8;20;40;4;10;40;4;10;40
ENGINYERIA DE MATERIALS, ESTRUCTURES I TERRENY: CONSTRUCCIÓ SOSTENIBLE;4;4;100;2;2;100;2;2;100
ENGINYERIA QUÍMICA;1;3;33.33;0;1;0;1;2;50
ESTUDIS HISTÒRICS I SOCIALS SOBRE CIÈNCIA, MEDICINA I COMUNICACIÓ CIENTÍFICA (Interuniversitari);1;2;50;1;2;50;0;0;0
ESTUDIS INTERDISCIPLINARS DE GÈNERE (Interuniversitari);2;4;50;1;2;50;1;2;50
FILOSOFIA (Interuniversitari);0;2;0;0;2;0;0;0;0
FILOSOFIA I LLETRES;23;53;43.4;11;27;40.74;12;26;46.15
FÍSICA APLICADA A LES CIÈNCIES I LES TECNOLOGIES;2;9;22.22;0;0;0;2;9;22.22
HUMANITATS I ESTUDIS SOCIALS D'AMÈRICA LLATINA;20;23;86.96;4;5;80;16;18;88.89
INFORMÀTICA;12;35;34.29;4;9;44.44;8;26;30.77
INVESTIGACIÓ EDUCATIVA;9;23;39.13;2;13;15.38;7;10;70
MÈTODES MATEMÀTICS I MODELITZACIÓ EN CIÈNCIES I ENGINYERIA;0;1;0;0;0;0;0;1;0
NANOCIÈNCIA I NANOTECNOLOGIA (Interuniversitari);0;3;0;0;0;0;0;3;0
SÍNTESI ORGÀNICA;0;3;0;0;2;0;0;1;0
TECNOLOGIA EDUCATIVA APLICADA AL CONEIXEMENT;22;28;78.57;5;8;62.5;17;20;85
TRADUCTOLOGIA, TRADUCCIÓ PROFESSIONAL I AUDIOVISUAL (Interuniversitari);3;6;50;3;5;60;0;1;0
TRANSFERÈNCIES INTERCULTURALS I HISTÒRIQUES A L'EUROPA MEDIEVAL;9;10;90;7;7;100;2;3;66.67
TURISME (Interuniversitari);10;10;100;6;6;100;4;4;100
